StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-02_18-08-19.644907149,1525277299.646445925,16623140334,2018-05-02_18-08-49.698798321,1525277329.700318802,0.01,0.06,0.05,38143302,64650426786,8,903391,18,0,0,0,0,0,1007,0,3196,421221,2880,0,125,0,0,0,32805052,31870828,31752180,948,157200
2018-05-02_18-08-49.735816030,1525277329.737298489,16511103659,2018-05-02_18-09-19.773150109,1525277359.774667593,0.20,0.10,0.06,75413836,128870722918,10,1793513,29,5,0,0,0,0,1026,0,3968,443526,2881,0,234,0,0,0,32805052,31869412,31750996,948,157200
2018-05-02_18-09-19.810088975,1525277359.811569736,16470790798,2018-05-02_18-09-49.846083311,1525277389.847594523,0.19,0.11,0.06,112907410,193411056988,12,1793515,29,426522,0,0,0,0,1035,0,4703,465855,2881,0,310,0,0,0,32805052,31867408,31749604,948,157208
2018-05-02_18-09-49.883237959,1525277389.884739959,16596033886,2018-05-02_18-10-19.920675428,1525277419.922216938,0.31,0.15,0.08,150475992,258018923472,13,1793519,894350,426571,0,0,0,0,1050,0,5463,488142,2883,0,416,0,0,0,32805052,31877904,31760376,948,157220
2018-05-02_18-10-19.957758685,1525277419.959238099,16536499581,2018-05-02_18-10-38.353624303,1525277438.355172275,0.36,0.17,0.08,173495134,297573463676,265123,1793637,894389,426571,0,0,0,0,1057,0,5911,501827,2883,0,460,0,0,0,32805052,31877084,31758756,948,157220
2018-05-02_18-10-38.390809189,1525277438.392279689,,2018-05-02_18-10-38.399109478,1525277438.400632750,0.36,0.17,0.08,173495134,297573463676,265123,1793638,894389,426572,0,0,0,0,1059,0,5915,501858,2883,0,460,0,0,0,32805052,31874872,31757348,948,157220
2018-05-02_18-10-38.435993903,1525277438.437466536,,2018-05-02_18-10-38.444150112,1525277438.445672639,0.36,0.17,0.08,173495134,297573463676,265123,1793638,894389,426572,0,0,0,0,1060,0,5919,501889,2883,0,460,0,0,0,32805052,31874624,31756540,948,157220
2018-05-02_18-10-38.481026139,1525277438.482497193,,2018-05-02_18-10-38.489104688,1525277438.490606737,0.36,0.17,0.08,173495134,297573463676,265124,1793639,894389,426572,0,0,0,0,1061,0,5922,501920,2883,0,460,0,0,0,32805052,31873896,31755832,948,157220
2018-05-02_18-10-38.525762966,1525277438.527238382,,2018-05-02_18-10-38.533911989,1525277438.535400430,0.36,0.17,0.08,173495134,297573463676,265124,1793639,894389,426572,0,0,0,0,1063,0,5925,501951,2883,0,460,0,0,0,32805052,31873452,31755032,948,157220
2018-05-02_18-10-38.570652159,1525277438.572114065,,2018-05-02_18-10-38.578703306,1525277438.580192190,0.36,0.17,0.08,173495134,297573463676,265124,1793640,894389,426572,0,0,0,0,1064,0,5929,501981,2883,0,460,0,0,0,32805052,31872652,31754244,948,157220
