StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-02_18-58-42.713308308,1525280322.714854706,27568083161,2018-05-02_18-59-12.752160908,1525280352.753800185,0.69,0.21,0.13,73306528274,39959832,1006,8056,30,2700842,26,141501,317,0,1005,0,6982,669354,2888,0,2376,0,0,0,32805052,31817544,31701080,948,159524
2018-05-02_18-59-12.798416546,1525280352.800841357,22930183741,2018-05-02_18-59-42.835213006,1525280382.836686352,1.40,0.43,0.21,134999520254,88291098,1007,8056,32,2700852,286,2196024,215696,91976,1105,0,12186,685733,2888,0,4513,0,0,0,32805052,31818288,31702112,948,159524
2018-05-02_18-59-42.872058880,1525280382.873507901,27842263195,2018-05-02_19-00-12.911746666,1525280412.913263030,1.86,0.64,0.29,193471002820,119156844,1015,8056,32,2700852,555,2346220,2310164,92098,1211,0,17781,701632,2890,0,6772,0,0,0,32805052,31818072,31702020,948,159532
2018-05-02_19-00-12.954670545,1525280412.957839998,27777220849,2018-05-02_19-00-24.682163975,1525280424.683677916,1.83,0.69,0.31,216366763694,131719164,1065,8056,32,2700852,1019,3218254,2311675,94259,1256,0,19958,707850,2890,0,7657,0,0,0,32805052,31815580,31699772,948,159532
2018-05-02_19-00-24.719036650,1525280424.720513767,,2018-05-02_19-00-24.727294017,1525280424.728782361,1.83,0.69,0.31,216366763760,131719224,1065,8056,32,2700852,1019,3218254,2311677,94259,1258,0,19962,707881,2890,0,7657,0,0,0,32805052,31813884,31697520,948,159532
2018-05-02_19-00-24.763856556,1525280424.765321839,,2018-05-02_19-00-24.772028283,1525280424.773511942,1.83,0.69,0.31,216366763760,131719284,1067,8056,32,2700852,1019,3218254,2311677,94259,1259,0,19966,707911,2890,0,7657,0,0,0,32805052,31812996,31696928,948,159532
2018-05-02_19-00-24.808720115,1525280424.810185569,,2018-05-02_19-00-24.816747163,1525280424.818239772,1.83,0.69,0.31,216366763826,131719344,1067,8056,32,2700854,1019,3218254,2311677,94259,1260,0,19969,707942,2890,0,7657,0,0,0,32805052,31812508,31696424,948,159532
2018-05-02_19-00-24.853232460,1525280424.854685183,,2018-05-02_19-00-24.861274077,1525280424.862783286,1.83,0.69,0.31,216366763892,131719404,1067,8056,32,2700856,1019,3218254,2311677,94259,1262,0,19972,707973,2890,0,7657,0,0,0,32805052,31812244,31695876,948,159532
2018-05-02_19-00-24.897927484,1525280424.899393327,,2018-05-02_19-00-24.905913320,1525280424.907405364,1.83,0.69,0.31,216366763958,131719464,1069,8056,32,2700856,1019,3218254,2311677,94259,1264,0,19975,708003,2890,0,7657,0,0,0,32805052,31811628,31695820,948,159532
2018-05-02_19-00-24.942300970,1525280424.943759340,,2018-05-02_19-00-24.950358552,1525280424.951851393,1.83,0.69,0.31,216366764024,131719524,1069,8056,32,2700856,1019,3218254,2311679,94259,1265,0,19979,708034,2890,0,7657,0,0,0,32805052,31811352,31695228,948,159532
2018-05-02_19-00-24.986929285,1525280424.988404741,,2018-05-02_19-00-24.994948233,1525280424.996442546,1.83,0.69,0.31,216366764090,131719584,1069,8056,32,2700856,1019,3218256,2311679,94259,1267,0,19983,708064,2890,0,7657,0,0,0,32805052,31810516,31694444,948,159532
2018-05-02_19-00-25.031406557,1525280425.032868997,,2018-05-02_19-00-25.039426561,1525280425.040921733,1.83,0.69,0.31,216366764156,131719644,1069,8056,32,2700856,1019,3218258,2311679,94259,1268,0,19986,708095,2890,0,7657,0,0,0,32805052,31810364,31694556,948,159532
2018-05-02_19-00-25.076012628,1525280425.077472473,,2018-05-02_19-00-25.083970769,1525280425.085460066,1.83,0.69,0.31,216366764222,131719704,1069,8056,32,2700856,1019,3218258,2311681,94259,1269,0,19990,708125,2890,0,7657,0,0,0,32805052,31810572,31694744,948,159532
2018-05-02_19-00-25.120429129,1525280425.121875734,,2018-05-02_19-00-25.128489958,1525280425.129978382,1.83,0.69,0.31,216366764288,131719764,1071,8056,32,2700856,1019,3218258,2311681,94259,1271,0,19994,708156,2890,0,7657,0,0,0,32805052,31810032,31694204,948,159532
2018-05-02_19-00-25.165068520,1525280425.166510269,,2018-05-02_19-00-25.172976415,1525280425.174449172,1.83,0.69,0.31,216366764354,131719764,1071,8056,32,2700858,1019,3218258,2311681,94259,1273,0,19997,708186,2890,0,7657,0,0,0,32805052,31809600,31693532,948,159532
2018-05-02_19-00-25.209493610,1525280425.210958554,,2018-05-02_19-00-25.217536201,1525280425.219028921,1.83,0.69,0.31,216366764420,131719824,1071,8056,32,2700860,1019,3218258,2311681,94259,1274,0,20000,708217,2890,0,7657,0,0,0,32805052,31810844,31695004,948,159532
2018-05-02_19-00-25.254467120,1525280425.255927640,,2018-05-02_19-00-25.262476100,1525280425.263970327,1.83,0.69,0.31,216366764486,131719884,1073,8056,32,2700860,1019,3218258,2311681,94259,1275,0,20004,708248,2890,0,7657,0,0,0,32805052,31810796,31694724,948,159532
2018-05-02_19-00-25.298960138,1525280425.300434481,,2018-05-02_19-00-25.307034451,1525280425.308546806,1.83,0.69,0.31,216366764552,131719944,1073,8056,32,2700860,1019,3218258,2311683,94259,1277,0,20008,708278,2890,0,7657,0,0,0,32805052,31810856,31694764,948,159532
2018-05-02_19-00-25.343672765,1525280425.345140424,,2018-05-02_19-00-25.351619321,1525280425.353098585,1.83,0.69,0.31,216366764618,131720004,1073,8056,32,2700860,1019,3218260,2311683,94259,1278,0,20011,708309,2890,0,7657,0,0,0,32805052,31811120,31694772,948,159532
2018-05-02_19-00-25.387937410,1525280425.389402952,,2018-05-02_19-00-25.395940243,1525280425.397440843,1.83,0.69,0.31,216366764684,131720064,1073,8056,32,2700860,1019,3218260,2311685,94259,1280,0,20014,708339,2890,0,7657,0,0,0,32805052,31812120,31696052,948,159536
2018-05-02_19-00-25.432504394,1525280425.433963073,,2018-05-02_19-00-25.440496491,1525280425.441989625,1.83,0.69,0.31,216366764750,131720124,1073,8056,32,2700860,1019,3218262,2311685,94259,1281,0,20018,708370,2890,0,7657,0,0,0,32805052,31811352,31695284,948,159536
2018-05-02_19-00-25.476964035,1525280425.478450257,,2018-05-02_19-00-25.485032631,1525280425.486517256,1.83,0.69,0.31,216366764816,131720184,1073,8056,32,2700862,1019,3218262,2311685,94259,1283,0,20021,708400,2890,0,7657,0,0,0,32805052,31810036,31694468,948,159536
2018-05-02_19-00-25.521648045,1525280425.523113619,,2018-05-02_19-00-25.529571621,1525280425.531054168,1.83,0.69,0.31,216366764882,131720244,1075,8056,32,2700862,1019,3218262,2311685,94259,1284,0,20024,708431,2890,0,7657,0,0,0,32805052,31810948,31694320,948,159536
2018-05-02_19-00-25.565903585,1525280425.567368145,,2018-05-02_19-00-25.573933755,1525280425.575437436,1.83,0.69,0.31,216366764948,131720304,1077,8056,32,2700862,1019,3218262,2311685,94259,1286,0,20028,708461,2890,0,7657,0,0,0,32805052,31810084,31694272,948,159536
2018-05-02_19-00-25.610536300,1525280425.611988980,,2018-05-02_19-00-25.618501750,1525280425.619981151,1.83,0.69,0.31,216366765014,131720364,1077,8056,32,2700864,1019,3218262,2311685,94259,1287,0,20031,708492,2890,0,7657,0,0,0,32805052,31809816,31693828,948,159536
2018-05-02_19-00-25.654834320,1525280425.656317343,,2018-05-02_19-00-25.662959114,1525280425.664445677,1.83,0.69,0.31,216366765080,131720424,1077,8056,32,2700864,1019,3218264,2311685,94259,1289,0,20035,708523,2890,0,7657,0,0,0,32805052,31809260,31693384,948,159536
2018-05-02_19-00-25.699567501,1525280425.701038216,,2018-05-02_19-00-25.707578183,1525280425.709066505,1.83,0.69,0.31,216366765146,131720484,1077,8056,32,2700864,1019,3218264,2311687,94259,1291,0,20038,708553,2890,0,7657,0,0,0,32805052,31809904,31693800,948,159536
2018-05-02_19-00-25.743999267,1525280425.745467454,,2018-05-02_19-00-25.752083897,1525280425.753575741,1.83,0.69,0.31,216366765212,131720544,1077,8056,32,2700864,1021,3218264,2311687,94259,1292,0,20042,708584,2890,0,7657,0,0,0,32805052,31809648,31693540,948,159536
2018-05-02_19-00-25.788666941,1525280425.790126185,,2018-05-02_19-00-25.796638737,1525280425.798128475,1.83,0.69,0.31,216366765278,131720604,1077,8056,32,2700864,1021,3218264,2311687,94261,1293,0,20045,708614,2890,0,7657,0,0,0,32805052,31809852,31694044,948,159536
2018-05-02_19-00-25.833026352,1525280425.834493929,,2018-05-02_19-00-25.840990663,1525280425.842476586,1.83,0.69,0.31,216366765344,131720664,1077,8058,32,2700864,1021,3218264,2311687,94261,1294,0,20048,708645,2890,0,7657,0,0,0,32805052,31809156,31693328,948,159536
2018-05-02_19-00-25.877541715,1525280425.879033877,,2018-05-02_19-00-25.885493566,1525280425.886966393,1.83,0.69,0.31,216366765410,131720724,1077,8058,34,2700864,1021,3218264,2311687,94261,1296,0,20051,708675,2890,0,7657,0,0,0,32805052,31809352,31693284,948,159536
2018-05-02_19-00-25.921781245,1525280425.923232734,,2018-05-02_19-00-25.929802932,1525280425.931297816,1.83,0.69,0.31,216366765476,131720784,1077,8058,36,2700864,1021,3218264,2311687,94261,1298,0,20055,708706,2890,0,7657,0,0,0,32805052,31809052,31693636,948,159536
2018-05-02_19-00-25.966374031,1525280425.967828646,,2018-05-02_19-00-25.974297664,1525280425.975795250,1.83,0.69,0.31,216366765542,131720844,1077,8060,36,2700864,1021,3218264,2311687,94261,1299,0,20058,708736,2890,0,7657,0,0,0,32805052,31809424,31693336,948,159536
2018-05-02_19-00-26.010971316,1525280426.012442793,,2018-05-02_19-00-26.018959700,1525280426.020461851,1.83,0.69,0.31,216366765608,131720904,1077,8060,36,2700864,1021,3218264,2311687,94263,1301,0,20062,708766,2890,0,7657,0,0,0,32805052,31809500,31693116,948,159536
2018-05-02_19-00-26.055301629,1525280426.056753320,,2018-05-02_19-00-26.063368577,1525280426.064854692,1.83,0.69,0.31,216366765674,131720964,1077,8060,36,2700864,1023,3218264,2311687,94263,1302,0,20066,708797,2890,0,7657,0,0,0,32805052,31809880,31693532,948,159536
2018-05-02_19-00-26.099884952,1525280426.101361165,,2018-05-02_19-00-26.107887999,1525280426.109368674,1.83,0.69,0.31,216366765740,131721024,1077,8060,36,2700864,1023,3218264,2311687,94265,1303,0,20069,708827,2890,0,7657,0,0,0,32805052,31809608,31693800,948,159536
2018-05-02_19-00-26.144192201,1525280426.145656731,,2018-05-02_19-00-26.152194436,1525280426.153685266,1.83,0.69,0.31,216366765806,131721084,1077,8060,36,2700864,1025,3218264,2311687,94265,1305,0,20073,708858,2890,0,7657,0,0,0,32805052,31809856,31693492,948,159536
2018-05-02_19-00-26.188751520,1525280426.190241908,,2018-05-02_19-00-26.196757836,1525280426.198248148,1.83,0.69,0.31,216366765872,131721144,1077,8060,38,2700864,1025,3218264,2311687,94265,1306,0,20076,708888,2890,0,7657,0,0,0,32805052,31809984,31693916,948,159536
2018-05-02_19-00-26.233120783,1525280426.234580731,,2018-05-02_19-00-26.241132340,1525280426.242623143,1.83,0.69,0.31,216366765938,131721204,1077,8060,38,2700864,1025,3218264,2311687,94265,1308,0,20079,708919,2890,0,7657,0,0,0,32805052,31809724,31693376,948,159536
2018-05-02_19-00-26.277662681,1525280426.279129685,,2018-05-02_19-00-26.285632417,1525280426.287127999,1.83,0.69,0.31,216366766004,131721264,1077,8062,38,2700864,1025,3218264,2311687,94265,1309,0,20082,708949,2890,0,7657,0,0,0,32805052,31810624,31694520,948,159536
2018-05-02_19-00-26.322049562,1525280426.323511876,,2018-05-02_19-00-26.330050059,1525280426.331540558,1.83,0.69,0.31,216366766070,131721324,1077,8064,40,2700864,1025,3218264,2311687,94265,1311,0,20085,708980,2890,0,7657,0,0,0,32805052,31809160,31693576,948,159536
2018-05-02_19-00-26.366587148,1525280426.368054365,,2018-05-02_19-00-26.374547195,1525280426.376032677,1.83,0.69,0.31,216366766136,131721384,1077,8064,40,2700864,1027,3218264,2311687,94265,1313,0,20088,709010,2890,0,7657,0,0,0,32805052,31809524,31693660,948,159536
2018-05-02_19-00-26.410913132,1525280426.412357692,,2018-05-02_19-00-26.418900505,1525280426.420376191,1.83,0.69,0.31,216366766202,131721444,1077,8064,40,2700864,1027,3218264,2311687,94267,1314,0,20092,709041,2890,0,7657,0,0,0,32805052,31811536,31694928,948,159540
2018-05-02_19-00-26.455431805,1525280426.456884787,,2018-05-02_19-00-26.463371415,1525280426.464855766,1.83,0.69,0.31,216366766268,131721504,1077,8064,40,2700864,1027,3218264,2311687,94267,1316,0,20096,709071,2890,0,7657,0,0,0,32805052,31810612,31694496,948,159540
2018-05-02_19-00-26.499811780,1525280426.501282898,,2018-05-02_19-00-26.507928978,1525280426.509416068,1.83,0.69,0.31,216366766334,131721564,1077,8066,40,2700864,1027,3218264,2311687,94267,1317,0,20099,709102,2890,0,7657,0,0,0,32805052,31810024,31693876,948,159540
2018-05-02_19-00-26.544481223,1525280426.545954616,,2018-05-02_19-00-26.552419729,1525280426.553917537,1.83,0.69,0.31,216366766400,131721624,1077,8066,42,2700864,1029,3218264,2311687,94267,1318,0,20103,709132,2890,0,7657,0,0,0,32805052,31810524,31693900,948,159540
2018-05-02_19-00-26.588789590,1525280426.590233074,,2018-05-02_19-00-26.596808991,1525280426.598319261,1.83,0.69,0.31,216366766466,131721684,1077,8066,42,2700864,1029,3218264,2311687,94269,1320,0,20106,709163,2890,0,7657,0,0,0,32805052,31810076,31693484,948,159540
2018-05-02_19-00-26.633385534,1525280426.634838016,,2018-05-02_19-00-26.641320671,1525280426.642819343,1.83,0.69,0.31,216366766532,131721744,1077,8066,42,2700864,1029,3218264,2311687,94271,1321,0,20110,709193,2890,0,7657,0,0,0,32805052,31810380,31694000,948,159540
2018-05-02_19-00-26.677700889,1525280426.679150491,,2018-05-02_19-00-26.685651647,1525280426.687126490,1.83,0.69,0.31,216366766598,131721804,1077,8066,42,2700864,1031,3218264,2311687,94271,1322,0,20113,709224,2890,0,7657,0,0,0,32805052,31809204,31693640,948,159540
2018-05-02_19-00-26.722157154,1525280426.723622191,,2018-05-02_19-00-26.730082228,1525280426.731558896,1.83,0.69,0.31,216366766664,131721864,1077,8066,42,2700864,1031,3218264,2311687,94271,1324,0,20117,709254,2890,0,7657,0,0,0,32805052,31809392,31693568,948,159540
2018-05-02_19-00-26.766354086,1525280426.767810600,,2018-05-02_19-00-26.774393061,1525280426.775883191,1.83,0.69,0.31,216366766730,131721924,1077,8066,44,2700864,1031,3218264,2311687,94271,1326,0,20120,709285,2890,0,7657,0,0,0,32805052,31809016,31692656,948,159540
2018-05-02_19-00-26.810922911,1525280426.812379611,,2018-05-02_19-00-26.818855093,1525280426.820335416,1.83,0.69,0.31,216366766796,131721984,1077,8068,44,2700864,1031,3218264,2311687,94271,1327,0,20124,709315,2890,0,7657,0,0,0,32805052,31809520,31693436,948,159540
2018-05-02_19-00-26.855290431,1525280426.856738430,,2018-05-02_19-00-26.863369401,1525280426.864833663,1.83,0.69,0.31,216366766862,131722044,1077,8068,46,2700864,1031,3218264,2311687,94271,1328,0,20127,709346,2890,0,7657,0,0,0,32805052,31810168,31693576,948,159540
2018-05-02_19-00-26.899991272,1525280426.901462798,,2018-05-02_19-00-26.908001411,1525280426.909483239,1.83,0.69,0.31,216366766928,131722104,1077,8070,46,2700864,1031,3218264,2311687,94273,1330,0,20131,709376,2890,0,7657,0,0,0,32805052,31809928,31693860,948,159540
2018-05-02_19-00-26.944352906,1525280426.945817139,,2018-05-02_19-00-26.952361765,1525280426.953850056,1.83,0.69,0.31,216366766994,131722164,1077,8070,46,2700864,1033,3218264,2311687,94273,1331,0,20134,709407,2890,0,7657,0,0,0,32805052,31810224,31693796,948,159540
2018-05-02_19-00-26.988991654,1525280426.990458745,,2018-05-02_19-00-26.996935556,1525280426.998443359,1.83,0.69,0.31,216366767060,131722224,1077,8070,46,2700864,1035,3218264,2311687,94273,1333,0,20138,709437,2890,0,7657,0,0,0,32805052,31810684,31694876,948,159540
2018-05-02_19-00-27.033450936,1525280427.034924011,,2018-05-02_19-00-27.041352595,1525280427.042841710,1.83,0.69,0.31,216366767126,131722284,1077,8070,46,2700864,1035,3218264,2311687,94275,1335,0,20141,709468,2890,0,7657,0,0,0,32805052,31809852,31694304,948,159540
