StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-06_18-52-19.776248077,1525625539.777887656,10965962847,2018-05-06_18-52-49.825406880,1525625569.827056730,1.21,0.44,0.24,115156254,101366886678,128039,62418,799798,90,586454,863234,312,14759,5357,0,11535,641832,5190,0,2833,0,4304,0,32805052,30616028,30919856,1072,615212
2018-05-06_18-52-49.865793549,1525625569.867550485,10542704325,2018-05-06_18-53-19.904376563,1525625599.905878392,1.60,0.60,0.30,177872746,163329593118,128662,618977,830486,106,587035,863337,5411,789990,6421,0,16182,657202,5194,0,4781,0,5358,0,32805052,30614644,30918520,1072,615212
2018-05-06_18-53-19.942825496,1525625599.944374369,12048285143,2018-05-06_18-53-28.457103431,1525625608.458660533,1.71,0.64,0.32,200528432,184706303540,128827,630868,1050995,257559,588532,863463,5411,789990,6726,0,17543,661626,5194,0,5238,0,5659,0,32805052,30614108,30918536,1072,615212
2018-05-06_18-53-28.495689661,1525625608.497376838,,2018-05-06_18-53-28.504564520,1525625608.506191939,1.71,0.64,0.32,200942256,185119068672,128827,630869,1050996,257559,588532,863463,5412,789991,6734,0,17547,661652,5194,0,5238,0,5664,0,32805052,30614148,30918056,1072,615212
2018-05-06_18-53-28.544465700,1525625608.546059909,,2018-05-06_18-53-28.552981760,1525625608.554567262,1.71,0.64,0.32,200942256,185119068672,128827,630869,1050996,257559,588534,863465,5413,789991,6740,0,17552,661678,5194,0,5238,0,5670,0,32805052,30613416,30917584,1072,615212
2018-05-06_18-53-28.591037400,1525625608.592579883,,2018-05-06_18-53-28.599411648,1525625608.600837380,1.71,0.64,0.32,200942256,185119068672,128828,630870,1050997,257559,588535,863465,5413,789992,6747,0,17557,661703,5194,0,5238,0,5676,0,32805052,30612548,30916196,1072,615212
2018-05-06_18-53-28.638280057,1525625608.639871987,,2018-05-06_18-53-28.646668778,1525625608.648242655,1.71,0.64,0.32,200942256,185119068672,128828,630870,1050997,257559,588536,863466,5413,789994,6754,0,17562,661730,5194,0,5238,0,5681,0,32805052,30612568,30916444,1072,615212
2018-05-06_18-53-28.686576693,1525625608.688108412,,2018-05-06_18-53-28.695177741,1525625608.696769526,1.71,0.64,0.32,200942256,185119068672,128828,630870,1050998,257560,588536,863466,5415,789995,6761,0,17566,661756,5194,0,5238,0,5687,0,32805052,30611264,30914896,1072,615212
2018-05-06_18-53-28.734124142,1525625608.735703369,,2018-05-06_18-53-28.742648640,1525625608.744270372,1.71,0.64,0.32,200943024,185119069512,128828,630871,1050998,257561,588536,863467,5417,789995,6769,0,17571,661782,5194,0,5238,0,5693,0,32805052,30611356,30915276,1072,615212
2018-05-06_18-53-28.782558675,1525625608.784107999,,2018-05-06_18-53-28.790900512,1525625608.792470065,1.71,0.64,0.32,200943024,185119069512,128829,630871,1050998,257561,588537,863467,5418,789996,6777,0,17575,661808,5194,0,5238,0,5698,0,32805052,30612460,30916372,1072,615212
