StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-06_19-11-05.169835014,1525626665.171981635,2018-05-06_19-11-05.175489808,1525626665.177009856,0.00,0.01,0.05,209081010222,212447940,3016108,1541911,1905304,2329820,433,417,1139779,48686,1187,0,6531,1533312,2641,0,3030,0,0,0,32805052,31780452,31673228,948,177132
2018-05-06_19-11-35.215851282,1525626695.217484306,2018-05-06_19-11-35.221274333,1525626695.222947565,0.33,0.09,0.07,242166880992,245304906,3016109,1541911,1905304,2329820,453,417,1181459,1602817,1212,0,7580,1555236,2641,0,3632,0,0,0,32805052,31781024,31673536,948,177136
2018-05-06_19-12-05.260937277,1525626725.262722557,2018-05-06_19-12-05.266244565,1525626725.267841244,0.27,0.10,0.08,273866424124,276887004,3016109,1541911,1905304,2329820,466,417,2666926,1647889,1236,0,8491,1577213,2641,0,4236,0,0,0,32805052,31781212,31673624,948,177136
2018-05-06_19-12-35.306840136,1525626755.308690101,2018-05-06_19-12-35.312111250,1525626755.313559122,0.37,0.14,0.09,307198068206,310455690,3016109,1541911,1905304,2329820,485,422,2710597,3265792,1257,0,9481,1599101,2641,0,4831,0,0,0,32805052,31781144,31673284,948,177136
2018-05-06_19-13-05.353593982,1525626785.355231815,2018-05-06_19-13-05.358587270,1525626785.360082709,0.43,0.18,0.10,340461551974,343860036,3016109,1541911,1905304,2329820,487,424,4320096,3304386,1279,0,10428,1620980,2641,0,5410,0,0,0,32805052,31779916,31672412,948,177136
2018-05-06_19-13-35.399001320,1525626815.400813404,2018-05-06_19-13-35.404617056,1525626815.406257234,0.53,0.22,0.12,371248338662,374685642,3016109,1541911,1905304,2329820,516,427,4357204,4763739,1302,0,11288,1643037,2641,0,5970,0,0,0,32805052,31779608,31672608,948,177136
2018-05-06_19-14-05.445838439,1525626845.447705773,2018-05-06_19-14-05.451473233,1525626845.453266016,0.44,0.23,0.13,402429249552,405815448,3016109,1541911,1905304,2329820,538,427,5819629,4803322,1326,0,12093,1665044,2641,0,6489,0,0,0,32805052,31766408,31659188,948,177144
2018-05-06_19-14-35.492334181,1525626875.493909435,2018-05-06_19-14-35.497242750,1525626875.498796170,0.33,0.23,0.13,435362220158,438789414,3016109,1541912,1905304,2329820,568,429,5858126,6400890,1355,0,13045,1686956,2641,0,6947,0,0,0,32805052,31767240,31660020,948,177144
2018-05-06_19-15-05.537579024,1525626905.539389852,2018-05-06_19-15-05.543244176,1525626905.544951505,0.41,0.25,0.14,468225104542,471803340,3016111,1541912,1905304,2329820,581,429,7452563,6435631,1383,0,14061,1708842,2641,0,7501,0,0,0,32805052,31767504,31660020,948,177148
2018-05-06_19-15-35.584715687,1525626935.586505486,2018-05-06_19-15-35.590299766,1525626935.592091518,0.38,0.26,0.15,498935535042,502560366,3016111,1541912,1905304,2329820,626,435,7485700,7895400,1409,0,14980,1730898,2641,0,8032,0,0,0,32805052,31767032,31658988,948,177148
2018-05-06_19-16-05.632302255,1525626965.633840911,2018-05-06_19-16-05.637275814,1525626965.638843212,0.45,0.28,0.16,530215136700,533794752,3016111,1541912,1905304,2329820,631,435,8965514,7931602,1429,0,15918,1752904,2641,0,8578,0,0,0,32805052,31767232,31660532,948,177148
2018-05-06_19-16-35.678099454,1525626995.679820483,2018-05-06_19-16-35.683501228,1525626995.685429166,0.43,0.29,0.16,563238406714,567057498,3016111,1541912,1905304,2329820,661,435,8999767,9540114,1458,0,16898,1774801,2641,0,9171,0,0,0,32805052,31767328,31660112,948,177152
2018-05-06_19-17-05.725472017,1525627025.727217656,2018-05-06_19-17-05.730844511,1525627025.732453516,0.33,0.28,0.16,596071228652,600026244,3016111,1541912,1905304,2329820,669,435,10594893,9573226,1488,0,17876,1796693,2641,0,9749,0,0,0,32805052,31779384,31671620,948,177144
2018-05-06_19-17-35.771419619,1525627055.773309208,2018-05-06_19-17-35.777180533,1525627055.778788372,0.46,0.32,0.18,627366461398,631355496,3016111,1541912,1905304,2329820,695,436,10624378,11066775,1510,0,18795,1818717,2641,0,10302,0,0,0,32805052,31779948,31672416,948,177144
2018-05-06_19-18-05.817603316,1525627085.819159029,2018-05-06_19-18-05.822625985,1525627085.824383968,0.68,0.38,0.20,658062751248,662019582,3016111,1541912,1905304,2329820,699,437,12081811,11098409,1535,0,19708,1840757,2641,0,10826,0,0,0,32805052,31779532,31672272,948,177144
2018-05-06_19-18-35.863324019,1525627115.864905174,2018-05-06_19-18-35.868663801,1525627115.870187358,0.66,0.41,0.22,691161794250,695387148,3016113,1541913,1905304,2329820,730,437,12111696,12717566,1559,0,20705,1862655,2641,0,11401,0,0,0,32805052,31778712,31671496,948,177148
2018-05-06_19-19-05.909365429,1525627145.911099828,2018-05-06_19-19-05.914826805,1525627145.916456676,0.65,0.43,0.23,723822125268,728066934,3016116,1541913,1905304,2329820,733,437,13703975,12744673,1589,0,21678,1884567,2641,0,11985,0,0,0,32805052,31780272,31672792,948,177148
2018-05-06_19-19-35.953322407,1525627175.954979065,2018-05-06_19-19-35.958411824,1525627175.960137470,0.52,0.42,0.24,757000146288,761226780,3016116,1541913,1905304,2329820,29614,444,13703975,14329165,1616,0,22667,1906489,2641,0,12557,0,0,0,32805052,31780328,31672848,948,177148
2018-05-06_19-20-05.999538322,1525627206.001572488,2018-05-06_19-20-06.005489856,1525627206.007285603,0.56,0.44,0.25,787951105718,792232926,3016118,1541913,1905304,2329820,1503637,27761,13704169,14329172,1639,0,23602,1928536,2641,0,13096,0,0,0,32805052,31780520,31673024,948,177160
2018-05-06_19-20-36.053011801,1525627236.054461180,2018-05-06_19-20-36.057744521,1525627236.059281968,0.62,0.47,0.26,820990989098,825582372,3016118,1541913,1905304,2329820,1529782,1646114,13704485,14329172,1664,0,24564,1950434,2641,0,13676,0,0,0,32805052,31781408,31673824,948,177160
2018-05-06_19-21-06.098071037,1525627266.100009771,2018-05-06_19-21-06.104388367,1525627266.106105121,0.43,0.44,0.26,853572348668,858318138,3016118,1541913,1905304,2329820,3125905,1669640,13704693,14329178,1690,0,25535,1972370,2641,0,14230,0,0,0,32805052,31780716,31673472,948,177160
2018-05-06_19-21-36.152878302,1525627296.154638618,2018-05-06_19-21-36.158329278,1525627296.159935047,0.38,0.43,0.26,884433830666,889298904,3016118,1541913,1905304,2329820,3148791,3141879,13704879,14329183,1714,0,26426,1994419,2641,0,14756,0,0,0,32805052,31781440,31673964,948,177160
2018-05-06_19-22-06.198744472,1525627326.200746491,2018-05-06_19-22-06.204897769,1525627326.207095268,0.23,0.39,0.25,915055464250,919961130,3016118,1541913,1905304,2329820,4613673,3163874,13705081,14329184,1739,0,27339,2016480,2641,0,15278,0,0,0,32805052,31767920,31660928,948,177172
2018-05-06_19-22-36.251799114,1525627356.253452188,2018-05-06_19-22-36.257223089,1525627356.258791384,0.36,0.40,0.26,944360104072,949518216,3016118,1541913,1905304,2329820,4634773,4604670,13705212,14329186,1760,0,28214,2038616,2641,0,15801,0,0,0,32805052,31767928,31660720,948,177172
2018-05-06_19-23-06.298111274,1525627386.300455445,2018-05-06_19-23-06.304681055,1525627386.307025368,0.50,0.42,0.27,973540509684,978936642,3016118,1541913,1905304,2329820,6063387,4628269,13705411,14329189,1784,0,29101,2060763,2641,0,16322,0,0,0,32805052,31767912,31660444,948,177172
2018-05-06_19-23-36.351014034,1525627416.352745330,2018-05-06_19-23-36.356212942,1525627416.357649647,0.55,0.45,0.28,1008124015568,1013378526,3016118,1541913,1905304,2329820,6084556,6280524,13705567,14329741,1810,0,30114,2082590,2641,0,16948,0,0,0,32805052,31768216,31661432,948,177176
2018-05-06_19-24-06.396926312,1525627446.398706928,2018-05-06_19-24-06.402525220,1525627446.404530488,0.57,0.47,0.30,1039276356872,1044592062,3016118,1541913,1905304,2329820,7575012,6302001,13705746,14329741,1833,0,31049,2104628,2641,0,17482,0,0,0,32805052,31767692,31660500,948,177176
2018-05-06_19-24-36.449615382,1525627476.451385945,2018-05-06_19-24-36.454687652,1525627476.456258359,0.54,0.47,0.30,1071784434778,1077322608,3016118,1541914,1905304,2329820,7596552,7899323,13705930,14330176,1863,0,32029,2126558,2641,0,18055,0,0,0,32805052,31768664,31661460,948,177176
2018-05-06_19-25-06.493510305,1525627506.495362540,2018-05-06_19-25-06.500268739,1525627506.501881107,0.32,0.43,0.29,1104711183828,1110537414,3016121,1541914,1905304,2329820,9216783,7918094,13706133,14330180,1887,0,33008,2148470,2641,0,18628,0,0,0,32805052,31781508,31674036,948,177172
2018-05-06_19-25-36.546942603,1525627536.548726620,2018-05-06_19-25-36.552434242,1525627536.553961390,0.46,0.45,0.31,1135299014340,1141207500,3016121,1541914,1905304,2329820,9235053,9386163,13706443,14330180,1914,0,33918,2170531,2641,0,19161,0,0,0,32805052,31781128,31674184,948,177176
2018-05-06_19-26-06.592658732,1525627566.594862451,2018-05-06_19-26-06.599228814,1525627566.600697828,0.50,0.45,0.31,1166274397096,1172259564,3016121,1541914,1905304,2329820,10720912,9405173,13706608,14330183,1936,0,34824,2192578,2641,0,19704,0,0,0,32805052,31780484,31673532,948,177176
2018-05-06_19-26-36.645121709,1525627596.647207064,2018-05-06_19-26-36.650803362,1525627596.652444604,0.48,0.46,0.32,1199196945154,1205524800,3016121,1541914,1905304,2329820,10739436,11024893,13707011,14330185,1959,0,35808,2214480,2641,0,20272,0,0,0,32805052,31781376,31673812,948,177176
2018-05-06_19-27-06.691878098,1525627626.693909699,2018-05-06_19-27-06.698027742,1525627626.700087938,0.48,0.46,0.32,1232537866866,1239148806,3016121,1541914,1905304,2329820,12380040,11040734,13707218,14330190,1980,0,36804,2236369,2641,0,20863,0,0,0,32805052,31780616,31673016,948,177176
2018-05-06_19-27-36.746018818,1525627656.747762389,2018-05-06_19-27-36.751207376,1525627656.752841162,0.48,0.46,0.33,1262882897920,1269606912,3016121,1541914,1905304,2329820,12395408,12506152,13707563,14330190,2004,0,37730,2258441,2641,0,21404,0,0,0,32805052,31781028,31674084,948,177176
