StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-06_19-11-07.113999285,1525626667.115547185,2018-05-06_19-11-07.118936718,1525626667.120440694,0.01,0.13,0.16,26663500,25099834406,15,47,31,58856,11257,622294,15,24,4291,0,6766,648762,4676,0,565,0,2648,0,32805052,30624064,30919604,948,606776
2018-05-06_19-11-37.156588062,1525626697.158206691,2018-05-06_19-11-37.161714428,1525626697.163281311,0.67,0.27,0.21,61582610,58066109132,49553,621,48,915688,17613,622294,15,24,5709,0,10080,667070,4680,0,1167,0,4064,0,32805052,30622668,30917984,948,606780
2018-05-06_19-12-07.201104090,1525626727.202743699,2018-05-06_19-12-07.205929265,1525626727.207275752,1.14,0.42,0.26,95258396,89757719182,821210,5651,123,915688,85000,622297,55416,24,7130,0,13422,685307,4683,0,1791,0,5482,0,32805052,30624084,30919404,948,606780
2018-05-06_19-12-37.242654783,1525626757.244067076,2018-05-06_19-12-37.247497152,1525626757.248851607,1.35,0.54,0.31,131016418,123058124062,821229,5651,123,915688,85135,622297,921180,54935,8232,0,17032,703594,4686,0,2580,0,6582,0,32805052,30625144,30920184,948,606780
2018-05-06_19-13-07.284663721,1525626787.286318760,2018-05-06_19-13-07.289769844,1525626787.291296548,1.50,0.65,0.35,166806184,156488199984,821234,55322,123,915688,85135,623552,921180,920066,9396,0,20586,721879,4688,0,3338,0,7743,0,32805052,30622680,30917704,948,606780
2018-05-06_19-13-37.331496221,1525626817.333136401,2018-05-06_19-13-37.336680523,1525626817.338210189,1.63,0.76,0.40,199637294,187245542766,821396,873302,223,966000,85135,623876,921228,920066,10843,0,23912,740170,4691,0,3897,0,9189,0,32805052,30623580,30918620,948,606788
2018-05-06_19-14-07.375998855,1525626847.377681611,2018-05-06_19-14-07.381025971,1525626847.382443933,1.51,0.82,0.43,232853428,218446992056,821490,873309,223,1792957,85135,675516,921238,920070,12295,0,27231,758452,4697,0,4491,0,10637,0,32805052,30610312,30905916,948,606800
2018-05-06_19-14-37.419087086,1525626877.420816791,2018-05-06_19-14-37.424354499,1525626877.425876675,1.64,0.92,0.47,267975290,251342038534,821532,873309,223,1792957,136244,1524427,921271,920100,13433,0,30787,776749,4700,0,5279,0,11773,0,32805052,30611192,30906264,948,606800
2018-05-06_19-15-07.461475647,1525626907.463098889,2018-05-06_19-15-07.466612588,1525626907.468139982,1.73,1.00,0.52,303073472,284112184932,821539,873309,48388,1792961,993212,1524491,921271,920235,14542,0,34383,795040,4701,0,6062,0,12877,0,32805052,30609440,30904812,948,606800
2018-05-06_19-15-37.506146058,1525626937.507773152,2018-05-06_19-15-37.511631055,1525626937.513342506,1.78,1.08,0.56,335831622,314786557338,821595,920501,869485,1793009,993231,1524491,921271,920485,16014,0,37728,813321,4704,0,6598,0,14345,0,32805052,30608612,30903928,948,606804
