StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-07_16-05-53.472233568,1525701953.473769255,25005847755,2018-05-07_16-06-23.512810489,1525701983.514326363,0.45,0.24,0.14,660750670,806742167458,1816047,2218249,792112,46,269401,2607957,20,5054196,1302,7,17844,1445679,3035,0,127,0,0,0,32805052,31826180,31704052,948,148524
2018-05-07_16-06-23.549697759,1525701983.551318719,24880273597,2018-05-07_16-06-53.597859328,1525702013.599408379,0.49,0.26,0.15,723804244,900416803296,1816049,3124514,792112,46,269401,2607957,20,5554164,1312,7,20037,1465622,3035,0,136,0,0,0,32805052,31824596,31702472,948,148524
2018-05-07_16-06-53.635612156,1525702013.637120519,25042895326,2018-05-07_16-07-23.676836970,1525702043.678360371,0.62,0.32,0.17,786076058,994634458732,1816051,4008284,792112,46,269401,2607957,20,6043405,1325,7,21896,1485758,3035,0,143,0,0,0,32805052,31812464,31690060,948,148536
2018-05-07_16-07-23.714166987,1525702043.715775083,25162165390,2018-05-07_16-07-53.755902894,1525702073.757430185,0.71,0.37,0.19,849406368,1090001870364,1816065,4008284,792112,46,1152283,2607957,20,6534423,1339,7,23712,1505891,3035,0,166,0,0,0,32805052,31812516,31690356,948,148536
2018-05-07_16-07-53.793097847,1525702073.794700486,25146306895,2018-05-07_16-08-23.833924758,1525702103.835458214,0.63,0.38,0.20,911021158,1184700263822,1816073,4008284,792112,51,2026426,2607957,20,7023723,1351,7,25539,1526056,3035,0,187,0,0,0,32805052,31813884,31691136,948,148540
2018-05-07_16-08-23.871078927,1525702103.872685619,25063662700,2018-05-07_16-08-53.912864223,1525702133.914396916,0.59,0.39,0.21,978186540,1279000211388,2754525,4008284,792112,51,2026426,2607957,20,7511919,1367,7,27456,1546115,3035,0,208,0,0,0,32805052,31813312,31690856,948,148540
2018-05-07_16-08-53.950359405,1525702133.951980280,24930345898,2018-05-07_16-09-23.991841690,1525702163.993371677,0.61,0.42,0.23,1042399922,1372800743556,3671186,4008284,792112,51,2026426,2607957,20,8004881,1381,7,29583,1566087,3035,0,223,0,0,0,32805052,31814464,31691292,948,148540
2018-05-07_16-09-24.029021286,1525702164.030636861,25151990283,2018-05-07_16-09-54.069836079,1525702194.071365983,0.68,0.46,0.25,1106885304,1468215701708,3671188,4008284,1692909,67,2026426,2607957,20,8493472,1395,7,31470,1586206,3035,0,238,0,0,0,32805052,31813252,31690084,948,148544
2018-05-07_16-09-54.107409091,1525702194.108952325,25156166506,2018-05-07_16-10-24.147793872,1525702224.149323807,0.56,0.45,0.25,1173676158,1562867605612,3671190,4008284,2630949,67,2026426,2607957,20,8981168,1408,7,33365,1606302,3035,0,249,0,0,0,32805052,31825400,31703000,948,148548
2018-05-07_16-10-24.184887860,1525702224.186502323,25034737889,2018-05-07_16-10-54.227851639,1525702254.229372801,0.56,0.45,0.26,1237265860,1657055321456,3671192,4008284,2630962,67,2026426,2607957,904305,9471919,1419,7,35364,1626394,3035,0,257,0,0,0,32805052,31825352,31702956,948,148548
2018-05-07_16-10-54.265010518,1525702254.266539058,25125339096,2018-05-07_16-11-24.306782360,1525702284.308313936,0.45,0.44,0.26,1300042058,1752372689706,3671194,4008284,2630973,67,2026426,2607957,1788852,9961814,1431,7,37255,1646571,3035,0,262,0,0,0,32805052,31825608,31703512,948,148548
2018-05-07_16-11-24.343962378,1525702284.345590024,25164529650,2018-05-07_16-11-54.384864730,1525702314.386369550,0.46,0.45,0.27,1362063376,1847047295452,3671203,4008284,2630973,67,2907105,2607957,1788852,10450611,1442,7,39158,1666723,3035,0,281,0,0,0,32805052,31825336,31702696,948,148548
2018-05-07_16-11-54.421958148,1525702314.423559912,25141775336,2018-05-07_16-12-24.462951453,1525702344.464484288,0.52,0.47,0.28,1423932566,1941639923874,3671217,4008284,2630973,67,3788374,2607957,1788852,10940405,1455,7,41087,1686861,3035,0,301,0,0,0,32805052,31825300,31702644,948,148548
