StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-07_16-05-54.589629278,1525701954.593561252,2018-05-07_16-05-54.601308739,1525701954.605051138,0.37,0.42,0.22,396213355148,378538314,3147342,73234,72065,3037202,198266,2585096,2541631,4649125,1126,0,14256,294072,2768,0,141,0,0,0,32805052,31812200,31694324,948,155416
2018-05-07_16-06-24.676585403,1525701984.678948885,2018-05-07_16-06-24.683624926,1525701984.685744595,0.62,0.47,0.25,490519591552,436174440,3166934,73234,266771,3037202,3148827,2585096,2541631,5401909,1159,0,17138,312836,2768,0,184,0,0,0,32805052,31811620,31693480,948,155420
2018-05-07_16-06-54.763701950,1525702014.765809015,2018-05-07_16-06-54.772725991,1525702014.774428320,0.77,0.52,0.27,584365215898,495398886,3166935,266768,3170566,3037202,3148827,2585096,2541631,6157855,1194,0,19999,331612,2768,0,205,0,0,0,32805052,31811420,31693196,948,155420
2018-05-07_16-07-24.828856376,1525702044.834059597,2018-05-07_16-07-24.843368196,1525702044.847449271,0.86,0.57,0.30,678791796026,553972812,3166936,3177064,3171721,3037202,3148827,2585096,2737567,6916345,1228,0,22877,350363,2768,0,229,0,0,0,32805052,31812268,31694524,948,155420
2018-05-07_16-07-54.917260066,1525702074.920559082,2018-05-07_16-07-54.925733816,1525702074.927782467,1.05,0.64,0.33,773674870346,612959658,3166937,3178127,3188559,3037202,3148827,2781550,5644222,7677718,1262,0,25769,369101,2768,0,253,0,0,0,32805052,31799592,31681432,948,155428
2018-05-07_16-08-24.990139840,1525702104.992827071,2018-05-07_16-08-24.997260299,1525702104.999395553,0.95,0.66,0.34,868441963820,671178624,3166938,3193993,3188559,3207545,3148827,5712628,5644222,8435650,1294,0,28672,387841,2768,0,279,0,0,0,32805052,31799600,31681476,948,155432
2018-05-07_16-08-55.095961751,1525702135.099903202,2018-05-07_16-08-55.108947998,1525702135.112973762,1.04,0.71,0.37,963077979878,734206410,3361600,3193993,3188559,5786797,3148827,5712628,5644222,9159987,1330,0,31548,406681,2768,0,301,0,0,0,32805052,31798152,31679996,948,155432
2018-05-07_16-09-25.206983029,1525702165.211370648,2018-05-07_16-09-25.219321721,1525702165.222873099,1.03,0.73,0.39,1057194605170,794616756,6433410,3193993,3188559,5786797,3148827,5712628,5644222,9921233,1367,0,34429,425475,2768,0,351,0,0,0,32805052,31799068,31681460,948,155432
2018-05-07_16-09-55.316958795,1525702195.320905882,2018-05-07_16-09-55.334463042,1525702195.338750988,0.95,0.74,0.41,1152159627926,854978682,9322817,3193993,3188559,5968532,3148827,5712628,5644222,10682757,1399,0,37329,444231,2768,0,396,0,0,0,32805052,31799496,31681404,948,155436
2018-05-07_16-10-25.393640265,1525702225.397084836,2018-05-07_16-10-25.402548057,1525702225.404619588,1.04,0.79,0.43,1246937924574,917496468,9322818,3195312,3188559,8553570,3148827,5913912,5644222,11407342,1434,0,40207,463023,2768,0,416,0,0,0,32805052,31799548,31681336,948,155448
2018-05-07_16-10-55.460598494,1525702255.465522063,2018-05-07_16-10-55.477084919,1525702255.481349725,1.03,0.81,0.45,1341369560524,977178414,9322819,3214737,3189690,8553570,3148827,8787377,5855605,12168766,1468,0,43092,481821,2768,0,446,0,0,0,32805052,31811540,31693416,948,155440
2018-05-07_16-11-25.598791804,1525702285.604642216,2018-05-07_16-11-25.617555547,1525702285.622409740,0.93,0.81,0.46,1436326721018,1035750060,9322820,3214737,3207526,8553570,3148827,8787377,9010080,12931492,1501,0,45993,500598,2768,0,463,0,0,0,32805052,31812096,31694148,948,155440
2018-05-07_16-11-55.743880720,1525702315.745968951,2018-05-07_16-11-55.750102657,1525702315.753371992,1.04,0.84,0.48,1531349814484,1094138706,9322821,3215854,3223359,8553570,3148827,9007125,11957533,13693283,1536,0,48887,519334,2768,0,489,0,0,0,32805052,31811812,31693788,948,155440
2018-05-07_16-12-25.812858805,1525702345.817639864,2018-05-07_16-12-25.827342477,1525702345.831289838,1.14,0.89,0.51,1626155555996,1152617172,9322822,3231711,3223359,8746349,3148827,11935349,11957533,14451674,1568,0,51778,538075,2768,0,511,0,0,0,32805052,31812140,31693652,948,155440
2018-05-07_16-12-55.905239479,1525702375.910149215,2018-05-07_16-12-55.918215433,1525702375.921030164,1.17,0.93,0.54,1720870982452,1214886498,9539920,3231711,3223359,11333874,3148827,11935349,11957533,15176098,1603,0,54653,556900,2768,0,526,0,0,0,32805052,31811684,31692980,948,155444
2018-05-07_16-13-26.008570618,1525702406.012812038,2018-05-07_16-13-26.020179606,1525702406.025167994,1.10,0.94,0.55,1815687804110,1274283684,12669121,3231711,3223359,11333874,3148827,11935349,11957533,15939220,1633,0,57548,575673,2768,0,564,0,0,0,32805052,31812036,31693600,948,155444
2018-05-07_16-13-56.148094073,1525702436.150138322,2018-05-07_16-13-56.158998986,1525702436.163601671,1.06,0.94,0.57,1911273033270,1333244310,15601612,3231711,3223359,11537265,3148827,11935349,11957533,16700992,1667,0,60456,594410,2768,0,607,0,0,0,32805052,31811036,31693224,948,155444
2018-05-07_16-14-26.262428817,1525702466.265614440,2018-05-07_16-14-26.270047521,1525702466.272200049,1.11,0.96,0.59,2006394628894,1395437196,15601613,3233104,3223359,14122605,3148827,12167991,11957533,17425986,1698,0,63344,613210,2768,0,623,0,0,0,32805052,31810604,31691896,948,155444
2018-05-07_16-14-56.321691313,1525702496.326533651,2018-05-07_16-14-56.338191890,1525702496.342994556,1.12,0.98,0.60,2100879229904,1456790262,15601614,3253932,3224695,14122605,3148827,15072241,12189728,18177781,1731,0,66236,631975,2768,0,647,0,0,0,32805052,31812308,31694288,948,155444
2018-05-07_16-15-26.452720417,1525702526.455121890,2018-05-07_16-15-26.459965518,1525702526.461744656,1.21,1.02,0.63,2195501952118,1516387008,15601615,3476604,3242600,14122605,3148827,15072241,15062919,18938678,1767,0,69113,650743,2768,0,663,0,0,0,32805052,31813336,31695204,948,155444
2018-05-07_16-15-56.517790125,1525702556.521120325,2018-05-07_16-15-56.530543609,1525702556.535376284,1.13,1.01,0.64,2288122149128,1578648654,15601616,6258646,3466524,14122605,3148827,15072241,15062919,19695458,1804,0,71962,669559,2768,0,692,0,0,0,32805052,31798864,31680496,948,155456
2018-05-07_16-16-26.640771199,1525702586.644686212,2018-05-07_16-16-26.653880889,1525702586.658056374,1.07,1.01,0.65,2380548608902,1641267120,15604068,6258646,6230679,14122605,3376437,15072241,15062919,20450933,1839,0,74811,688388,2768,0,713,0,0,0,32805052,31799508,31681156,948,155456
2018-05-07_16-16-56.734322354,1525702616.737639898,2018-05-07_16-16-56.741968799,1525702616.744060710,1.10,1.03,0.67,2472699156386,1703001768,15634925,6258646,6230679,14124680,6150143,15072241,15062919,21397266,1869,0,77643,707254,2768,0,777,0,0,0,32805052,31798696,31680008,948,155456
2018-05-07_16-17-26.812726185,1525702646.817085669,2018-05-07_16-17-26.825205142,1525702646.827962368,1.17,1.06,0.69,2565121102932,1766912154,15634926,6258646,6230679,14153778,6150143,15072241,15062919,24717283,1905,0,80453,726173,2768,0,796,0,0,0,32805052,31797520,31679984,948,155460
2018-05-07_16-17-56.901535923,1525702676.905817406,2018-05-07_16-17-56.913867126,1525702676.917760821,1.12,1.05,0.70,2659678608500,1827785940,15636291,6258646,6230679,14170542,6394986,15072241,15062919,27928962,1941,0,83314,745012,2768,0,828,0,0,0,32805052,31798428,31680140,948,155460
2018-05-07_16-18-26.995631048,1525702706.999606672,2018-05-07_16-18-27.008363376,1525702707.012646026,1.12,1.06,0.71,2754273580074,1885599546,15653880,6258646,6469183,14170542,9320311,15072241,15062919,28686727,1971,0,86190,763772,2768,0,883,0,0,0,32805052,31799036,31680932,948,155464
2018-05-07_16-18-57.097536644,1525702737.102627032,2018-05-07_16-18-57.115376256,1525702737.119018584,1.22,1.09,0.73,2849029056898,1944133152,15653881,6500947,9333078,14170542,9320311,15072241,15062919,29445330,2004,0,89061,782516,2768,0,901,0,0,0,32805052,31811828,31693348,948,155456
2018-05-07_16-19-27.165876539,1525702767.171049470,2018-05-07_16-19-27.183474377,1525702767.187839022,1.13,1.08,0.74,2943720981584,2002183278,15653882,9366612,9334546,14170542,9320311,15072241,15310906,30204096,2038,0,91935,801275,2768,0,922,0,0,0,32805052,31813108,31695040,948,155456
2018-05-07_16-19-57.304661484,1525702797.308438269,2018-05-07_16-19-57.313005803,1525702797.314951612,1.13,1.09,0.75,3038658961904,2060869824,15653883,9368033,9351747,14170542,9320311,15322662,18205778,30964432,2075,0,94806,820038,2768,0,942,0,0,0,32805052,31812128,31693588,948,155460
2018-05-07_16-20-27.365310138,1525702827.370819729,2018-05-07_16-20-27.379595281,1525702827.383434266,1.15,1.10,0.77,3133153131928,2118856350,15653884,9384913,9351747,14390326,9320311,18213946,18205778,31718821,2108,0,97681,838794,2768,0,965,0,0,0,32805052,31812132,31693736,948,155464
2018-05-07_16-20-57.487538960,1525702857.491001969,2018-05-07_16-20-57.499111325,1525702857.503686777,1.15,1.10,0.78,3227848458102,2180093916,15902094,9384913,9351747,16968146,9320311,18213946,18205778,32442550,2142,0,100555,857613,2768,0,986,0,0,0,32805052,31812932,31693436,948,155464
2018-05-07_16-21-27.584370523,1525702887.588131039,2018-05-07_16-21-27.595690273,1525702887.598559094,1.09,1.09,0.79,3322546681166,2239982322,19002142,9384913,9351747,16968146,9320311,18213946,18205778,33205140,2176,0,103425,876386,2768,0,1023,0,0,0,32805052,31812604,31693680,948,155464
2018-05-07_16-21-57.689911574,1525702917.694004145,2018-05-07_16-21-57.700764916,1525702917.704583341,1.06,1.08,0.79,3417707939300,2300106888,21867013,9384913,9351747,17199288,9320311,18213946,18205778,33966934,2207,0,106308,895141,2768,0,1062,0,0,0,32805052,31811304,31692756,948,155464
2018-05-07_16-22-27.784987539,1525702947.787419027,2018-05-07_16-22-27.791834817,1525702947.795985562,1.15,1.11,0.81,3512918580242,2362389294,21867014,9386422,9351747,19762315,9320311,18471411,18205778,34693254,2239,0,109177,913931,2768,0,1078,0,0,0,32805052,31811076,31692952,948,155464
2018-05-07_16-22-57.859032457,1525702977.864870142,2018-05-07_16-22-57.876315236,1525702977.881057680,1.09,1.10,0.81,3607462309182,2421694020,21867015,9405168,9353135,19762315,9320311,21303305,18465032,35453299,2271,0,112041,932709,2768,0,1103,0,0,0,32805052,31811480,31693252,948,155464
2018-05-07_16-23-27.938259673,1525703007.942883615,2018-05-07_16-23-27.950912046,1525703007.953735925,1.31,1.15,0.84,3701870060498,2481382566,21867016,9652639,9370175,19762315,9320311,21303305,21323983,36213445,2303,0,114907,951474,2768,0,1116,0,0,0,32805052,31811756,31693392,948,155464
2018-05-07_16-23-58.017549958,1525703038.020041347,2018-05-07_16-23-58.024908127,1525703038.026970091,1.12,1.12,0.84,3793952689932,2544209172,21867017,12408167,9620585,19762315,9320311,21303305,21323983,36969148,2337,0,117751,970306,2768,0,1142,0,0,0,32805052,31797968,31680076,948,155472
2018-05-07_16-24-28.111555827,1525703068.113607527,2018-05-07_16-24-28.117661605,1525703068.119400067,0.99,1.09,0.84,3886291826668,2607004698,21869195,12408167,12394530,19762315,9575048,21303305,21323983,37725107,2372,0,120591,989112,2768,0,1163,0,0,0,32805052,31798828,31680384,948,155476
2018-05-07_16-24-58.180942992,1525703098.187301756,2018-05-07_16-24-58.196711706,1525703098.201567958,0.93,1.07,0.84,3978607989150,2669346798,21895722,12408167,12394530,19764431,12373619,21303305,21323983,38698904,2407,0,123432,1007977,2768,0,1204,0,0,0,32805052,31797112,31679432,948,155476
2018-05-07_16-25-28.327155691,1525703128.330961091,2018-05-07_16-25-28.337379077,1525703128.341300572,0.95,1.06,0.85,4071776147190,2733154464,21895723,12408167,12394530,19786965,12373619,21303305,21323983,42064071,2448,0,126273,1026829,2768,0,1232,0,0,0,32805052,31797968,31679944,948,155476
2018-05-07_16-25-58.390428892,1525703158.394732895,2018-05-07_16-25-58.399958113,1525703158.403269656,0.98,1.06,0.85,4166322367936,2793344094,21897370,12408167,12394530,19802590,12639521,21303305,21323983,45257623,2489,0,129122,1045646,2768,0,1259,0,0,0,32805052,31798012,31680364,948,155480
2018-05-07_16-26-28.484751900,1525703188.487082239,2018-05-07_16-26-28.491211841,1525703188.493133615,1.07,1.07,0.87,4261019954852,2851696080,21914637,12408167,12660673,19802590,15520213,21303305,21323983,46016496,2524,0,132000,1064385,2768,0,1293,0,0,0,32805052,31799016,31680636,948,155480
2018-05-07_16-26-58.542527534,1525703218.546903059,2018-05-07_16-26-58.553405760,1525703218.555207916,1.12,1.08,0.87,4355814625642,2910287406,21914638,12668827,15556712,19802590,15520213,21303305,21323983,46776564,2558,0,134883,1083112,2768,0,1310,0,0,0,32805052,31808204,31689704,948,155472
2018-05-07_16-27-28.599054912,1525703248.601202556,2018-05-07_16-27-28.605928521,1525703248.607762116,1.22,1.10,0.89,4450376931940,2968548372,21914639,15779732,15556712,19802590,15520213,21303305,21323983,47534068,2592,0,137768,1101837,2768,0,1329,0,0,0,32805052,31812092,31693644,948,155476
2018-05-07_16-27-58.661972110,1525703278.667225629,2018-05-07_16-27-58.677446125,1525703278.682057228,1.06,1.08,0.89,4542527292618,3030277518,21914640,18546847,15808677,19802590,15520213,21303305,21323983,48288336,2624,0,140610,1120665,2768,0,1349,0,0,0,32805052,31811772,31693576,948,155476
2018-05-07_16-28-28.769366232,1525703308.771445598,2018-05-07_16-28-28.780877720,1525703308.784152460,1.10,1.08,0.89,4635344366002,3092774664,21917002,18546847,18596056,19802590,15778806,21303305,21323983,49047689,2656,0,143464,1139479,2768,0,1367,0,0,0,32805052,31812556,31694128,948,155476
2018-05-07_16-28-58.867435839,1525703338.872016778,2018-05-07_16-28-58.878050704,1525703338.880460238,1.06,1.08,0.90,4727909087640,3154477170,21942751,18546847,18596056,19804853,18587145,21303305,21323983,50020617,2690,0,146310,1158302,2768,0,1398,0,0,0,32805052,31810408,31691956,948,155476
2018-05-07_16-29-28.938973178,1525703368.943362533,2018-05-07_16-29-28.950769275,1525703368.953608645,1.04,1.07,0.90,4820318085346,3218360616,21942752,18546847,18596056,19829915,18587145,21303305,21323983,53363016,2723,0,149141,1177202,2768,0,1411,0,0,0,32805052,31810948,31692960,948,155476
2018-05-07_16-29-59.011561381,1525703399.013653740,2018-05-07_16-29-59.017695213,1525703399.019468221,1.02,1.06,0.90,4914649302864,3279226662,21944607,18546847,18596056,19846485,18848289,21303305,21323983,56550393,2757,0,151998,1196029,2768,0,1441,0,0,0,32805052,31811360,31693180,948,155476
2018-05-07_16-30-29.072998728,1525703429.078896797,2018-05-07_16-30-29.090112925,1525703429.094887225,1.09,1.07,0.91,5008572375904,3337390248,21965058,18546847,18856609,19846485,21722650,21303305,21323983,57304429,2791,0,154869,1214840,2768,0,1477,0,0,0,32805052,31810604,31692016,948,155484
2018-05-07_16-30-59.202147435,1525703459.206144129,2018-05-07_16-30-59.211494733,1525703459.213770678,1.14,1.08,0.92,5103248358728,3396686574,21965059,18810277,21700517,19846485,21722650,21303305,21323983,58065521,2822,0,157754,1233607,2768,0,1493,0,0,0,32805052,31810160,31691984,948,155484
2018-05-07_16-31-29.266501761,1525703489.271852791,2018-05-07_16-31-29.283331354,1525703489.288562896,1.08,1.08,0.92,5197436776778,3455103600,21965060,21647011,21701862,19846485,21722650,21303305,21596203,58821702,2856,0,160630,1252369,2768,0,1519,0,0,0,32805052,31811724,31693996,948,155484
2018-05-07_16-31-59.345433825,1525703519.349098516,2018-05-07_16-31-59.355430360,1525703519.358702284,1.05,1.07,0.93,5291447623788,3513268086,21965061,21648479,21720381,19846485,21722650,21569798,24467868,59576128,2890,0,163498,1271133,2768,0,1545,0,0,0,32805052,31798576,31680180,948,155496
2018-05-07_16-32-29.416359846,1525703549.420417591,2018-05-07_16-32-29.429840204,1525703549.432906251,0.96,1.05,0.92,5386307969436,3571993542,21965062,21665492,21720381,20082258,21722650,24435014,24467868,60332367,2926,0,166388,1289892,2768,0,1574,0,0,0,32805052,31798920,31681420,948,155496
2018-05-07_16-32-59.508516803,1525703579.512646463,2018-05-07_16-32-59.522507163,1525703579.526869468,0.91,1.03,0.92,5481046915240,3634157208,22231253,21665492,21720381,22639342,21722650,24435014,24467868,61055357,2960,0,169258,1308716,2768,0,1598,0,0,0,32805052,31799248,31680432,948,155496
2018-05-07_16-33-29.608323557,1525703609.612295338,2018-05-07_16-33-29.619984176,1525703609.622667970,0.95,1.02,0.92,5576080002048,3693409374,25368038,21665492,21720381,22639342,21722650,24435014,24467868,61818997,3000,0,172146,1327480,2768,0,1644,0,0,0,32805052,31798540,31679880,948,155500
2018-05-07_16-33-59.732342911,1525703639.737850072,2018-05-07_16-33-59.748654913,1525703639.752825436,0.91,1.01,0.92,5671276089572,3752388900,28260058,21665492,21720381,22888962,21722650,24435014,24467868,62578667,3036,0,175055,1346222,2768,0,1688,0,0,0,32805052,31799128,31680104,948,155504
2018-05-07_16-34-29.826348302,1525703669.828620078,2018-05-07_16-34-29.832938305,1525703669.836611623,0.88,0.99,0.92,5765716626078,3813690006,28260059,21667184,21720381,25459502,21722650,24706648,24467868,63300047,3068,0,177923,1365016,2768,0,1701,0,0,0,32805052,31799084,31681032,948,155508
2018-05-07_16-34-59.889668715,1525703699.895407321,2018-05-07_16-34-59.906993797,1525703699.911204941,0.93,0.99,0.92,5860393861508,3873332052,28260060,21683901,21722044,25459502,21722650,27529482,24742334,64064061,3100,0,180822,1383788,2768,0,1730,0,0,0,32805052,31811364,31693736,948,155500
2018-05-07_16-35-30.020139732,1525703730.023856473,2018-05-07_16-35-30.032458496,1525703730.035691888,1.08,1.02,0.93,5955101436268,3933222078,28261880,21683901,21740525,25459502,22000949,27529482,27560585,64826010,3131,0,183708,1402577,2768,0,1758,0,0,0,32805052,31811640,31693240,948,155500
2018-05-07_16-36-00.127122267,1525703760.131904910,2018-05-07_16-36-00.143580105,1525703760.149325366,1.05,1.02,0.94,6049854094018,3992458584,28280886,21683901,21740525,25461034,24833789,27529482,27560585,65829257,3167,0,186582,1421369,2768,0,1794,0,0,0,32805052,31810992,31692680,948,155500
2018-05-07_16-36-30.231202918,1525703790.234086449,2018-05-07_16-36-30.238368491,1525703790.240119010,1.03,1.02,0.94,6144234032776,4053102450,28280887,21959714,21740525,25476452,24833789,27529482,27560585,69038762,3199,0,189445,1440184,2768,0,1811,0,0,0,32805052,31810184,31692096,948,155500
2018-05-07_16-37-00.311439128,1525703820.314736320,2018-05-07_16-37-00.321619302,1525703820.324378665,1.09,1.03,0.95,6238688538624,4112541036,28280888,24731170,22020980,25476452,24833789,27529482,27560585,69799544,3233,0,192322,1458975,2768,0,1836,0,0,0,32805052,31811516,31693268,948,155500
2018-05-07_16-37-30.434642511,1525703850.437623566,2018-05-07_16-37-30.446662154,1525703850.451689631,1.05,1.03,0.95,6332949452882,4172809362,28280889,24731170,25097098,25476452,24833789,27529482,27560585,70561702,3265,0,195198,1477791,2768,0,1856,0,0,0,32805052,31811392,31693428,948,155500
2018-05-07_16-38-00.560426313,1525703880.563751416,2018-05-07_16-38-00.568384260,1525703880.570438071,1.03,1.02,0.95,6425025831132,4234813068,28280890,25011344,27829594,25476452,24833789,27529482,27560585,71314927,3295,0,198030,1496630,2768,0,1877,0,0,0,32805052,31809948,31692148,948,155500
2018-05-07_16-38-30.633181422,1525703910.636758340,2018-05-07_16-38-30.645390110,1525703910.649705552,1.10,1.04,0.96,6517453803832,4296920574,28280891,27724055,27829594,25478644,24833789,27529482,27560585,72313411,3322,0,200877,1515456,2768,0,1899,0,0,0,32805052,31810180,31692012,948,155500
2018-05-07_16-39-00.715359515,1525703940.717969682,2018-05-07_16-39-00.722481465,1525703940.724486959,1.06,1.04,0.96,6609680213746,4362254640,28283650,27724055,27829594,25502335,25116745,27529482,27560585,75373681,3357,0,203699,1534353,2768,0,1912,0,0,0,32805052,31811124,31692676,948,155500
