StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-08_13-44-14.319825459,1525779854.321229074,2018-05-08_13-44-14.324511020,1525779854.325957073,0.08,0.15,0.14,172046592,164245966593,402851,439572,1034215,1008419,312226,190152,359682,329145,7380,0,14675,3005733,5582,0,2178,0,4242,0,32805052,29696108,30087852,948,700292
2018-05-08_13-44-44.362900856,1525779884.364328808,2018-05-08_13-44-44.367452515,1525779884.368796786,0.73,0.30,0.19,234983302,205880277631,455596,485985,1086803,1331496,312226,190152,359682,1150835,8517,0,18457,3023197,5583,0,3534,0,5368,0,32805052,29699420,30090880,948,700296
2018-05-08_13-45-14.402850842,1525779914.404301856,2018-05-08_13-45-14.407465989,1525779914.408823448,1.16,0.45,0.24,284673292,250384130053,1087503,595821,1090975,1684551,368574,190152,359682,1150835,9774,0,21880,3041139,5587,0,4869,0,6622,0,32805052,29702804,30094264,948,700296
2018-05-08_13-45-44.443414994,1525779944.444815858,2018-05-08_13-45-44.447915533,1525779944.449253963,1.49,0.60,0.30,337173906,293205319675,1087503,965295,1207198,1719684,1016649,190152,359682,1150835,10904,0,25814,3058654,5590,0,5945,0,7744,0,32805052,29688008,30079188,948,700308
2018-05-08_13-46-14.483646686,1525779974.485198065,2018-05-08_13-46-14.488528482,1525779974.489952506,1.61,0.71,0.35,399246424,337278812869,1087569,1052632,2040987,2070043,1016649,190152,425122,1150835,12092,0,29751,3076143,5592,0,6989,0,8930,0,32805052,29686376,30077844,948,700308
2018-05-08_13-46-44.527237056,1525780004.528660915,2018-05-08_13-46-44.531848898,1525780004.533207390,1.88,0.87,0.41,446732446,379204747367,1087569,1240095,2062502,2285223,1082918,190152,1065091,1150835,13172,0,33721,3093664,5596,0,8057,0,10005,0,32805052,29687140,30078260,948,700312
2018-05-08_13-47-14.567782722,1525780034.569209472,2018-05-08_13-47-14.572317051,1525780034.573659065,1.87,0.96,0.46,505573988,421045125673,1139021,1302424,2070461,2658952,1865157,190152,1065091,1150835,14293,0,37635,3111150,5600,0,9241,0,11122,0,32805052,29686248,30077736,948,700316
2018-05-08_13-47-44.607845016,1525780064.609502091,2018-05-08_13-47-44.612898214,1525780064.614278636,2.00,1.08,0.51,549640746,465583687083,1758319,1315020,2077190,3116951,1865157,190152,1114623,1150835,15540,0,41128,3129085,5601,0,10528,0,12364,0,32805052,29685776,30077264,948,700316
2018-05-08_13-48-14.651245680,1525780094.652678010,2018-05-08_13-48-14.655799883,1525780094.657136142,2.06,1.18,0.56,599021808,508137296503,1758319,1322635,2139142,3531953,1865157,190152,1741588,1150835,16628,0,45092,3146611,5603,0,11598,0,13447,0,32805052,29685064,30077292,948,700320
2018-05-08_13-48-44.692198745,1525780124.693795747,2018-05-08_13-48-44.697256568,1525780124.698727087,2.04,1.26,0.61,653186678,550294844645,1758364,1361922,3017903,3653370,1865157,252908,1741588,1150835,17729,0,49002,3164404,5611,0,12686,0,14543,0,32805052,29697052,30090160,948,701628
2018-05-08_13-49-14.737735299,1525780154.739167157,2018-05-08_13-49-14.742272449,1525780154.743629392,2.16,1.36,0.66,713198908,591892431369,1758364,1480559,3366385,3696935,1865157,1025489,1741588,1150835,18850,0,52931,3181882,5614,0,13677,0,15661,0,32805052,29697396,30089844,948,701632
2018-05-08_13-49-44.778035008,1525780184.779744330,2018-05-08_13-49-44.783367651,1525780184.784821305,2.04,1.41,0.70,781418690,634919972349,1758364,2458598,3713187,3723964,1865157,1025489,1741588,1201655,20002,0,56840,3199414,5619,0,14637,0,16808,0,32805052,29698140,30090676,948,701632
2018-05-08_13-50-14.821183257,1525780214.822616661,2018-05-08_13-50-14.825727041,1525780214.827071164,1.96,1.45,0.74,834442504,677520011161,1758455,2759898,3827528,3794634,1865157,1025489,1741588,1844274,21138,0,60712,3216935,5620,0,15804,0,17940,0,32805052,29697204,30089680,948,701640
2018-05-08_13-50-44.861264185,1525780244.862765382,2018-05-08_13-50-44.866037414,1525780244.867531036,1.92,1.48,0.77,889026062,720975030729,1758456,2829565,4177367,4523598,1927887,1025489,1741588,1844274,22287,0,64664,3234531,5620,0,16755,0,19085,0,32805052,29697912,30090756,948,701640
2018-05-08_13-51-14.906495774,1525780274.907906279,2018-05-08_13-51-14.911015841,1525780274.912360974,1.59,1.45,0.78,953430810,762406805165,1821129,3134646,4285559,4550463,2745140,1025489,1741588,1844274,23423,0,68534,3252003,5620,0,17761,0,20218,0,32805052,29696868,30089704,948,701644
