StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-08_17-19-10.776524110,1525792750.778043106,16113459238,2018-05-08_17-19-40.809564370,1525792780.811067225,0.15,0.16,0.22,26705948446,20311319848909,67446810,47911797,41491998,54681490,26289119,14963826,1102367,1559249,205859,0,972111,11658438,6256,0,230393,0,195611,0,32805052,31205796,31636692,948,747904
2018-05-08_17-19-40.846947939,1525792780.848408432,,2018-05-08_17-19-40.855413877,1525792780.856893206,0.15,0.16,0.22,26705948446,20311319848909,67446810,47911797,41491998,54681490,26289119,14963826,1102367,1559249,205861,0,972114,11658469,6256,0,230393,0,195611,0,32805052,31204832,31636524,948,747904
2018-05-08_17-19-40.892368588,1525792780.893842245,,2018-05-08_17-19-40.900710993,1525792780.902195005,0.15,0.16,0.22,26705948446,20311319848909,67446810,47911797,41491998,54681490,26289119,14963826,1102367,1559249,205862,0,972117,11658500,6256,0,230393,0,195611,0,32805052,31204392,31635808,948,747904
2018-05-08_17-19-40.937649327,1525792780.939111110,,2018-05-08_17-19-40.945956315,1525792780.947443849,0.15,0.16,0.22,26705948446,20311319848909,67446810,47911797,41491998,54681490,26289119,14963826,1102367,1559249,205862,0,972122,11658531,6256,0,230393,0,195611,0,32805052,31204444,31635912,948,747904
2018-05-08_17-19-40.982895151,1525792780.984363426,,2018-05-08_17-19-40.991160658,1525792780.992617431,0.15,0.16,0.22,26705948446,20311319848909,67446810,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205864,0,972125,11658562,6256,0,230393,0,195611,0,32805052,31204004,31635944,948,747904
2018-05-08_17-19-41.028109815,1525792781.029577309,,2018-05-08_17-19-41.036469107,1525792781.038001904,0.15,0.16,0.22,26705948446,20311319848909,67446811,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205865,0,972129,11658593,6256,0,230393,0,195611,0,32805052,31203612,31635604,948,747904
2018-05-08_17-19-41.073494958,1525792781.074972079,,2018-05-08_17-19-41.081801394,1525792781.083275912,0.15,0.16,0.22,26705948766,20311319849259,67446811,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205867,0,972132,11658625,6256,0,230393,0,195611,0,32805052,31202292,31633764,948,747904
2018-05-08_17-19-41.119370894,1525792781.120857216,,2018-05-08_17-19-41.127819340,1525792781.129339984,0.15,0.16,0.22,26705948766,20311319849259,67446812,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205869,0,972135,11658656,6256,0,230393,0,195611,0,32805052,31202244,31633956,948,747904
2018-05-08_17-19-41.165077145,1525792781.166569966,,2018-05-08_17-19-41.173426971,1525792781.174902364,0.15,0.16,0.22,26705948766,20311319849259,67446812,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205870,0,972138,11658687,6256,0,230393,0,195611,0,32805052,31201836,31633308,948,747904
2018-05-08_17-19-41.210348589,1525792781.211821235,,2018-05-08_17-19-41.218623080,1525792781.220100765,0.15,0.16,0.22,26705948766,20311319849259,67446812,47911797,41491998,54681490,26289120,14963826,1102367,1559249,205872,0,972142,11658718,6256,0,230393,0,195611,0,32805052,31201880,31633060,948,747904
