StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-08_20-54-37.051629428,1525805677.053202346,2018-05-08_20-54-37.056644231,1525805677.058150094,0.08,0.31,0.24,9316,128,6,0,0,1,0,0,0,0,9387,0,11548,488282,5482,0,8,0,7350,0,32805052,14271084,14616140,948,656472
2018-05-08_20-55-07.096402593,1525805707.098036368,2018-05-08_20-55-07.101310220,1525805707.102675432,1.06,0.52,0.31,9316,128,6,0,0,1,0,0,0,0,13261,0,16496,503408,5484,0,10,0,10798,0,32805052,14272452,14617352,948,656484
2018-05-08_20-55-37.138863195,1525805737.140416410,2018-05-08_20-55-37.143801860,1525805737.145183762,1.55,0.69,0.38,9316,128,6,0,0,1,0,0,0,0,16916,0,21491,518738,5488,0,12,0,14114,0,32805052,14289216,14634136,948,656480
2018-05-08_20-56-07.181706644,1525805767.183349271,2018-05-08_20-56-07.187260628,1525805767.188826477,1.95,0.87,0.45,9316,128,6,0,0,1,0,0,0,0,20530,0,26398,534248,5496,0,13,0,17423,0,32805052,14289892,14634552,948,656484
2018-05-08_20-56-37.225717717,1525805797.227258078,2018-05-08_20-56-37.230366235,1525805797.231729803,2.30,1.06,0.52,9316,128,6,0,0,1,0,0,0,0,24151,0,31315,549742,5499,0,14,0,20732,0,32805052,14292616,14637540,948,656484
2018-05-08_20-57-07.266164801,1525805827.267721733,2018-05-08_20-57-07.270842932,1525805827.272437167,2.23,1.16,0.57,9316,128,6,0,0,1,0,0,0,0,27888,0,36300,564992,5504,0,14,0,24105,0,32805052,14292820,14637744,948,656484
2018-05-08_20-57-37.307064218,1525805857.308724996,2018-05-08_20-57-37.312367883,1525805857.313963379,2.20,1.26,0.62,9316,128,6,0,0,1,0,0,0,0,31446,0,41198,580499,5505,0,15,0,27336,0,32805052,14288932,14634380,948,656484
2018-05-08_20-58-07.353786541,1525805887.355425599,2018-05-08_20-58-07.358919033,1525805887.360468312,2.19,1.34,0.67,9316,128,6,0,0,1,0,0,0,0,33825,0,45720,597583,5519,0,16,0,29515,0,32805052,14285956,14632952,948,658556
2018-05-08_20-58-37.398943656,1525805917.400498671,2018-05-08_20-58-37.403607252,1525805917.405059921,2.16,1.42,0.72,9316,128,6,0,0,1,0,0,0,0,37559,0,50777,612804,5529,0,16,0,32885,0,32805052,14291092,14638144,948,658716
2018-05-08_20-59-07.440503128,1525805947.442165104,2018-05-08_20-59-07.445690198,1525805947.447236675,1.97,1.45,0.75,9316,128,6,0,0,1,0,0,0,0,41334,0,55667,628138,5533,0,16,0,36322,0,32805052,14288952,14635568,948,658716
2018-05-08_20-59-37.485841823,1525805977.487548327,2018-05-08_20-59-37.491176273,1525805977.492795411,2.14,1.54,0.81,9316,128,6,0,0,1,0,0,0,0,44866,0,60578,643668,5536,0,17,0,39525,0,32805052,14287500,14634936,948,658720
2018-05-08_21-00-07.531172045,1525806007.532807930,2018-05-08_21-00-07.536267849,1525806007.537802975,2.19,1.61,0.85,9316,128,6,0,0,1,0,0,0,0,47346,0,65492,660268,5544,0,17,0,41794,0,32805052,14287556,14634512,948,658732
2018-05-08_21-00-37.575968455,1525806037.577527416,2018-05-08_21-00-37.580899229,1525806037.582249335,2.29,1.69,0.90,9316,128,6,0,0,1,0,0,0,0,51012,0,70549,675572,5544,0,18,0,45132,0,32805052,14276324,14623160,948,658740
2018-05-08_21-01-07.620324371,1525806067.621919647,2018-05-08_21-01-07.625338354,1525806067.626833123,2.06,1.70,0.93,9316,128,6,0,0,1,0,0,0,0,53122,0,73366,694636,5568,0,18,0,47035,0,32805052,14274672,14622808,948,659932
2018-05-08_21-01-37.664449516,1525806097.666014762,2018-05-08_21-01-37.669158930,1525806097.670724632,2.10,1.73,0.97,9316,128,6,0,0,1,0,0,0,0,56038,0,77400,711657,5568,0,19,0,49716,0,32805052,14275640,14624088,948,659940
2018-05-08_21-02-07.707819192,1525806127.709420212,2018-05-08_21-02-07.712835032,1525806127.714342917,2.39,1.84,1.03,9316,128,6,0,0,1,0,0,0,0,59158,0,81713,728166,5569,0,19,0,52577,0,32805052,14273960,14622416,948,659948
2018-05-08_21-02-37.751495288,1525806157.753059987,2018-05-08_21-02-37.756466399,1525806157.757986025,1.45,1.66,0.99,9316,128,6,0,0,1,0,0,0,0,59181,0,81732,752133,5573,0,19,0,52596,0,32805052,14273936,14622080,948,659948
