StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_15-51-15.173211993,1525873875.174592690,2018-05-09_15-51-15.177623921,1525873875.178953012,0.42,1.25,1.58,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1790584,13,3409127,47083338,32116,0,6407,0,1708744,0,32805052,13354732,13704644,912,682872
2018-05-09_15-51-45.212626578,1525873905.214006449,2018-05-09_15-51-45.217024284,1525873905.218370181,0.99,1.31,1.59,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1793785,13,3411120,47102222,32122,0,6408,0,1711942,0,32805052,13358592,13708252,912,682880
2018-05-09_15-52-15.252275649,1525873935.253672764,2018-05-09_15-52-15.256718647,1525873935.258071511,1.31,1.36,1.60,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1797084,13,3413122,47120942,32127,0,6408,0,1715235,0,32805052,13371544,13721464,912,682876
2018-05-09_15-52-45.292011394,1525873965.293388270,2018-05-09_15-52-45.296376672,1525873965.297731938,1.52,1.40,1.60,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1800330,13,3415098,47139756,32131,0,6408,0,1718476,0,32805052,13371292,13721220,912,682880
2018-05-09_15-53-15.331483706,1525873995.332867419,2018-05-09_15-53-15.335900046,1525873995.337244812,1.61,1.44,1.61,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1803404,13,3417437,47158383,32133,0,6409,0,1721546,0,32805052,13372016,13721684,912,682880
2018-05-09_15-53-45.371545428,1525874025.373318696,2018-05-09_15-53-45.376613564,1525874025.378030259,1.70,1.48,1.62,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1806376,13,3419718,47177165,32136,0,6409,0,1724513,0,32805052,13371716,13721368,912,682884
2018-05-09_15-54-15.413811443,1525874055.415430512,2018-05-09_15-54-15.418736296,1525874055.420143336,1.60,1.48,1.61,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1809206,13,3421772,47196238,32139,0,6409,0,1727333,0,32805052,13369372,13718316,912,682888
2018-05-09_15-54-45.454944069,1525874085.456309250,2018-05-09_15-54-45.459348190,1525874085.460667330,1.68,1.51,1.62,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1812137,13,3424434,47214655,32144,0,6411,0,1730193,0,32805052,13369420,13719104,912,682896
2018-05-09_15-55-15.494415029,1525874115.495784759,2018-05-09_15-55-15.498805924,1525874115.500125337,1.81,1.56,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1814999,13,3427088,47233143,32150,0,6411,0,1732979,0,32805052,13367788,13717488,912,682912
2018-05-09_15-55-45.533575354,1525874145.534936447,2018-05-09_15-55-45.537945015,1525874145.539265237,1.68,1.55,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1817828,13,3429742,47251655,32152,0,6412,0,1735732,0,32805052,13368756,13718460,912,682916
2018-05-09_15-56-15.572887121,1525874175.574283203,2018-05-09_15-56-15.577851826,1525874175.579173371,1.74,1.58,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1820707,13,3431986,47270498,32153,0,6414,0,1738537,0,32805052,13368476,13717920,912,682920
2018-05-09_15-56-45.612718987,1525874205.614091073,2018-05-09_15-56-45.617108919,1525874205.618429384,1.69,1.59,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1823668,13,3434327,47289200,32157,0,6415,0,1741424,0,32805052,13368256,13717968,912,682924
2018-05-09_15-57-15.652267559,1525874235.653658123,2018-05-09_15-57-15.656708310,1525874235.658039285,1.67,1.59,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1826658,13,3436660,47307924,32157,0,6417,0,1744338,0,32805052,13355856,13705580,912,682940
2018-05-09_15-57-45.691712548,1525874265.693083200,2018-05-09_15-57-45.696120877,1525874265.697460998,1.65,1.60,1.64,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1829787,13,3439279,47326178,32162,0,6419,0,1747386,0,32805052,13355432,13705168,912,682952
2018-05-09_15-58-15.731230369,1525874295.732626822,2018-05-09_15-58-15.735662035,1525874295.736993992,1.58,1.59,1.63,843247458,691272709444,1519225,2238202,1578406,1985652,1536066,1994987,1394097,879035,1833064,13,3441253,47344936,32169,0,6420,0,1750585,0,32805052,13354860,13704600,912,682956
