StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_17-46-38.791965835,1525967198.793709462,2018-05-10_17-46-38.797536445,1525967198.799224925,0.11,0.15,0.14,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,112622,170,87349,62234434,17866,0,2993,0,94953,0,32804244,12852136,14433032,1080,1891740
2018-05-10_17-47-08.841828898,1525967228.843587284,2018-05-10_17-47-08.847398126,1525967228.849109785,0.46,0.23,0.16,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,115633,170,87363,62255432,17867,0,2993,0,97958,0,32804244,12852952,14433592,1080,1891744
2018-05-10_17-47-38.892145685,1525967258.893869914,2018-05-10_17-47-38.897639215,1525967258.899328097,0.67,0.30,0.19,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,118636,170,87380,62276430,17871,0,2993,0,100957,0,32804244,12853360,14434520,1080,1891744
2018-05-10_17-48-08.942045662,1525967288.943802128,2018-05-10_17-48-08.947626484,1525967288.949326395,0.80,0.37,0.22,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,121646,170,87396,62297425,17873,0,2993,0,103962,0,32804244,12853540,14434440,1080,1891744
2018-05-10_17-48-38.992223105,1525967318.993961904,2018-05-10_17-48-38.997751232,1525967318.999446770,0.82,0.41,0.24,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,124666,170,87413,62318412,17874,0,2993,0,106977,0,32804244,12853580,14434480,1080,1891744
2018-05-10_17-49-09.042273819,1525967349.044009579,2018-05-10_17-49-09.047810534,1525967349.049512067,0.89,0.47,0.26,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,127672,170,87434,62339400,17881,0,2993,0,109977,0,32804244,12852888,14433464,1080,1891744
2018-05-10_17-49-39.092374301,1525967379.094114009,2018-05-10_17-49-39.097886805,1525967379.099588811,0.93,0.52,0.28,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,130679,170,87448,62360399,17885,0,2994,0,112979,0,32804244,12853068,14433968,1080,1891744
2018-05-10_17-50-09.142563042,1525967409.144395965,2018-05-10_17-50-09.148236543,1525967409.149929972,0.89,0.55,0.30,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,133694,170,87483,62381370,17886,0,2994,0,115989,0,32804244,12853484,14434392,1080,1891752
2018-05-10_17-50-39.192931994,1525967439.194673062,2018-05-10_17-50-39.198468304,1525967439.200167571,0.93,0.59,0.32,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,136701,170,87497,62402369,17891,0,2995,0,118991,0,32804244,12853836,14434744,1080,1891756
2018-05-10_17-51-09.243169665,1525967469.244940550,2018-05-10_17-51-09.248814183,1525967469.250519598,0.96,0.63,0.34,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,139721,170,87519,62423345,17896,0,2995,0,122004,0,32804244,12841496,14422412,1080,1891764
2018-05-10_17-51-39.293832799,1525967499.295641747,2018-05-10_17-51-39.299454066,1525967499.301147168,0.97,0.67,0.36,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,142729,170,87533,62444344,17898,0,2995,0,125007,0,32804244,12840500,14421420,1080,1891768
2018-05-10_17-52-09.344476360,1525967529.346255931,2018-05-10_17-52-09.350138646,1525967529.351854040,0.98,0.70,0.38,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,145749,170,87566,62465309,17902,0,2996,0,128020,0,32804244,12841296,14422216,1080,1891768
2018-05-10_17-52-39.395136878,1525967559.396914577,2018-05-10_17-52-39.400804548,1525967559.402517935,0.99,0.73,0.41,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,148765,170,87588,62486288,17907,0,2996,0,131030,0,32804244,12840372,14420956,1080,1891772
2018-05-10_17-53-09.445641466,1525967589.447385579,2018-05-10_17-53-09.451212478,1525967589.452913508,0.91,0.74,0.42,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,151784,170,87614,62507265,17908,0,2996,0,134042,0,32804244,12840740,14421924,1080,1891772
2018-05-10_17-53-39.495965806,1525967619.497731613,2018-05-10_17-53-39.501612217,1525967619.503306404,0.95,0.76,0.44,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,154804,170,87634,62528243,17914,0,2996,0,137055,0,32804244,12840520,14421452,1080,1891780
2018-05-10_17-54-09.546905664,1525967649.548662635,2018-05-10_17-54-09.552502872,1525967649.554199360,1.04,0.80,0.46,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,157815,170,87650,62549229,17924,0,2996,0,140061,0,32804244,12853536,14434464,1080,1891772
2018-05-10_17-54-39.597647039,1525967679.599616842,2018-05-10_17-54-39.603520854,1525967679.605224172,1.02,0.82,0.48,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,160824,170,87664,62570230,17927,0,2997,0,143065,0,32804244,12853540,14434728,1080,1891772
2018-05-10_17-55-09.648098324,1525967709.649858845,2018-05-10_17-55-09.653679111,1525967709.655383800,1.08,0.85,0.50,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,163831,170,87682,62591226,17928,0,2997,0,146068,0,32804244,12853844,14434772,1080,1891772
2018-05-10_17-55-39.698475744,1525967739.700208595,2018-05-10_17-55-39.704003523,1525967739.705700747,1.05,0.87,0.51,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,166837,170,87702,62612220,17931,0,2997,0,149069,0,32804244,12853436,14434624,1080,1891772
2018-05-10_17-56-09.748549039,1525967769.750293408,2018-05-10_17-56-09.754101618,1525967769.755798893,1.03,0.88,0.53,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,169846,170,87718,62633215,17935,0,2997,0,152072,0,32804244,12853172,14434360,1080,1891772
2018-05-10_17-56-39.798628746,1525967799.800362479,2018-05-10_17-56-39.804169110,1525967799.805866501,1.02,0.89,0.54,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,172848,170,87738,62654216,17937,0,2997,0,155070,0,32804244,12854360,14434980,1080,1891772
2018-05-10_17-57-09.848800578,1525967829.850559488,2018-05-10_17-57-09.854362306,1525967829.856065326,1.01,0.90,0.56,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,175856,170,87752,62675214,17938,0,2997,0,158074,0,32804244,12853592,14434520,1080,1891772
2018-05-10_17-57-39.898826308,1525967859.900570040,2018-05-10_17-57-39.904355594,1525967859.906052568,1.01,0.91,0.57,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,178864,170,87766,62696215,17940,0,2997,0,161078,0,32804244,12853572,14434500,1080,1891772
2018-05-10_17-58-09.948797473,1525967889.950562097,2018-05-10_17-58-09.954402627,1525967889.956126518,0.94,0.90,0.58,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,181885,170,87793,62717188,17940,0,2998,0,164093,0,32804244,12853948,14434876,1080,1891772
2018-05-10_17-58-39.999130553,1525967920.000867291,2018-05-10_17-58-40.004653943,1525967920.006354100,0.96,0.91,0.60,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,184893,170,87807,62738186,17945,0,2998,0,167096,0,32804244,12853336,14434264,1080,1891772
