StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-02_13-43-52.636973387,1525261432.638494888,16224301301,2018-05-02_13-44-22.688311184,1525261462.689815017,0.21,0.11,0.10,27280710,61244138090,7,0,0,0,14,1,0,866275,1015,0,3397,529258,2425,0,329,0,0,0,32805052,31809684,31693532,948,161740
2018-05-02_13-44-22.724980562,1525261462.726456759,17089795687,2018-05-02_13-44-52.764091201,1525261492.765632419,0.40,0.17,0.12,55579980,125663428310,144,0,0,0,894983,42,0,866275,1041,0,4395,551337,2427,0,621,0,0,0,32805052,31820200,31704324,948,161732
2018-05-02_13-44-52.801594943,1525261492.803077664,16546455719,2018-05-02_13-45-22.839052160,1525261522.840550189,0.44,0.20,0.13,83823314,187963630372,146,755589,0,0,894983,42,0,866275,1050,0,5176,573678,2427,0,771,0,0,0,32805052,31820236,31704656,948,161732
2018-05-02_13-45-22.875895214,1525261522.877375118,23244359875,2018-05-02_13-45-52.913078388,1525261552.914603310,0.60,0.26,0.15,125599000,275383854364,364,755631,0,98,897160,43,1210755,866336,1066,0,6929,594864,2427,0,1707,0,0,0,32805052,31820440,31704596,948,161732
2018-05-02_13-45-52.950124366,1525261552.951606578,16533117108,2018-05-02_13-46-22.987908041,1525261582.989557825,0.57,0.28,0.16,153548062,338324122108,379,755632,0,739745,897165,43,1210755,866354,1073,0,7885,617174,2427,0,1904,0,0,0,32805052,31820472,31705172,948,161732
2018-05-02_13-46-23.025339241,1525261583.026822629,16756723563,2018-05-02_13-46-53.063169616,1525261613.064692791,0.54,0.30,0.18,180054372,401413579814,718435,755810,0,739745,897165,43,1210781,866365,1082,0,8907,639396,2427,0,2111,0,0,0,32805052,31820828,31705528,948,161732
2018-05-02_13-46-53.100400525,1525261613.101878760,23400948424,2018-05-02_13-47-23.135855843,1525261643.137363866,0.72,0.37,0.20,222180906,489430475320,719266,755811,0,739745,897534,1178373,1210781,866429,1098,0,10455,660753,2427,0,2869,0,0,0,32805052,31820752,31704912,948,161732
2018-05-02_13-47-23.173483387,1525261643.174976556,16999593910,2018-05-02_13-47-53.206520160,1525261673.208057397,0.52,0.35,0.20,252035888,554084944808,719268,755812,0,739745,897600,2077002,1210816,866433,1111,0,11391,682889,2427,0,3152,0,0,0,32805052,31821188,31705872,948,161732
2018-05-02_13-47-53.243468508,1525261673.245001975,16525171328,2018-05-02_13-48-23.273430655,1525261703.274968680,0.45,0.35,0.21,279147958,616348431954,1453552,756055,7,739754,897600,2077003,1210816,866433,1119,0,12358,705144,2427,0,3369,0,0,0,32805052,31820060,31704724,948,161732
2018-05-02_13-48-23.310573062,1525261703.312033663,16361578117,2018-05-02_13-48-53.348509292,1525261733.350062751,0.61,0.40,0.23,307930748,677967811550,1453554,756056,7,1528054,897623,2077003,1210816,866433,1127,0,13169,727434,2427,0,3537,0,0,0,32805052,31819692,31704404,948,161732
2018-05-02_13-48-53.385605255,1525261733.387083694,16230211345,2018-05-02_13-49-23.419265462,1525261763.420792555,0.65,0.42,0.24,333975618,739070967972,1453661,756057,7,1528054,897623,2077003,2056006,866433,1136,0,14547,749249,2427,0,3915,0,0,0,32805052,31819524,31704552,948,161732
2018-05-02_13-49-23.456293972,1525261763.457912616,16644931743,2018-05-02_13-49-53.494433195,1525261793.495971991,0.46,0.40,0.24,360152840,802272233832,1455131,756058,26,2224567,897623,2077003,2056006,866472,1147,0,15422,771552,2427,0,4088,0,0,0,32805052,31808172,31692680,948,161740
