StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-02_13-43-58.797774499,1525261438.799170118,2018-05-02_13-43-58.802181368,1525261438.803495392,0.08,0.08,0.10,12437773228,5516226,4,4,1,0,0,526558,2,0,1021,0,2073,513634,2700,0,318,0,0,0,32805052,31767168,31661952,948,181028
2018-05-02_13-44-28.837221543,1525261468.838746314,2018-05-02_13-44-28.841866847,1525261468.843187278,0.44,0.17,0.13,73733513040,31091352,5,589362,1,0,1847,2576608,2,0,1050,0,3587,534631,2700,0,1791,0,0,0,32805052,31768936,31663456,948,181032
2018-05-02_13-44-58.876704842,1525261498.878193162,2018-05-02_13-44-58.881226136,1525261498.882536950,0.74,0.28,0.17,138340976564,57698118,1332,2861007,1,0,70002,2576608,463692,0,1080,0,5248,555431,2700,0,3109,0,0,0,32805052,31780540,31675056,948,181024
2018-05-02_13-45-28.917859786,1525261528.921637437,2018-05-02_13-45-28.927381973,1525261528.930213802,0.84,0.35,0.19,204723090860,86003544,102613,2861008,1,0,579627,2576608,2283701,0,1121,0,6961,576130,2702,0,4386,0,0,0,32805052,31775056,31669876,948,181024
2018-05-02_13-45-59.002178821,1525261559.003576296,2018-05-02_13-45-59.006664273,1525261559.007977808,0.83,0.39,0.21,288416726468,123251550,628817,2861008,1,520374,2590977,2577122,2283701,0,1152,0,9530,595507,2702,0,4880,0,0,0,32805052,31777136,31672132,948,181024
2018-05-02_13-46-29.042591732,1525261589.044122664,2018-05-02_13-46-29.047206721,1525261589.048530769,0.90,0.45,0.24,350786144388,149259516,628818,2861008,1,2588346,2590978,2577122,2283942,458905,1177,0,11066,616526,2702,0,6322,0,0,0,32805052,31775668,31670760,948,181024
2018-05-02_13-46-59.083559451,1525261619.087007041,2018-05-02_13-46-59.093529666,1525261619.095873030,0.86,0.49,0.26,416289731304,175446282,1198163,2862387,1,2588346,2652735,2577122,2283942,2297505,1203,0,12689,637366,2702,0,7691,0,0,0,32805052,31778828,31673124,948,181024
2018-05-02_13-47-29.168890538,1525261649.170467082,2018-05-02_13-47-29.173587745,1525261649.174904054,0.92,0.54,0.28,501752406230,213685608,3559881,3402360,1,2588346,3202909,2577124,2283942,2297505,1234,0,15283,656725,2702,0,8129,0,0,0,32805052,31778896,31673700,948,181024
2018-05-02_13-47-59.208413041,1525261679.209972399,2018-05-02_13-47-59.213126003,1525261679.214442592,0.95,0.58,0.30,566110724210,241749774,3559882,5590162,1,2588346,3288656,2577124,2730044,2297505,1265,0,16962,677469,2702,0,9445,0,0,0,32805052,31781340,31676416,948,181024
2018-05-02_13-48-29.248118779,1525261709.249620778,2018-05-02_13-48-29.252734038,1525261709.254054603,0.97,0.62,0.33,628414588312,267203280,3559883,5590162,491550,2588346,3289631,2577488,4529759,2297505,1296,0,18484,698478,2702,0,10902,0,0,0,32805052,31782516,31677204,948,181024
2018-05-02_13-48-59.287714796,1525261739.289273991,2018-05-02_13-48-59.292369328,1525261739.293682446,0.98,0.66,0.35,689774521874,294044886,3559884,5590403,2483388,2588346,3289631,3071262,4529759,2297505,1325,0,20030,719492,2702,0,12336,0,0,0,32805052,31782792,31677680,948,181024
2018-05-02_13-49-29.326829714,1525261769.328191473,2018-05-02_13-49-29.331141023,1525261769.332447672,0.91,0.67,0.36,751426047862,318182472,3559885,5590404,2483388,2588346,3292163,5086738,4972450,2297798,1352,0,21526,740496,2702,0,13822,0,0,0,32805052,31778776,31673664,948,181024
2018-05-02_13-49-59.365989090,1525261799.367484686,2018-05-02_13-49-59.370975986,1525261799.372350982,0.87,0.69,0.38,814737645186,342870558,3559886,6123134,2483388,2588346,3314113,5087124,6775452,2297798,1379,0,23088,761439,2702,0,15247,0,0,0,32805052,31766280,31660596,948,181036
2018-05-02_13-50-29.412243174,1525261829.414525076,2018-05-02_13-50-29.418401192,1525261829.419925853,0.85,0.70,0.39,876526748050,367918824,3582834,8300021,2483388,2588654,3314714,5576716,6775452,2297798,1405,0,24668,782383,2704,0,16653,0,0,0,32805052,31767340,31661948,948,181044
2018-05-02_13-50-59.458838584,1525261859.460314943,2018-05-02_13-50-59.463411474,1525261859.464731322,0.91,0.73,0.41,961142505366,406113570,4130394,8300021,2963797,2588654,3314714,7617212,6775452,2297798,1440,0,27276,801692,2704,0,17131,0,0,0,32805052,31769980,31664812,948,181044
2018-05-02_13-51-29.497981415,1525261889.499387466,2018-05-02_13-51-29.502471622,1525261889.503797371,0.95,0.76,0.43,1023033104700,432318696,4130395,8300021,4990005,3078768,3315389,7617212,6775452,2297798,1466,0,28817,822703,2704,0,18573,0,0,0,32805052,31765172,31659880,948,181052
