StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-03_00-16-35.869645404,1525299395.871143119,24584976454,2018-05-03_00-17-05.918267196,1525299425.919869091,0.45,0.19,0.13,106365388,92800092202,111,4319,12,1036971,229,1099688,16,36,924,0,4290,451970,2810,0,1381,0,0,0,32805052,31810224,31692224,948,158108
2018-05-03_00-17-05.955183774,1525299425.956661592,28891718109,2018-05-03_00-17-35.991612175,1525299455.993114369,0.80,0.30,0.17,184839704,201692918850,209,932564,193,1037637,340,1099700,958766,518,943,0,6441,470816,2810,0,2768,0,0,0,32805052,31811492,31693632,948,158108
2018-05-03_00-17-36.028505714,1525299456.029974505,24122838164,2018-05-03_00-18-06.064676441,1525299486.066185116,0.83,0.35,0.19,290459812,292557211864,266,932573,1067754,1037667,1067838,1100660,958802,521,965,0,8671,490429,2810,0,4144,0,0,0,32805052,31808484,31690928,948,158112
2018-05-03_00-18-06.101763115,1525299486.103217722,27063160928,2018-05-03_00-18-36.140131736,1525299516.141644696,0.97,0.43,0.22,357871600,394413464474,894829,935873,1067839,1037856,1067850,1100662,958817,813238,984,0,10506,509733,2810,0,5160,0,0,0,32805052,31809040,31691484,948,158112
2018-05-03_00-18-36.177453480,1525299516.178924439,24663900712,2018-05-03_00-19-06.215793466,1525299546.217302489,0.98,0.48,0.25,478276668,488111613366,894919,936970,1067840,2139471,1068078,2280482,958852,813238,999,0,12763,529079,2810,0,6653,0,0,0,32805052,31809896,31692356,948,158112
2018-05-03_00-19-06.252796874,1525299546.254253185,25943185856,2018-05-03_00-19-36.287665189,1525299576.289167017,0.85,0.50,0.26,536635848,585782999216,895004,1778068,1067865,2139544,1068108,2280490,1792773,813238,1016,0,14280,548670,2810,0,7347,0,0,0,32805052,31821716,31703916,948,158108
2018-05-03_00-19-36.325020855,1525299576.326515759,24442866450,2018-05-03_00-20-06.363848228,1525299606.365372603,1.04,0.58,0.29,656246484,677839531692,895044,1778131,2225735,2139544,2198014,2280651,1792955,813259,1036,0,16634,567973,2810,0,8869,0,0,0,32805052,31821228,31704196,948,158116
2018-05-03_00-20-06.400744956,1525299606.402216270,26095743899,2018-05-03_00-20-36.437144511,1525299636.438685525,0.96,0.61,0.31,716947488,776832680502,1724080,1779253,2225735,2139615,2198026,2280651,1792956,1634057,1052,0,18228,587561,2810,0,9571,0,0,0,32805052,31821476,31704200,948,158116
2018-05-03_00-20-36.474276862,1525299636.475746166,24720615181,2018-05-03_00-21-06.503836699,1525299666.505343978,1.03,0.66,0.34,838600748,869965984160,1724111,1779253,2225744,3308818,2198107,3431178,1792956,1634057,1068,0,20572,606806,2810,0,11123,0,0,0,32805052,31822972,31705404,948,158116
2018-05-03_00-21-06.540790337,1525299666.542245239,25966200584,2018-05-03_00-21-36.576101496,1525299696.577598591,0.84,0.64,0.34,897052664,967744908316,1724137,2621305,2225887,3308835,2198239,3431178,2627821,1634060,1081,0,21932,626394,2810,0,11737,0,0,0,32805052,31823068,31704960,948,158116
2018-05-03_00-21-36.613237461,1525299696.614717721,24923735751,2018-05-03_00-22-06.643385429,1525299726.644918424,0.97,0.69,0.37,1028392836,1061624708244,1724139,2621334,3493306,3308904,3364744,3436581,2627847,1634063,1096,0,24585,645329,2810,0,13532,0,0,0,32805052,31822596,31705824,948,158116
2018-05-03_00-22-06.680281147,1525299726.681759601,27130999120,2018-05-03_00-22-36.716534801,1525299756.718126644,0.86,0.69,0.38,1094636560,1164600498088,2558959,2622260,3493810,3308910,3364764,3436581,2627848,2511548,1114,0,26398,664650,2810,0,14591,0,0,0,32805052,31822928,31704836,948,158116
2018-05-03_00-22-36.753582736,1525299756.755057080,24164606727,2018-05-03_00-23-06.789243041,1525299786.790767367,0.97,0.74,0.40,1199347868,1255595776738,2564100,2622715,3493827,4439381,3364889,4427977,2627849,2511548,1130,0,28595,684275,2810,0,15972,0,0,0,32805052,31822760,31705208,948,158116
2018-05-03_00-23-06.825982924,1525299786.827441546,29106811540,2018-05-03_00-23-36.861526183,1525299816.863031900,1.25,0.83,0.44,1276297576,1365135543508,2564651,3573969,3494429,4439802,3364896,4428003,3564391,2511573,1149,0,30683,703078,2810,0,17364,0,0,0,32805052,31822968,31705660,948,158116
2018-05-03_00-23-36.898375885,1525299816.899847957,24404767428,2018-05-03_00-24-06.937703663,1525299846.939216551,1.35,0.89,0.48,1385972212,1457834268944,2567700,3580498,4570855,4439833,4462331,4428172,3564405,2511573,1169,0,32989,722573,2810,0,18840,0,0,0,32805052,31811068,31693776,948,158120
2018-05-03_00-24-06.974651899,1525299846.976123643,27159341934,2018-05-03_00-24-37.009938024,1525299877.011462601,1.36,0.93,0.51,1451235584,1560178849946,3440345,3581949,4572387,4439857,4463510,4429346,3564506,3332648,1186,0,34814,741855,2810,0,19798,0,0,0,32805052,31810240,31692972,948,158128
2018-05-03_00-24-37.046719564,1525299877.048197049,24625972535,2018-05-03_00-25-07.078356703,1525299907.079888261,1.29,0.96,0.53,1570883836,1652931385048,3440453,3581967,4573314,5642225,4463586,5503939,3564568,3332691,1205,0,37177,761106,2810,0,21335,0,0,0,32805052,31810444,31693708,948,158132
