StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-03_00-16-38.383844324,1525299398.385474866,2018-05-03_00-16-38.388897460,1525299398.390338218,0.08,0.13,0.12,6216575022,6414792,38,0,0,0,151226,21911,15679,420,930,0,1735,439867,2345,0,144,0,0,0,32805052,31802680,31687524,948,160216
2018-05-03_00-17-08.427058022,1525299428.428777427,2018-05-03_00-17-08.432338979,1525299428.433716450,0.84,0.31,0.18,99931921818,104363964,163035,9544,8,160085,2231091,495920,69125,16104,996,0,4506,458708,2345,0,2163,0,0,0,32805052,31803180,31687332,948,160220
2018-05-03_00-17-38.471454370,1525299458.473299684,2018-05-03_00-17-38.476958044,1525299458.478711353,1.30,0.47,0.24,207671107066,179622516,2427077,20418,12892,2426436,2253923,496943,82377,165839,1050,0,6860,477414,2345,0,4609,0,0,0,32805052,31801664,31686488,948,160220
2018-05-03_00-18-08.516562311,1525299488.518470912,2018-05-03_00-18-08.522465913,1525299488.524960832,1.44,0.59,0.29,299291225554,276584808,2567025,20440,12897,2426436,2756433,516299,225025,2305972,1113,0,9599,496304,2345,0,6688,0,0,0,32805052,31799520,31683776,948,160220
2018-05-03_00-18-38.568250316,1525299518.572064038,2018-05-03_00-18-38.575760983,1525299518.577110675,1.51,0.69,0.33,400687631610,343092780,4595580,192256,41912,2428998,2756865,516302,1992783,2306052,1176,0,11873,514912,2345,0,9373,0,0,0,32805052,31801796,31685792,948,160224
2018-05-03_00-19-08.616661003,1525299548.619103508,2018-05-03_00-19-08.622937483,1525299548.624434278,1.26,0.70,0.35,493977468892,451828872,4597212,2538616,474987,2440265,2763886,639739,2110627,2306109,1252,0,14181,534266,2345,0,11340,0,0,0,32805052,31813904,31698156,948,160216
2018-05-03_00-19-38.666368396,1525299578.667996468,2018-05-03_00-19-38.671292126,1525299578.672689733,1.42,0.79,0.39,591420614876,510137064,4597653,2539786,636800,2468492,2763970,2493779,3884490,2306298,1299,0,16881,552787,2345,0,13905,0,0,0,32805052,31814296,31698800,948,160216
2018-05-03_00-20-08.715746012,1525299608.719111684,2018-05-03_00-20-08.723558117,1525299608.725684056,1.55,0.89,0.43,683979967976,619215216,4603479,2542367,3108165,2910358,2881293,2608417,3884680,2306330,1376,0,19142,572185,2347,0,15941,0,0,0,32805052,31814360,31698904,948,160220
2018-05-03_00-20-38.771546916,1525299638.773098894,2018-05-03_00-20-38.776379352,1525299638.777776926,1.73,1.00,0.48,782019399380,678840108,4618817,2552087,3113576,3065186,4708981,4395753,3884924,2306349,1426,0,21864,590670,2347,0,18486,0,0,0,32805052,31816144,31699536,948,160220
2018-05-03_00-21-08.813270210,1525299668.815121296,2018-05-03_00-21-08.818806455,1525299668.820307705,1.69,1.06,0.52,875505956948,789631320,4887623,2726148,3141876,5438972,4837834,4404284,3884924,2423948,1514,0,24187,609985,2347,0,20408,0,0,0,32805052,31814584,31699128,948,160220
2018-05-03_00-21-38.858183401,1525299698.859763561,2018-05-03_00-21-38.862904753,1525299698.864246203,1.67,1.12,0.56,973240099394,848672412,5022229,2751413,3149103,5448524,6609304,4404417,3884970,4290134,1564,0,26917,628483,2347,0,22915,0,0,0,32805052,31815232,31700352,948,160220
2018-05-03_00-22-08.899324994,1525299728.901255375,2018-05-03_00-22-08.906673652,1525299728.908742125,1.40,1.11,0.57,1067598626060,968365764,7266895,3313964,3258924,5501706,6645047,4404417,3884970,4398225,1656,0,29261,647678,2347,0,24398,0,0,0,32805052,31812464,31696428,948,160220
2018-05-03_00-22-38.955988221,1525299758.957953110,2018-05-03_00-22-38.961955874,1525299758.963465932,1.48,1.16,0.61,1169351643982,1031670036,7266998,5450304,3259027,5501710,6645214,4404502,4010472,6202436,1711,0,31544,666257,2347,0,27146,0,0,0,32805052,31811792,31696624,948,160220
2018-05-03_00-23-09.000315099,1525299789.001820278,2018-05-03_00-23-09.007164163,1525299789.008591580,1.43,1.18,0.63,1261422025792,1128635508,7269326,5592074,3397074,5501780,6710043,4410903,6082122,6682049,1770,0,34317,685145,2347,0,29199,0,0,0,32805052,31813016,31696956,948,160220
2018-05-03_00-23-39.050805280,1525299819.052414733,2018-05-03_00-23-39.055736239,1525299819.057132291,1.58,1.24,0.67,1370360658636,1202639640,7278622,7898530,5747264,5501995,6716277,4523715,6112795,6682219,1822,0,36612,703869,2347,0,31719,0,0,0,32805052,31815964,31699644,948,160224
2018-05-03_00-24-09.093968714,1525299849.095747094,2018-05-03_00-24-09.100074079,1525299849.101689871,1.42,1.23,0.68,1462717857896,1302649632,7282278,7898535,5866809,5502032,6763271,6569191,6701529,6762566,1891,0,39427,722644,2347,0,33657,0,0,0,32805052,31800272,31683920,948,160236
2018-05-03_00-24-39.147990413,1525299879.151961463,2018-05-03_00-24-39.155550335,1525299879.156915516,1.50,1.27,0.71,1564559216350,1366591944,7286096,8038443,7964583,5502980,6763283,6569191,8514490,6762583,1946,0,41699,741259,2347,0,36402,0,0,0,32805052,31799220,31683576,948,160236
2018-05-03_00-25-09.208466407,1525299909.210366260,2018-05-03_00-25-09.215289351,1525299909.217410395,1.52,1.29,0.74,1657723597082,1476033444,7299130,10506615,8399773,5511838,6763359,6674148,8614809,6762901,2032,0,43967,760653,2347,0,38401,0,0,0,32805052,31801056,31685348,948,160236
2018-05-03_00-25-39.267894918,1525299939.269407448,2018-05-03_00-25-39.272480368,1525299939.274035759,1.61,1.34,0.77,1755113065594,1534822896,7306461,10508891,8533126,5537171,6767402,8531012,10392783,6763392,2086,0,46709,779150,2347,0,40872,0,0,0,32805052,31800908,31685764,948,160240
2018-05-03_00-26-09.309800353,1525299969.311523046,2018-05-03_00-26-09.315609243,1525299969.317352885,1.64,1.38,0.80,1848599719432,1644331668,7309165,10518814,10980120,6095560,6767686,8628215,10392826,6763429,2164,0,48930,798566,2347,0,42921,0,0,0,32805052,31798644,31683196,948,160240
2018-05-03_00-26-39.363920548,1525299999.365471841,2018-05-03_00-26-39.369208085,1525299999.370825994,1.80,1.44,0.84,1950717623472,1708026420,7311915,10524795,10980126,8273896,6851362,10428437,10393536,6763499,2221,0,51236,817123,2347,0,45652,0,0,0,32805052,31801392,31685096,948,160244
2018-05-03_00-27-09.407272321,1525300029.408963603,2018-05-03_00-27-09.412806381,1525300029.414355128,1.70,1.44,0.86,2042293158936,1805316372,7438534,10524839,10980173,8395634,8915298,10932898,10448171,6770993,2287,0,53979,836009,2347,0,47717,0,0,0,32805052,31813932,31698436,948,160236
2018-05-03_00-27-39.451976862,1525300059.453777161,2018-05-03_00-27-39.457554440,1525300059.459247662,1.82,1.50,0.90,2151074777582,1881096024,9734426,10543024,10987247,10720639,8943262,10933060,10448217,6885509,2356,0,56269,854739,2347,0,50210,0,0,0,32805052,31814652,31698364,948,160236
2018-05-03_00-28-09.497088900,1525300089.498669015,2018-05-03_00-28-09.502008269,1525300089.503353453,1.58,1.46,0.91,2242731489352,1981916196,9833368,10570868,11003985,10726181,9439705,10974091,10467733,8997974,2420,0,59058,873621,2347,0,52169,0,0,0,32805052,31815336,31699552,948,160236
2018-05-03_00-28-39.538079083,1525300119.539946408,2018-05-03_00-28-39.543826911,1525300119.545624129,1.35,1.42,0.91,2338402724904,2115689688,11945520,11055500,11222109,10787267,9498254,10974629,10467737,9104863,2521,0,61553,892657,2347,0,53227,0,0,0,32805052,31816192,31700184,948,160236
2018-05-03_00-29-09.582442004,1525300149.584269928,2018-05-03_00-29-09.587682439,1525300149.589045974,1.40,1.43,0.93,2429983346380,2212230180,12059136,11055505,11222109,10903334,10015573,10997820,10480745,11254458,2582,0,64306,911558,2347,0,55339,0,0,0,32805052,31813088,31696720,948,160236
2018-05-03_00-29-39.627071360,1525300179.628915312,2018-05-03_00-29-39.632588110,1525300179.634092368,1.50,1.45,0.95,2539324401072,2288472432,14358529,11073993,11222112,13283923,10127650,11019199,10485216,11254726,2637,0,66638,930242,2347,0,57791,0,0,0,32805052,31813692,31697972,948,160236
2018-05-03_00-30-09.673703693,1525300209.676551957,2018-05-03_00-30-09.680312641,1525300209.682078731,1.38,1.42,0.96,2631383770242,2385396324,14360186,11073997,11222112,13383358,12189962,11596188,10569965,11256735,2702,0,69350,949099,2347,0,59855,0,0,0,32805052,31809588,31693516,948,160248
2018-05-03_00-30-39.726951275,1525300239.728632201,2018-05-03_00-30-39.731777581,1525300239.733329407,1.68,1.49,1.00,2733437450454,2449141476,14360296,11074386,11336248,15524545,12189962,13419886,10569984,11256735,2756,0,71609,967709,2347,0,62601,0,0,0,32805052,31808520,31693284,948,160248
2018-05-03_00-31-09.768863624,1525300269.771947398,2018-05-03_00-31-09.776669257,1525300269.778248433,1.61,1.49,1.01,2826293307648,2559715128,14365861,11090590,13821812,15960549,12211229,13501798,10654296,11256862,2833,0,73886,987095,2347,0,64557,0,0,0,32805052,31811348,31695636,948,160252
2018-05-03_00-31-39.817870082,1525300299.819401488,2018-05-03_00-31-39.822800367,1525300299.824465678,1.70,1.53,1.04,2924618481716,2617474740,14366006,11198560,13838919,15963901,12211330,15345669,12543139,11256990,2886,0,76640,1005553,2347,0,67110,0,0,0,32805052,31812048,31696400,948,160252
2018-05-03_00-32-09.881514119,1525300329.883411237,2018-05-03_00-32-09.887319315,1525300329.888955548,1.61,1.52,1.05,3018290119668,2727436752,14369900,13667593,14370601,15966627,12218132,15345669,12620047,11256998,2967,0,78883,1024971,2347,0,69108,0,0,0,32805052,31798028,31681776,948,160260
2018-05-03_00-32-39.935166822,1525300359.937153549,2018-05-03_00-32-39.940867699,1525300359.942383300,1.66,1.54,1.07,3119880704010,2789708124,14369998,13667609,16543313,15966673,12218527,15439644,14434171,11257717,3024,0,81166,1043549,2347,0,71865,0,0,0,32805052,31800048,31684640,948,160260
2018-05-03_00-33-10.002877207,1525300390.004392774,2018-05-03_00-33-10.007833714,1525300390.009746925,1.47,1.50,1.08,3212136391256,2889885696,14374052,13770498,16640980,15966807,12288948,17532439,14892512,11337860,3095,0,83981,1062362,2347,0,73812,0,0,0,32805052,31801732,31685024,948,160264
2018-05-03_00-33-40.055343883,1525300420.057279031,2018-05-03_00-33-40.062992087,1525300420.064620560,1.51,1.50,1.09,3321399181356,2964544908,14380138,16140489,18963498,15973757,12289493,17542836,14981434,11360150,3149,0,86277,1081042,2347,0,76332,0,0,0,32805052,31801592,31686460,948,160264
2018-05-03_00-34-10.102325424,1525300450.104202811,2018-05-03_00-34-10.108134780,1525300450.109817911,1.35,1.47,1.09,3412934487106,3061782540,14380323,16226182,18963549,15973757,12319864,17588327,17071554,11939026,3215,0,89056,1099909,2347,0,78365,0,0,0,32805052,31800296,31684324,948,160264
2018-05-03_00-34-40.155242470,1525300480.156750923,2018-05-03_00-34-40.160102738,1525300480.161823599,1.49,1.49,1.11,3514841203716,3126171480,14462679,18375326,18979907,15973763,12319902,17588327,17071556,13780795,3273,0,91320,1118503,2347,0,81094,0,0,0,32805052,31799140,31683624,948,160268
2018-05-03_00-35-10.198500628,1525300510.200516453,2018-05-03_00-35-10.204365534,1525300510.205889643,1.25,1.43,1.10,3609874960994,3254684952,16612813,18852615,19186461,16019098,12403308,17588350,17071560,13868310,3364,0,93764,1137606,2347,0,82273,0,0,0,32805052,31813896,31698188,948,160260
2018-05-03_00-35-40.245595147,1525300540.247242400,2018-05-03_00-35-40.250387719,1525300540.251715903,1.44,1.45,1.12,3708542881060,3313512624,16625161,18861156,19190724,16106906,14284115,17588482,17071576,15717254,3415,0,96528,1156046,2347,0,84812,0,0,0,32805052,31814040,31698396,948,160260
2018-05-03_00-36-10.287878260,1525300570.289851683,2018-05-03_00-36-10.294992541,1525300570.296972352,1.40,1.44,1.13,3801641502992,3425936196,16918168,19020518,19224386,18634373,14351226,17658989,17071710,15717330,3499,0,98785,1175460,2347,0,86732,0,0,0,32805052,31814764,31699048,948,160260
2018-05-03_00-36-40.336828091,1525300600.338553141,2018-05-03_00-36-40.341712948,1525300600.343042728,1.58,1.48,1.15,3899694646456,3484082628,16919879,19027982,19298324,18653092,16166527,19571773,17071893,15717371,3546,0,101536,1193912,2347,0,89262,0,0,0,32805052,31815384,31699964,948,160260
2018-05-03_00-37-10.377412616,1525300630.379288446,2018-05-03_00-37-10.382970253,1525300630.384474075,1.42,1.45,1.15,3992980775918,3594698160,16923883,19029581,21813626,19100820,16166549,19635979,17137934,15717391,3622,0,103687,1213345,2347,0,91224,0,0,0,32805052,31813976,31698272,948,160260
2018-05-03_00-37-40.423829270,1525300660.427888433,2018-05-03_00-37-40.431771953,1525300660.433100782,1.46,1.46,1.16,4091148305916,3654047892,16926629,19115322,21828257,19101195,16178426,21465914,19028787,15724268,3667,0,106442,1231775,2347,0,93754,0,0,0,32805052,31812712,31696516,948,160260
2018-05-03_00-38-10.485294357,1525300690.487048173,2018-05-03_00-38-10.492547130,1525300690.494152830,1.54,1.48,1.18,4184847920918,3764806044,17000627,21653978,22277379,19102853,16178687,21465916,19089189,15724325,3743,0,108673,1251209,2347,0,95768,0,0,0,32805052,31810412,31694336,948,160264
2018-05-03_00-38-40.536800774,1525300720.538626745,2018-05-03_00-38-40.542280697,1525300720.543766829,1.47,1.46,1.18,4287038959686,3828611436,19185295,21657721,22277451,19103002,16193862,21469403,20902330,15776957,3806,0,110975,1269754,2347,0,98458,0,0,0,32805052,31810364,31694944,948,160264
2018-05-03_00-39-10.580614698,1525300750.582324229,2018-05-03_00-39-10.585776967,1525300750.587138505,1.51,1.47,1.19,4378482897512,3925681728,19264856,21658924,22277451,19179600,16715408,21491350,20908720,17953673,3872,0,113725,1288667,2347,0,100545,0,0,0,32805052,31812096,31696196,948,160264
2018-05-03_00-39-40.624316066,1525300780.626272467,2018-05-03_00-39-40.630413620,1525300780.632122894,1.62,1.50,1.21,4488353862494,3999123480,21627090,21661741,22279047,21626369,16778864,21503451,20909101,17958344,3922,0,115968,1307384,2347,0,103098,0,0,0,32805052,31813028,31697608,948,160264
2018-05-03_00-40-10.670399515,1525300810.672310176,2018-05-03_00-40-10.676745348,1525300810.678548476,1.43,1.47,1.21,4579632995758,4095710652,21627420,21661745,22279051,21689271,18890802,22001279,20947475,18040666,3988,0,118705,1326297,2347,0,105185,0,0,0,32805052,31796752,31680736,948,160280
2018-05-03_00-40-40.725026988,1525300840.726669209,2018-05-03_00-40-40.729812451,1525300840.731190149,1.43,1.47,1.22,4681856748680,4159193724,21690109,21669598,22290938,23827816,18890877,22001289,20947511,19906171,4039,0,120966,1344888,2347,0,107938,0,0,0,32805052,31797456,31681164,948,160280
2018-05-03_00-41-10.768708804,1525300870.770476208,2018-05-03_00-41-10.774084897,1525300870.775770631,1.39,1.46,1.22,4776528947848,4289662956,23864017,22130212,22508354,23922199,18945491,22001289,20947511,19959089,4132,0,123395,1364024,2347,0,109076,0,0,0,32805052,31800920,31685220,948,160280
2018-05-03_00-41-40.813915628,1525300900.815434083,2018-05-03_00-41-40.819115786,1525300900.820524478,1.63,1.51,1.25,4875287771602,4347464028,23872258,22134020,22508356,23991382,20851279,22001503,20947524,21832053,4184,0,126168,1382454,2347,0,111631,0,0,0,32805052,31802140,31686440,948,160284
