StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-03_09-51-33.524541780,1525333893.526067655,39.033755,2018-05-03_09-51-33.776315528,1525333893.777786901,0.08,0.03,0.05,6922,8010,45,20,21,0,20,22,0,19,1176,0,2209,3482280,2541,0,4,0,0,0,32805052,31848216,31732200,948,161440
2018-05-03_09-52-03.813741710,1525333923.815305977,39.052722,2018-05-03_09-52-04.065518864,1525333924.067030381,0.05,0.03,0.05,8114,9458,49,38,21,0,20,22,0,19,1202,0,2214,3506479,2541,0,4,0,0,0,32805052,31848580,31732860,948,161444
2018-05-03_09-52-34.103308598,1525333954.104885403,39.046890,2018-05-03_09-52-34.355176422,1525333954.356703794,0.03,0.03,0.05,9306,10842,53,38,21,0,20,22,21,19,1229,0,2221,3530673,2541,0,4,0,0,0,32805052,31849228,31732704,948,161444
2018-05-03_09-53-04.393079478,1525333984.394649016,39.049367,2018-05-03_09-53-04.644835029,1525333984.646343053,0.02,0.02,0.05,10498,12226,57,38,21,21,20,22,21,19,1257,0,2226,3554868,2541,0,4,0,0,0,32805052,31848492,31732804,948,161448
2018-05-03_09-53-34.682612461,1525334014.684149930,39.057163,2018-05-03_09-53-34.934170746,1525334014.935714276,0.01,0.02,0.05,11690,13610,61,57,21,21,20,22,21,19,1283,0,2231,3579066,2541,0,4,0,0,0,32805052,31848268,31732272,948,161448
2018-05-03_09-54-04.972002981,1525334044.973562085,39.022643,2018-05-03_09-54-05.224153901,1525334045.225658577,0.01,0.02,0.05,12882,14994,65,57,21,21,41,22,21,19,1311,0,2237,3603262,2541,0,4,0,0,0,32805052,31847280,31731316,948,161452
2018-05-03_09-54-35.261997361,1525334075.263560471,39.037965,2018-05-03_09-54-35.513691032,1525334075.515203848,0.00,0.01,0.05,14074,16314,69,57,21,41,41,22,21,19,1337,0,2242,3627459,2541,0,4,0,0,0,32805052,31860672,31744944,948,161444
2018-05-03_09-55-05.551611119,1525334105.553156221,39.047050,2018-05-03_09-55-05.803209820,1525334105.804699464,0.00,0.01,0.05,15266,17762,73,57,21,41,41,22,42,19,1362,0,2246,3651658,2541,0,4,0,0,0,32805052,31861032,31745320,948,161444
2018-05-03_09-55-35.840696788,1525334135.842230483,39.052043,2018-05-03_09-55-36.092251638,1525334136.093776449,0.00,0.01,0.05,16458,19146,96,57,21,41,41,22,42,19,1388,0,2250,3675856,2541,0,4,0,0,0,32805052,31860460,31744780,948,161444
2018-05-03_09-56-06.130055661,1525334166.131589823,39.055583,2018-05-03_09-56-06.381402118,1525334166.382907455,0.00,0.01,0.05,17650,20530,100,57,21,41,41,43,42,19,1413,0,2254,3700055,2541,0,4,0,0,0,32805052,31861224,31745524,948,161444
