StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-03_09-51-34.361932545,1525333894.363461060,2018-05-03_09-51-34.366784458,1525333894.368249794,0.00,0.01,0.05,8064,7044,54,24,24,0,0,1,0,0,1348,0,1663,3486464,2425,0,3,0,0,0,32805052,31816788,31710896,948,179856
2018-05-03_09-52-04.404158157,1525333924.405677442,2018-05-03_09-52-04.409001714,1525333924.410488021,0.00,0.01,0.05,9388,8188,55,24,24,0,0,1,0,0,1373,0,1668,3510465,2425,0,3,0,0,0,32805052,31815880,31709992,948,179860
2018-05-03_09-52-34.446731193,1525333954.448391372,2018-05-03_09-52-34.451738562,1525333954.453268831,0.00,0.01,0.05,10712,9332,56,24,24,24,0,1,0,0,1401,0,1675,3534462,2425,0,3,0,0,0,32805052,31815420,31710040,948,179860
2018-05-03_09-53-04.489450847,1525333984.491044358,2018-05-03_09-53-04.494184842,1525333984.495500349,0.00,0.01,0.05,11694,10194,57,24,24,24,0,1,0,0,1418,0,1679,3558468,2425,0,3,0,0,0,32805052,31815912,31710568,948,179864
2018-05-03_09-53-34.528553857,1525334014.530101208,2018-05-03_09-53-34.533412814,1525334014.534903052,0.05,0.03,0.05,12036,10476,57,24,24,24,0,1,0,0,1429,0,1684,3582483,2425,0,3,0,0,0,32805052,31815856,31709972,948,179864
2018-05-03_09-54-04.571394395,1525334044.572981888,2018-05-03_09-54-04.576422472,1525334044.577944336,0.03,0.03,0.05,13360,11620,58,24,24,24,0,1,0,0,1457,0,1690,3606482,2425,0,3,0,0,0,32805052,31814544,31709200,948,179868
2018-05-03_09-54-34.614430466,1525334074.616005169,2018-05-03_09-54-34.619383923,1525334074.620882014,0.08,0.04,0.05,14684,12764,59,47,25,24,0,1,0,0,1483,0,1696,3630482,2425,0,3,0,0,0,32805052,31827716,31722352,948,179860
2018-05-03_09-55-04.657228527,1525334104.658755007,2018-05-03_09-55-04.662089733,1525334104.663616312,0.09,0.05,0.05,16008,13908,60,47,25,24,0,1,0,0,1508,0,1699,3654485,2425,0,3,0,0,0,32805052,31828264,31722372,948,179860
2018-05-03_09-55-34.699854201,1525334134.701470203,2018-05-03_09-55-34.704856073,1525334134.706351711,0.05,0.04,0.05,17332,15052,62,47,25,46,0,1,0,0,1533,0,1704,3678486,2425,0,3,0,0,0,32805052,31827560,31722740,948,179860
2018-05-03_09-56-04.742667175,1525334164.744237530,2018-05-03_09-56-04.747559156,1525334164.749065575,0.10,0.06,0.05,18656,16196,63,47,25,46,0,1,0,0,1558,0,1707,3702489,2425,0,3,0,0,0,32805052,31828132,31722768,948,179860
2018-05-03_09-56-34.785228225,1525334194.786768814,2018-05-03_09-56-34.790175576,1525334194.791683491,0.06,0.05,0.05,19980,17340,87,48,25,46,0,1,0,0,1583,0,1713,3726490,2425,0,3,0,0,0,32805052,31827968,31722360,948,179860
2018-05-03_09-57-04.828111131,1525334224.829676309,2018-05-03_09-57-04.833109708,1525334224.834613669,0.04,0.04,0.05,21304,18484,88,48,25,46,0,1,0,0,1608,0,1716,3750493,2425,0,3,0,0,0,32805052,31829284,31723288,948,179860
2018-05-03_09-57-34.870735039,1525334254.872411899,2018-05-03_09-57-34.875815553,1525334254.877308653,0.02,0.04,0.05,22628,19628,90,48,45,47,0,1,0,0,1633,0,1721,3774494,2425,0,3,0,0,0,32805052,31829008,31723324,948,179860
2018-05-03_09-58-04.913441983,1525334284.915069873,2018-05-03_09-58-04.918374128,1525334284.919853470,0.01,0.04,0.05,23952,20772,91,48,45,47,0,1,0,0,1658,0,1725,3798497,2425,0,3,0,0,0,32805052,31829268,31723788,948,179860
2018-05-03_09-58-34.955996215,1525334314.957565918,2018-05-03_09-58-34.960935492,1525334314.962443624,0.01,0.04,0.05,25276,21916,91,48,69,47,0,1,0,0,1683,0,1730,3822498,2425,0,3,0,0,0,32805052,31827844,31721960,948,179860
2018-05-03_09-59-04.998883517,1525334345.000508672,2018-05-03_09-59-05.003836176,1525334345.005314671,0.00,0.03,0.05,26600,23060,92,48,69,47,0,1,0,0,1708,0,1733,3846501,2425,0,3,0,0,0,32805052,31827328,31722244,948,179860
2018-05-03_09-59-35.041944619,1525334375.043585601,2018-05-03_09-59-35.047057309,1525334375.048555289,0.00,0.03,0.05,27924,24204,116,48,69,47,0,1,0,0,1735,0,1739,3870500,2425,0,3,0,0,0,32805052,31814524,31709160,948,179868
2018-05-03_10-00-05.084775738,1525334405.086323898,2018-05-03_10-00-05.089677454,1525334405.091179746,0.00,0.03,0.05,29248,25348,117,48,69,47,0,1,0,0,1761,0,1744,3894500,2425,0,3,0,0,0,32805052,31813476,31707880,948,179876
2018-05-03_10-00-35.127918565,1525334435.129510389,2018-05-03_10-00-35.132862635,1525334435.134363760,0.00,0.02,0.05,30572,26492,118,48,69,70,0,1,0,0,1788,0,1750,3918497,2425,0,3,0,0,0,32805052,31815396,31709196,948,179884
2018-05-03_10-01-05.170470112,1525334465.172020819,2018-05-03_10-01-05.175348712,1525334465.176843856,0.00,0.02,0.05,31896,27636,119,48,69,70,0,1,0,0,1816,0,1757,3942492,2425,0,3,0,0,0,32805052,31813836,31708248,948,179888
2018-05-03_10-01-35.212920602,1525334495.214449717,2018-05-03_10-01-35.217752032,1525334495.219251200,0.00,0.02,0.05,33220,28780,121,71,69,70,0,1,0,0,1842,0,1762,3966493,2425,0,3,0,0,0,32805052,31813908,31708584,948,179888
2018-05-03_10-02-05.255509403,1525334525.257074881,2018-05-03_10-02-05.260462712,1525334525.261952744,0.00,0.01,0.05,34544,29924,123,71,69,93,0,1,0,0,1870,0,1767,3990491,2425,0,3,0,0,0,32805052,31815116,31709512,948,179892
2018-05-03_10-02-35.298193275,1525334555.299740004,2018-05-03_10-02-35.303082164,1525334555.304597551,0.00,0.01,0.05,35868,31068,125,71,69,93,0,1,0,0,1896,0,1772,4014491,2425,0,3,0,0,0,32805052,31828056,31722172,948,179884
2018-05-03_10-03-05.340953249,1525334585.342504831,2018-05-03_10-03-05.345831110,1525334585.347312895,0.00,0.01,0.05,37192,32212,126,93,70,93,0,1,0,0,1921,0,1776,4038494,2425,0,3,0,0,0,32805052,31827620,31721772,948,179884
2018-05-03_10-03-35.383451084,1525334615.385033438,2018-05-03_10-03-35.388346532,1525334615.389822951,0.00,0.01,0.05,38516,33356,127,93,70,93,0,1,0,0,1946,0,1780,4062495,2425,0,3,0,0,0,32805052,31827360,31722276,948,179884
2018-05-03_10-04-05.425926986,1525334645.427429988,2018-05-03_10-04-05.430700836,1525334645.432184744,0.00,0.01,0.05,39840,34500,128,93,92,94,0,1,0,0,1971,0,1783,4086498,2425,0,3,0,0,0,32805052,31826296,31720952,948,179884
