StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-03_15-49-20.405745891,1525355360.407314342,2018-05-03_15-49-20.410593287,1525355360.411993625,0.00,0.10,0.10,16497861570,8677026,13,1,0,0,97,712457,121,13,965,0,1912,369384,2797,0,396,0,0,0,32805052,31812116,31696756,948,161364
2018-05-03_15-49-50.450603591,1525355390.452008709,2018-05-03_15-49-50.455075731,1525355390.456425306,0.40,0.19,0.13,79400710006,41893392,68,829796,46,35,401,2587441,286,36,992,0,3353,390455,2797,0,1815,0,0,0,32805052,31812380,31697120,948,161368
2018-05-03_15-50-20.496075970,1525355420.497602592,2018-05-03_15-50-20.501058127,1525355420.502484504,0.63,0.27,0.15,147564486150,79289778,6814,3016919,305,98,435,2587463,291,698517,1027,0,4733,411513,2800,0,3244,0,0,0,32805052,31800904,31685572,948,161412
2018-05-03_15-50-50.537006151,1525355450.538518085,2018-05-03_15-50-50.541820812,1525355450.543220243,0.67,0.30,0.17,210811775590,112905444,6913,3016956,325,821761,666,2587533,327,2566927,1055,0,6183,432580,2800,0,4662,0,0,0,32805052,31801056,31686044,948,161412
2018-05-03_15-51-20.577753278,1525355480.579379025,2018-05-03_15-51-20.582493714,1525355480.584000595,0.70,0.35,0.19,282127867286,154708230,811957,3031578,367,3000967,754,2587534,327,2566927,1087,0,7510,453638,2800,0,6090,0,0,0,32805052,31799616,31684480,948,161416
2018-05-03_15-51-50.617938460,1525355510.619683304,2018-05-03_15-51-50.623455316,1525355510.624998913,0.82,0.42,0.22,350609722778,191141076,3009588,3031826,428,3001023,683877,2587631,366,2566936,1120,0,8856,474720,2800,0,7542,0,0,0,32805052,31799888,31684560,948,161416
2018-05-03_15-52-20.661597265,1525355540.663110334,2018-05-03_15-52-20.666195669,1525355540.667521735,0.89,0.47,0.24,413810386060,225994302,3010339,3040173,796779,3001042,2511709,2587934,530,2566975,1150,0,10298,495773,2800,0,8926,0,0,0,32805052,31800828,31685888,948,161416
2018-05-03_15-52-50.702128176,1525355570.703865296,2018-05-03_15-52-50.707356267,1525355570.708806315,0.72,0.47,0.25,481903941704,262070808,3010522,3040301,2949996,3001109,2511803,2587965,682198,2566991,1179,0,11641,516860,2800,0,10372,0,0,0,32805052,31800880,31685552,948,161420
2018-05-03_15-53-20.745167424,1525355600.746662723,2018-05-03_15-53-20.749751897,1525355600.751076727,0.75,0.51,0.27,544737787040,297394134,3010575,3822555,2959283,3001135,2512167,2588039,2528354,2567019,1208,0,13080,537918,2800,0,11757,0,0,0,32805052,31812660,31696756,948,161412
2018-05-03_15-53-50.790111938,1525355630.791858249,2018-05-03_15-53-50.795403329,1525355630.796828345,0.85,0.55,0.29,612670651718,333400560,3010746,5987271,2959472,3001209,2512243,3273029,2528410,2567019,1239,0,14417,559013,2800,0,13208,0,0,0,32805052,31812732,31697404,948,161412
2018-05-03_15-54-20.836491760,1525355660.838002963,2018-05-03_15-54-20.841702327,1525355660.843120584,0.91,0.60,0.31,675488913228,368288766,3011053,5998434,2959549,3783380,2512641,5129429,2528588,2567067,1267,0,15850,580069,2800,0,14577,0,0,0,32805052,31813640,31698312,948,161412
2018-05-03_15-54-50.877187673,1525355690.878938855,2018-05-03_15-54-50.882464908,1525355690.883913284,0.88,0.62,0.33,743619706674,404488392,3011311,5998529,2959559,5937157,2512719,5129446,2528596,3243604,1293,0,17195,601158,2800,0,16024,0,0,0,32805052,31813492,31697796,948,161412
2018-05-03_15-55-20.919421841,1525355720.921206060,2018-05-03_15-55-20.924363385,1525355720.925741600,0.86,0.64,0.35,803597597824,436176198,3011394,5998531,2959573,5937157,3183944,5129600,2528640,5122042,1320,0,18671,622221,2800,0,17435,0,0,0,32805052,31813672,31698892,948,161412
