StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-07_17-27-51.744486781,1525706871.746025338,24870599418,2018-05-07_17-28-21.785871113,1525706901.787366476,0.26,0.23,0.46,8439624034,12085811145180,14638904,17686469,15196747,12435405,12774354,15110545,14387311,75021629,22446,7,288598,4854138,3040,0,1241,0,0,0,32805052,31821000,31700580,948,152740
2018-05-07_17-28-21.823230323,1525706901.824730721,24974929653,2018-05-07_17-28-51.863762893,1525706931.865274771,0.40,0.27,0.47,8501557736,12179856181474,14638904,17686475,15196747,12435405,12774354,15987142,14387311,75506331,22458,7,290486,4874315,3040,0,1249,0,0,0,32805052,31822020,31701848,948,152740
2018-05-07_17-28-51.900653020,1525706931.902103906,25008076933,2018-05-07_17-29-21.942750713,1525706961.944272579,0.69,0.36,0.49,8563699118,12273945789380,14638904,17686477,15196747,12435405,12774354,16865925,14387311,75992000,22469,7,292370,4894484,3040,0,1255,0,0,0,32805052,31822120,31701964,948,152740
2018-05-07_17-29-21.979799845,1525706961.981274979,24515255207,2018-05-07_17-29-52.019798798,1525706992.021310600,0.63,0.37,0.49,8628844852,12366187453548,14638904,17686477,15196747,12435437,12774354,16865925,14387311,77298653,22481,7,294153,4915111,3040,0,1257,0,0,0,32805052,31819796,31699624,948,152740
2018-05-07_17-29-52.057211830,1525706992.058712839,24332154859,2018-05-07_17-30-22.098010104,1525707022.099542289,0.51,0.37,0.49,8695752250,12458505150060,14638904,17686477,15196747,12435451,12774354,16865925,14387311,78615729,22492,7,296000,4935643,3040,0,1259,0,0,0,32805052,31820860,31701212,948,152752
2018-05-07_17-30-22.135255269,1525707022.136732737,24429864387,2018-05-07_17-30-52.175834139,1525707052.177347683,0.58,0.40,0.50,8760434688,12550417837316,14638904,17686477,15196747,13295671,12774354,16865925,14387311,79087988,22505,7,297845,4956207,3040,0,1261,0,0,0,32805052,31820108,31700152,948,152752
2018-05-07_17-30-52.212779217,1525707052.214246086,24424049718,2018-05-07_17-31-22.252951615,1525707082.254456075,0.55,0.41,0.50,8825247494,12642308226754,14638904,17686477,15196747,14156203,12774354,16865925,14387311,79558615,22515,7,299614,4976815,3040,0,1262,0,0,0,32805052,31819552,31700056,948,152752
2018-05-07_17-31-22.290022989,1525707082.291527764,25029007524,2018-05-07_17-31-52.331910106,1525707112.333435968,0.54,0.42,0.50,8889820364,12737249504382,14638904,18584919,15196747,14156203,12774354,16865925,14387311,80050234,22527,7,301532,4996901,3040,0,1269,0,0,0,32805052,31819872,31699964,948,152752
2018-05-07_17-31-52.368984038,1525707112.370462501,24923801551,2018-05-07_17-32-22.413035692,1525707142.414601967,0.68,0.46,0.51,8952075666,12831021388962,14638904,19471642,15196747,14156203,12774354,16865925,14387311,80552033,22539,7,303692,5016856,3040,0,1279,0,0,0,32805052,31820708,31700540,948,152752
2018-05-07_17-32-22.450276276,1525707142.451736714,25045163044,2018-05-07_17-32-52.492849489,1525707172.494392165,0.74,0.50,0.52,9014521560,12925249928602,14638904,19471650,15196747,14156203,12774354,17743823,14387311,81042606,22551,7,305536,5036994,3040,0,1285,0,0,0,32805052,31820760,31700232,948,152752
2018-05-07_17-32-52.530332036,1525707172.531823467,24852697632,2018-05-07_17-33-22.570930250,1525707202.572455647,0.86,0.55,0.53,9076364958,13019530373650,14638904,19471658,15196747,14156203,12774354,18620984,14387311,81536056,22565,7,307679,5056988,3040,0,1298,0,0,0,32805052,31808160,31687900,948,152764
2018-05-07_17-33-22.607862585,1525707202.609314730,24545127032,2018-05-07_17-33-52.648641614,1525707232.650170924,0.78,0.56,0.54,9143795876,13111880739978,14638904,19471658,15196747,14156220,12774354,18620984,14387311,82858077,22579,7,309443,5077636,3040,0,1305,0,0,0,32805052,31808356,31688196,948,152768
2018-05-07_17-33-52.685511834,1525707232.686983134,24462319356,2018-05-07_17-34-22.727752876,1525707262.729280161,0.66,0.55,0.54,9209071786,13203921856748,14638904,19471658,15196747,14156223,12774354,18620984,14387311,84156826,22590,7,311290,5098230,3040,0,1305,0,0,0,32805052,31808624,31688220,948,152768
2018-05-07_17-34-22.765334824,1525707262.766817706,24440952332,2018-05-07_17-34-52.805812517,1525707292.807329047,0.60,0.55,0.54,9274986608,13296622830390,14638904,19471658,15196747,15025650,12774354,18620984,14387311,84629399,22602,7,313082,5118827,3040,0,1310,0,0,0,32805052,31807984,31687820,948,152772
2018-05-07_17-34-52.843421975,1525707292.844927428,24539466942,2018-05-07_17-35-22.884851050,1525707322.886358790,0.43,0.51,0.52,9339552142,13388970300768,14638904,19471658,15196747,15883663,12774354,18620984,14387311,85103508,22614,7,314847,5139480,3040,0,1314,0,0,0,32805052,31808616,31688460,948,152776
2018-05-07_17-35-22.921755005,1525707322.923227342,25280386710,2018-05-07_17-35-52.962737936,1525707352.964231365,0.32,0.48,0.51,9401939924,13484075873514,14638904,19471658,15196754,15883663,12774354,18620984,15259428,85594121,22625,7,316665,5159613,3040,0,1324,0,0,0,32805052,31808640,31688464,948,152776
2018-05-07_17-35-52.999560995,1525707353.001040851,24963167272,2018-05-07_17-36-23.045782003,1525707383.047298167,0.62,0.53,0.53,9465606170,13578733184664,14638904,19471658,15196767,15883663,12774354,18620984,16171784,86098138,22640,7,319015,5179443,3040,0,1335,0,0,0,32805052,31820032,31699576,948,152768
2018-05-07_17-36-23.083326380,1525707383.084835176,24985237587,2018-05-07_17-36-53.124848488,1525707413.126364434,0.75,0.57,0.54,9528629536,13672789522884,14638904,19471658,16086795,15883663,12774354,18620984,16171784,86585662,22652,7,320905,5199566,3040,0,1340,0,0,0,32805052,31819756,31699876,948,152768
2018-05-07_17-36-53.161806315,1525707413.163271382,25051914877,2018-05-07_17-37-23.201271365,1525707443.202783998,0.64,0.57,0.54,9593109798,13767044138272,14638904,19471658,16990430,15883663,12774354,18620984,16171784,87070742,22663,7,322760,5219725,3040,0,1345,0,0,0,32805052,31820808,31699996,948,152768
2018-05-07_17-37-23.238253453,1525707443.239721842,25241868616,2018-05-07_17-37-53.278809585,1525707473.280302157,0.51,0.54,0.53,9655669420,13862696005980,15516527,19471658,16990430,15883663,12774354,18620984,16171784,87562298,22675,7,324652,5239887,3040,0,1358,0,0,0,32805052,31821420,31701540,948,152768
2018-05-07_17-37-53.315739904,1525707473.317201165,25182061981,2018-05-07_17-38-23.356688739,1525707503.358208799,0.64,0.57,0.54,9719404786,13957546948210,16419179,19471658,16990430,15883663,12774354,18620984,16171784,88051723,22686,7,326599,5260018,3040,0,1376,0,0,0,32805052,31821468,31700796,948,152768
2018-05-07_17-38-23.393640650,1525707503.395098113,25035599748,2018-05-07_17-38-53.433765827,1525707533.435282020,0.61,0.57,0.54,9781417400,14051743646762,16419199,19471658,16990430,15883663,13650838,18620984,16171784,88539606,22699,7,328481,5280197,3040,0,1391,0,0,0,32805052,31821664,31701400,948,152768
2018-05-07_17-38-53.470627008,1525707533.472205300,25088613554,2018-05-07_17-39-23.511971119,1525707563.513489326,0.57,0.56,0.54,9846643774,14146136858930,16419213,19471658,16990430,15883663,14561249,18620984,16171784,89024961,22711,7,330335,5300377,3040,0,1409,0,0,0,32805052,31821940,31701760,948,152768
