StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-07_17-27-52.899520362,1525706872.902956432,2018-05-07_17-27-52.909405871,1525706872.913519671,0.10,0.08,0.07,36149764154,23002632,1038666,4979,4975,146903,1657,1657,1658,290726,949,0,2660,907049,2578,0,28,0,0,0,32805052,31793252,31676264,948,155508
2018-05-07_17-28-22.989520112,1525706902.991676102,2018-05-07_17-28-22.996162577,1525706902.997908167,0.53,0.18,0.10,129947440828,83085858,1038667,161572,4975,2789419,1657,1657,1658,1006838,982,0,5505,925866,2578,0,60,0,0,0,32805052,31807296,31690096,948,155512
2018-05-07_17-28-53.048153357,1525706933.053173695,2018-05-07_17-28-53.065243503,1525706933.069365092,0.66,0.25,0.13,224123046514,141230664,1038667,3105245,164559,2789419,1657,1657,1658,1765321,1013,0,8379,944645,2578,0,74,0,0,0,32805052,31806228,31689756,948,155512
2018-05-07_17-29-23.194112144,1525706963.196154424,2018-05-07_17-29-23.202309918,1525706963.204149174,0.80,0.32,0.16,318486153544,199904070,1039997,3105245,3117787,2789419,157607,1657,1658,2524379,1048,0,11247,963389,2578,0,95,0,0,0,32805052,31807636,31690620,948,155512
2018-05-07_17-29-53.247173071,1525706993.251356233,2018-05-07_17-29-53.258062998,1525706993.262609336,0.88,0.38,0.18,410874016006,261190836,1065077,3105245,3117787,2790464,2947463,1657,1658,3413732,1081,0,14081,982206,2578,0,170,0,0,0,32805052,31806904,31690144,948,155512
2018-05-07_17-30-23.339884489,1525707023.341913827,2018-05-07_17-30-23.346419430,1525707023.348692996,0.85,0.43,0.20,502634205436,323491662,1065077,3106554,3117787,2811332,2947463,160997,1658,6582901,1117,0,16882,1001091,2578,0,190,0,0,0,32805052,31807536,31690776,948,155520
2018-05-07_17-30-53.404196656,1525707053.407040869,2018-05-07_17-30-53.418245192,1525707053.422916931,0.91,0.48,0.23,594743960396,384260148,1065077,3131517,3119111,2811332,2947463,3031420,164002,7337234,1148,0,19723,1019930,2578,0,203,0,0,0,32805052,31806912,31690464,948,155520
2018-05-07_17-31-23.514454487,1525707083.520970319,2018-05-07_17-31-23.535884663,1525707083.541197046,0.95,0.53,0.25,687093636456,445245654,1065077,3131517,3144429,2812111,2947463,3031420,3035612,8239449,1178,0,22565,1038789,2578,0,226,0,0,0,32805052,31806456,31689816,948,155520
2018-05-07_17-31-53.675734624,1525707113.679216468,2018-05-07_17-31-53.683602979,1525707113.687587290,1.02,0.59,0.28,781673505132,505447200,1066005,3131517,3144429,2826222,3119615,3031420,3035612,11499074,1210,0,25419,1057625,2578,0,242,0,0,0,32805052,31806404,31689400,948,155520
2018-05-07_17-32-23.772347217,1525707143.775756159,2018-05-07_17-32-23.780567997,1525707143.782522846,1.07,0.65,0.31,875683259906,564028626,1084377,3131517,3145472,2826222,5959371,3031420,3213522,12254409,1241,0,28276,1076391,2578,0,296,0,0,0,32805052,31806116,31689416,948,155520
2018-05-07_17-32-53.849446082,1525707173.853379176,2018-05-07_17-32-53.859944897,1525707173.861718763,1.12,0.70,0.34,970118597460,622634952,1084377,3132526,3162827,2826222,5959371,3207748,6170567,13013466,1273,0,31139,1095143,2578,0,317,0,0,0,32805052,31805852,31689152,948,155520
2018-05-07_17-33-23.908648864,1525707203.912785577,2018-05-07_17-33-23.921496567,1525707203.925919623,1.06,0.72,0.36,1063682954226,680607738,1084377,3150547,3162827,2979022,5959371,6145520,6170567,13764656,1312,0,33987,1113918,2578,0,337,0,0,0,32805052,31793324,31677148,948,155528
2018-05-07_17-33-54.013062110,1525707234.017379815,2018-05-07_17-33-54.026896322,1525707234.030544330,1.04,0.75,0.38,1156318977522,743914884,1251783,3150547,3162827,5567276,5959371,6145520,6170567,14474158,1343,0,36810,1132798,2578,0,364,0,0,0,32805052,31793796,31677596,948,155528
2018-05-07_17-34-24.113429855,1525707264.119214508,2018-05-07_17-34-24.131812931,1525707264.136612088,1.02,0.77,0.40,1248619485654,805350390,4050278,3150547,3337927,5567276,5959371,6145520,6170567,15229451,1380,0,39641,1151625,2578,0,429,0,0,0,32805052,31793512,31677532,948,155532
2018-05-07_17-34-54.216579239,1525707294.219810463,2018-05-07_17-34-54.224895779,1525707294.227984821,0.96,0.78,0.41,1340841128130,866779776,4050278,3325097,6188203,5567276,5959371,6145520,6170567,15985810,1414,0,42464,1170422,2578,0,448,0,0,0,32805052,31793696,31676884,948,155536
2018-05-07_17-35-24.277903409,1525707324.281002360,2018-05-07_17-35-24.285250972,1525707324.287354237,0.98,0.80,0.43,1433468508692,927247146,4050278,6159515,6188203,5567276,5959371,6321318,6170567,16740989,1450,0,45288,1189194,2578,0,460,0,0,0,32805052,31794136,31677256,948,155536
2018-05-07_17-35-54.338274279,1525707354.344165696,2018-05-07_17-35-54.355394572,1525707354.360140007,0.99,0.82,0.45,1528775994338,985916052,4050278,6173558,6189101,5567276,5959371,9212822,6356594,17505201,1484,0,48175,1207910,2578,0,487,0,0,0,32805052,31795020,31678328,948,155540
2018-05-07_17-36-24.464901080,1525707384.469285451,2018-05-07_17-36-24.477159865,1525707384.480257491,0.99,0.84,0.47,1623001024886,1045426878,4051373,6173558,6206315,5567276,6138454,9212822,9309846,18265781,1520,0,51026,1226661,2578,0,511,0,0,0,32805052,31807040,31690280,948,155532
2018-05-07_17-36-54.570882322,1525707414.577768154,2018-05-07_17-36-54.593138131,1525707414.599421220,1.12,0.89,0.50,1717339509402,1104805044,4069923,6173558,6206315,5568087,8982603,9212822,9309846,19188041,1551,0,53875,1245445,2578,0,562,0,0,0,32805052,31806204,31689348,948,155532
2018-05-07_17-37-24.673864571,1525707444.675842572,2018-05-07_17-37-24.679758407,1525707444.681696663,1.07,0.90,0.51,1811831086616,1165295070,4069923,6360870,6206315,5581131,8982603,9212822,9309846,22482398,1583,0,56727,1264272,2578,0,581,0,0,0,32805052,31806716,31689824,948,155532
2018-05-07_17-37-54.806607841,1525707474.812358650,2018-05-07_17-37-54.825038232,1525707474.830056769,1.04,0.91,0.53,1907237577534,1223869656,4069923,9302847,6400825,5581131,8982603,9212822,9309846,23246926,1615,0,59622,1282999,2578,0,598,0,0,0,32805052,31806860,31690032,948,155532
2018-05-07_17-38-24.924285998,1525707504.928379160,2018-05-07_17-38-24.937371259,1525707504.941244323,1.09,0.93,0.55,2002265813056,1283709942,4263461,9302847,9306583,5581131,8982603,9212822,9309846,24011835,1649,0,62499,1301741,2578,0,624,0,0,0,32805052,31805928,31689120,948,155532
2018-05-07_17-38-55.031525529,1525707535.035507859,2018-05-07_17-38-55.045883269,1525707535.049956104,1.05,0.94,0.56,2096773472716,1342186968,7126204,9302847,9306583,5762661,8982603,9212822,9309846,24767515,1680,0,65361,1320511,2578,0,673,0,0,0,32805052,31805644,31688848,948,155532
