StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-08_15-38-57.838616072,1525786737.840163833,20470243215,2018-05-08_15-39-27.879548805,1525786767.881069900,0.29,0.27,0.52,10943853286,9890381455695,31482226,32124676,40953837,54267002,2374435,7,13,72718,200710,0,708289,7361626,6229,0,203363,0,195611,0,32805052,31201628,31631680,948,738424
2018-05-08_15-39-27.917022236,1525786767.918521537,20697471616,2018-05-08_15-39-57.957624371,1525786797.959142217,0.43,0.31,0.52,11074684780,9968255579615,31482245,32124676,40953837,54267002,2374435,7,13,72718,200719,0,710037,7382129,6229,0,203394,0,195611,0,32805052,31202376,31632692,948,738428
2018-05-08_15-39-57.995364008,1525786797.996892793,21848263144,2018-05-08_15-40-28.039577447,1525786828.041126288,0.60,0.36,0.53,11211593074,10051040251065,31482261,32124676,40953837,54267002,2374435,7,13,72718,200735,0,712521,7402028,6229,0,203428,0,195611,0,32805052,31202284,31632308,948,738432
2018-05-08_15-40-28.077221059,1525786828.078732740,20715756875,2018-05-08_15-40-58.117674145,1525786858.119202632,0.50,0.36,0.53,11341263608,10129057103867,31482282,32124676,40953837,54267002,3975796,7,13,72718,200767,0,714278,7422531,6229,0,203509,0,195611,0,32805052,31199932,31629996,948,738436
2018-05-08_15-40-58.155157536,1525786858.156656391,20721707233,2018-05-08_15-41-28.196581565,1525786888.198130460,0.50,0.37,0.53,11467792766,10207020106463,33066518,32124676,40953837,54267002,3975796,7,13,72718,200779,0,715953,7443044,6229,0,203539,0,195611,0,32805052,31200764,31630824,948,738436
2018-05-08_15-41-28.234231987,1525786888.235750792,20542581864,2018-05-08_15-41-58.275600917,1525786918.277132221,0.55,0.40,0.53,11596246660,10284311186277,33066544,32124676,40953837,54267002,3975796,7,13,72718,200791,0,717674,7463576,6229,0,203569,0,195611,0,32805052,31214228,31643960,948,738428
2018-05-08_15-41-58.313176501,1525786918.314669327,20634190911,2018-05-08_15-42-28.353531500,1525786948.355033000,0.69,0.44,0.54,11723459402,10362592314459,33066547,32124676,40953837,54267002,3975796,7,13,72718,200803,0,719381,7484172,6229,0,203599,0,195611,0,32805052,31213736,31643796,948,738428
2018-05-08_15-42-28.391241379,1525786948.392761849,20601692597,2018-05-08_15-42-58.431610885,1525786978.433207017,0.60,0.45,0.54,11854925520,10440102751709,33066577,32124676,40953837,54267002,3975796,7,13,72718,200815,0,721134,7504662,6229,0,203630,0,195611,0,32805052,31213972,31644212,948,738428
2018-05-08_15-42-58.469191118,1525786978.470686516,20576768076,2018-05-08_15-43-28.510584887,1525787008.512127985,0.55,0.45,0.54,11984842710,10517519366277,33066580,32124676,40953837,54267002,3975796,7,13,72718,200827,0,722941,7525144,6229,0,203659,0,195611,0,32805052,31215444,31644944,948,738428
2018-05-08_15-43-28.548167944,1525787008.549665208,20636933787,2018-05-08_15-43-58.588529683,1525787038.590043104,0.50,0.45,0.53,12111788956,10595811379163,33066582,32124676,40953837,54267002,3975796,7,13,72718,200836,0,724573,7545743,6229,0,203688,0,195611,0,32805052,31215400,31644920,948,738428
2018-05-08_15-43-58.626071200,1525787038.627566756,20697421263,2018-05-08_15-44-28.666539328,1525787068.668063331,0.57,0.47,0.54,12244214818,10673683355245,33066584,32124676,40953837,54267002,3975796,7,13,72718,200846,0,726330,7566221,6229,0,203715,0,195611,0,32805052,31214576,31644636,948,738428
2018-05-08_15-44-28.704270007,1525787068.705765864,20630088477,2018-05-08_15-44-58.744533838,1525787098.746043962,0.75,0.53,0.55,12372288424,10751300703447,33066609,32124676,40953837,54267002,5570373,7,13,72718,200858,0,728071,7586750,6229,0,203742,0,195611,0,32805052,31215096,31645140,948,738428
2018-05-08_15-44-58.782086611,1525787098.783587815,20698543884,2018-05-08_15-45-28.822586330,1525787128.824130818,0.78,0.56,0.56,12503414894,10829821112759,34685357,32124676,40953837,54267002,5570373,7,13,72718,200869,0,729700,7607258,6229,0,203770,0,195611,0,32805052,31215056,31644820,948,738428
2018-05-08_15-45-28.860177314,1525787128.861680348,20526953364,2018-05-08_15-45-58.900538973,1525787158.902038802,0.62,0.53,0.56,12631811444,10907058212053,34685380,32124676,40953837,54267002,5570373,7,13,72718,200881,0,731437,7627784,6229,0,203797,0,195611,0,32805052,31214992,31645316,948,738432
2018-05-08_15-45-58.938073878,1525787158.939560744,20617653992,2018-05-08_15-46-28.979516575,1525787188.981036146,0.43,0.50,0.54,12757999354,10984628729135,34685382,32124676,40953837,54267002,5570373,7,13,72718,200892,0,733100,7648337,6229,0,203824,0,195611,0,32805052,31215860,31646444,948,738432
