StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-08_17-20-22.241573326,1525792822.243096745,16126831240,2018-05-08_17-20-52.271770987,1525792852.273280549,0.23,0.20,0.23,26730994020,20371778932319,67713250,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206506,0,974630,11711318,6256,0,230626,0,195611,0,32805052,31203124,31634696,948,748040
2018-05-08_17-20-52.309333658,1525792852.310840346,16096617664,2018-05-08_17-21-22.341796656,1525792882.343347535,0.32,0.23,0.23,26756362346,20432866027185,67989283,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206514,0,975734,11733246,6256,0,230872,0,195611,0,32805052,31202548,31634136,948,748040
2018-05-08_17-21-22.379796016,1525792882.381320010,16067720160,2018-05-08_17-21-52.409859975,1525792912.411422642,0.39,0.25,0.24,26781461040,20493337982649,68264844,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206524,0,976731,11755241,6256,0,231091,0,195611,0,32805052,31202872,31634740,948,748040
2018-05-08_17-21-52.447474162,1525792912.448962051,15993790946,2018-05-08_17-22-22.480309103,1525792942.481862986,0.37,0.26,0.24,26806354806,20553537342995,68541453,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206552,0,977749,11777193,6256,0,231333,0,195611,0,32805052,31200856,31632708,948,748040
2018-05-08_17-22-22.517887144,1525792942.519411025,15830329181,2018-05-08_17-22-52.557009728,1525792972.558534973,0.22,0.23,0.23,26832734908,20613113906007,68823975,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206563,0,978677,11799217,6256,0,231542,0,195611,0,32805052,31190884,31621940,948,748052
2018-05-08_17-22-52.594617047,1525792972.596089414,15985985659,2018-05-08_17-23-22.624995146,1525793002.626513117,0.34,0.26,0.24,26857812354,20673762426989,69450937,47911797,41491998,54681490,26289174,14963826,1102367,1559249,206571,0,979682,11821213,6256,0,231791,0,195611,0,32805052,31191188,31622804,948,748052
2018-05-08_17-23-22.662659295,1525793002.664150424,15734943330,2018-05-08_17-23-52.701701570,1525793032.703240515,0.29,0.25,0.24,26885627144,20732986624091,69772068,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206584,0,980553,11843239,6256,0,232034,0,195611,0,32805052,31191144,31623000,948,748052
2018-05-08_17-23-52.739392615,1525793032.740884067,15769981746,2018-05-08_17-24-22.778188964,1525793062.779740658,0.38,0.28,0.25,26912914126,20792323149687,70082215,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206595,0,981500,11865258,6256,0,232271,0,195611,0,32805052,31192064,31623684,948,748056
2018-05-08_17-24-22.815813711,1525793062.817304024,15749866021,2018-05-08_17-24-52.854158954,1525793092.855723508,0.36,0.28,0.25,26941110612,20852080609685,70408916,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206604,0,982438,11887271,6256,0,232527,0,195611,0,32805052,31192200,31623456,948,748056
2018-05-08_17-24-52.892014275,1525793092.893513769,15908938919,2018-05-08_17-25-22.929990327,1525793122.931534839,0.39,0.30,0.25,26966684378,20911941818401,70700588,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206614,0,983387,11909314,6256,0,232736,0,195611,0,32805052,31193136,31625260,948,748060
2018-05-08_17-25-22.967594510,1525793122.969088051,15866373311,2018-05-08_17-25-53.005823721,1525793153.007360027,0.30,0.29,0.25,26993347168,20971646471045,70997298,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206625,0,984356,11931340,6256,0,232972,0,195611,0,32805052,31204836,31635820,948,748052
2018-05-08_17-25-53.043469727,1525793153.044961199,15791739534,2018-05-08_17-26-23.081276060,1525793183.082818121,0.24,0.28,0.25,27020704486,21031537569437,71306424,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206632,0,985348,11953350,6256,0,233221,0,195611,0,32805052,31204308,31635644,948,748052
2018-05-08_17-26-23.119373025,1525793183.120867110,15744194717,2018-05-08_17-26-53.158539923,1525793213.160076366,0.35,0.30,0.25,27048539948,21090802305869,71636341,47911797,41491998,54681490,26695316,14963826,1102367,1559249,206640,0,986270,11975377,6256,0,233465,0,195611,0,32805052,31203804,31635304,948,748052
2018-05-08_17-26-53.196225311,1525793213.197723474,15929889382,2018-05-08_17-27-23.234662526,1525793243.236169480,0.35,0.30,0.26,27074284210,21150739120443,71931521,47911797,41491998,54681490,27071044,14963826,1102367,1559249,206649,0,987193,11997414,6256,0,233711,0,195611,0,32805052,31204776,31636052,948,748056
2018-05-08_17-27-23.272209546,1525793243.273715221,15734515767,2018-05-08_17-27-53.309943304,1525793273.311476874,0.33,0.30,0.26,27102278456,21210376692783,72643292,47911797,41491998,54681490,27071044,14963826,1102367,1559249,206659,0,988066,12019430,6256,0,233967,0,195611,0,32805052,31204244,31636128,948,748056
