StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_12-06-16.178234904,1525860376.179629584,2018-05-09_12-06-16.182678037,1525860376.184016854,0.09,0.92,1.14,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,419323,13,2611154,38484500,30562,0,6163,0,340813,0,32805052,13484088,13792872,912,633968
2018-05-09_12-06-46.218071677,1525860406.219606994,2018-05-09_12-06-46.222697202,1525860406.224049571,0.64,0.98,1.15,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,422476,13,2613143,38503249,30563,0,6164,0,343955,0,32805052,13484444,13793236,912,633976
2018-05-09_12-07-16.258345661,1525860436.259786574,2018-05-09_12-07-16.262893103,1525860436.264248009,0.91,1.01,1.16,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,424572,13,2615529,38523088,30567,0,6165,0,346040,0,32805052,13484428,13793224,912,633980
2018-05-09_12-07-46.298435284,1525860466.299844892,2018-05-09_12-07-46.302900555,1525860466.304246242,1.20,1.07,1.17,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,427716,13,2617402,38541929,30573,0,6166,0,349176,0,32805052,13484464,13793520,912,633980
2018-05-09_12-08-16.338649905,1525860496.340198122,2018-05-09_12-08-16.343308887,1525860496.344669054,1.37,1.13,1.19,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,430998,13,2619256,38560688,30576,0,6167,0,352448,0,32805052,13496808,13805304,912,633972
2018-05-09_12-08-46.379031284,1525860526.380724896,2018-05-09_12-08-46.383945860,1525860526.385368416,1.62,1.21,1.22,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,434131,13,2621296,38579402,30577,0,6168,0,355573,0,32805052,13495980,13804772,912,633972
2018-05-09_12-09-16.420388645,1525860556.421782515,2018-05-09_12-09-16.424817242,1525860556.426153259,1.55,1.24,1.23,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,436181,13,2623687,38599258,30579,0,6169,0,357615,0,32805052,13496952,13805480,912,633972
2018-05-09_12-09-46.460226625,1525860586.461617164,2018-05-09_12-09-46.464627994,1525860586.465954093,1.65,1.30,1.24,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,439381,13,2625743,38617911,30580,0,6170,0,360807,0,32805052,13497896,13806688,912,633972
2018-05-09_12-10-16.500101658,1525860616.501693519,2018-05-09_12-10-16.504780970,1525860616.506119012,1.64,1.33,1.26,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,442670,13,2627687,38636606,30583,0,6171,0,364087,0,32805052,13498080,13807140,912,633980
2018-05-09_12-10-46.540142926,1525860646.541543663,2018-05-09_12-10-46.544582728,1525860646.545909322,1.52,1.33,1.26,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,444712,13,2630075,38656439,30586,0,6171,0,366121,0,32805052,13498136,13806940,912,633984
2018-05-09_12-11-16.579740010,1525860676.581138705,2018-05-09_12-11-16.584179348,1525860676.585529368,1.71,1.40,1.28,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,448022,13,2632115,38675045,30587,0,6172,0,369422,0,32805052,13498352,13807156,912,633984
2018-05-09_12-11-46.619313672,1525860706.620713061,2018-05-09_12-11-46.623732850,1525860706.625076629,1.61,1.41,1.29,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,451482,13,2633779,38694125,30590,0,6174,0,372874,0,32805052,13497596,13806404,912,633988
2018-05-09_12-12-16.659237572,1525860736.660806681,2018-05-09_12-12-16.663876041,1525860736.665210063,1.54,1.41,1.30,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,454763,13,2635846,38712754,30593,0,6175,0,376145,0,32805052,13497264,13806072,912,633988
2018-05-09_12-12-46.699546333,1525860766.700949868,2018-05-09_12-12-46.703983921,1525860766.705322680,1.46,1.41,1.30,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,456769,13,2638181,38732619,30597,0,6176,0,378141,0,32805052,13496704,13805512,912,633988
2018-05-09_12-13-16.739591907,1525860796.741141532,2018-05-09_12-13-16.744246011,1525860796.745595675,1.60,1.45,1.32,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,460124,13,2640321,38751105,30597,0,6176,0,381487,0,32805052,13484780,13793600,912,634000
2018-05-09_12-13-46.780931099,1525860826.782782126,2018-05-09_12-13-46.786370005,1525860826.787912175,1.62,1.47,1.33,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,463468,13,2642099,38770076,30601,0,6177,0,384818,0,32805052,13481624,13790448,912,634004
2018-05-09_12-14-16.825108599,1525860856.826600148,2018-05-09_12-14-16.829677839,1525860856.831032499,1.71,1.50,1.34,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,466765,13,2643855,38789019,30606,0,6178,0,388108,0,32805052,13484056,13792880,912,634004
2018-05-09_12-14-46.866095744,1525860886.867520381,2018-05-09_12-14-46.870586513,1525860886.871933231,1.78,1.53,1.36,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,468713,13,2646252,38808867,30609,0,6178,0,390044,0,32805052,13483640,13792468,912,634008
2018-05-09_12-15-16.906210099,1525860916.907631322,2018-05-09_12-15-16.910729562,1525860916.912076547,1.87,1.58,1.38,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,472037,13,2648266,38827535,30614,0,6180,0,393356,0,32805052,13483640,13792468,912,634012
2018-05-09_12-15-46.946546434,1525860946.948023926,2018-05-09_12-15-46.951091752,1525860946.952453134,1.84,1.60,1.39,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,475364,13,2650273,38846212,30618,0,6181,0,396673,0,32805052,13483412,13792240,912,634012
2018-05-09_12-16-16.986858858,1525860976.988505235,2018-05-09_12-16-16.991628567,1525860976.992983071,1.75,1.61,1.40,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,478748,13,2652254,38864915,30619,0,6182,0,400050,0,32805052,13496308,13805136,912,634008
2018-05-09_12-16-47.027412882,1525861007.029024602,2018-05-09_12-16-47.032135555,1525861007.033489384,1.58,1.58,1.40,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,480670,13,2654595,38884786,30622,0,6183,0,401960,0,32805052,13496988,13805816,912,634008
2018-05-09_12-17-17.067864727,1525861037.069278673,2018-05-09_12-17-17.072353481,1525861037.073709138,1.75,1.62,1.42,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,483994,13,2656514,38903631,30624,0,6183,0,405276,0,32805052,13497384,13806212,912,634008
2018-05-09_12-17-47.107786033,1525861067.109198865,2018-05-09_12-17-47.112257383,1525861067.113614976,1.78,1.64,1.43,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,487391,13,2658393,38922367,30626,0,6184,0,408665,0,32805052,13496584,13805412,912,634008
2018-05-09_12-18-17.147903705,1525861097.149606426,2018-05-09_12-18-17.152895855,1525861097.154350863,1.72,1.64,1.44,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,490745,13,2660341,38941124,30627,0,6185,0,412010,0,32805052,13496148,13805236,912,634008
2018-05-09_12-18-47.190181418,1525861127.191587610,2018-05-09_12-18-47.194629682,1525861127.195963140,1.83,1.68,1.46,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,494199,13,2662249,38959772,30629,0,6187,0,415454,0,32805052,13497108,13805580,912,634008
2018-05-09_12-19-17.230525681,1525861157.232102935,2018-05-09_12-19-17.235178647,1525861157.236527249,1.75,1.68,1.46,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,497618,13,2664186,38978445,30630,0,6187,0,418862,0,32805052,13497448,13806276,912,634008
2018-05-09_12-19-47.271004937,1525861187.272513077,2018-05-09_12-19-47.275576690,1525861187.276907344,1.59,1.64,1.46,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,499468,13,2666513,38998326,30630,0,6189,0,420703,0,32805052,13496604,13805692,912,634008
2018-05-09_12-20-17.311293798,1525861217.312815773,2018-05-09_12-20-17.315908492,1525861217.317246916,1.68,1.66,1.47,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,502822,13,2668742,39016810,30631,0,6189,0,424047,0,32805052,13497376,13805952,912,634020
