StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_13-06-24.210428019,1525863984.211816341,2018-05-09_13-06-24.214816795,1525863984.216150550,0.29,1.16,1.47,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,755769,13,2854459,40783032,30870,0,6265,0,676182,0,32805052,13494200,13803120,912,634164
2018-05-09_13-06-54.250057798,1525864014.251490617,2018-05-09_13-06-54.254579142,1525864014.255942615,0.86,1.21,1.48,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,759148,13,2856175,40801906,30872,0,6266,0,679555,0,32805052,13494936,13803860,912,634168
2018-05-09_13-07-24.290161788,1525864044.291594133,2018-05-09_13-07-24.294684734,1525864044.296051441,1.16,1.25,1.49,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,762449,13,2857929,40820794,30874,0,6267,0,682847,0,32805052,13496736,13805660,912,634168
2018-05-09_13-07-54.330318072,1525864074.331740726,2018-05-09_13-07-54.334812386,1525864074.336166887,1.28,1.28,1.49,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,765609,13,2859924,40839559,30874,0,6267,0,685999,0,32805052,13496300,13805224,912,634168
2018-05-09_13-08-24.370356020,1525864104.371764323,2018-05-09_13-08-24.374836488,1525864104.376185019,1.49,1.33,1.50,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,768893,13,2861826,40858269,30875,0,6268,0,689273,0,32805052,13497228,13806152,912,634168
2018-05-09_13-08-54.410286276,1525864134.411711759,2018-05-09_13-08-54.414778846,1525864134.416132443,1.62,1.38,1.51,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,772158,13,2863807,40876968,30875,0,6269,0,692529,0,32805052,13497144,13806068,912,634168
2018-05-09_13-09-24.450774439,1525864164.452204982,2018-05-09_13-09-24.455315284,1525864164.456676146,1.62,1.40,1.51,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,775503,13,2865700,40895686,30875,0,6271,0,695866,0,32805052,13485120,13794048,912,634176
2018-05-09_13-09-54.490992358,1525864194.492441176,2018-05-09_13-09-54.495562438,1525864194.496914366,1.78,1.46,1.53,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,778744,13,2867695,40914380,30883,0,6272,0,699096,0,32805052,13483180,13792112,912,634180
2018-05-09_13-10-24.531417398,1525864224.532834626,2018-05-09_13-10-24.535930317,1525864224.537291026,1.71,1.48,1.53,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,782066,13,2869454,40933227,30886,0,6273,0,702408,0,32805052,13483596,13792804,912,634196
2018-05-09_13-10-54.571583237,1525864254.572995675,2018-05-09_13-10-54.576066028,1525864254.577431324,1.75,1.51,1.54,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,785492,13,2871306,40951904,30893,0,6274,0,705823,0,32805052,13483504,13792452,912,634196
2018-05-09_13-11-24.611650083,1525864284.613084421,2018-05-09_13-11-24.616218402,1525864284.617580732,1.64,1.51,1.54,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,788799,13,2872837,40971016,30894,0,6275,0,709118,0,32805052,13482420,13791372,912,634200
2018-05-09_13-11-54.651842229,1525864314.653256842,2018-05-09_13-11-54.656327294,1525864314.657689268,1.78,1.56,1.56,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,792225,13,2874603,40989873,30899,0,6277,0,712533,0,32805052,13483548,13792500,912,634204
2018-05-09_13-12-24.692013195,1525864344.693446436,2018-05-09_13-12-24.696560075,1525864344.697930340,1.87,1.60,1.57,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,795558,13,2876157,41008942,30901,0,6278,0,715859,0,32805052,13496376,13805324,912,634196
2018-05-09_13-12-54.732317263,1525864374.733954384,2018-05-09_13-12-54.737501212,1525864374.738947050,1.71,1.59,1.57,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,798923,13,2877829,41027889,30903,0,6279,0,719217,0,32805052,13495204,13804412,912,634196
2018-05-09_13-13-24.773448951,1525864404.774854265,2018-05-09_13-13-24.777926076,1525864404.779268309,1.63,1.58,1.57,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,802286,13,2879368,41046956,30907,0,6280,0,722571,0,32805052,13496504,13805716,912,634200
2018-05-09_13-13-54.813380869,1525864434.814789254,2018-05-09_13-13-54.817854413,1525864434.819198025,1.59,1.57,1.57,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,805576,13,2880962,41066054,30912,0,6280,0,725854,0,32805052,13496908,13805860,912,634200
2018-05-09_13-14-24.853365170,1525864464.854771687,2018-05-09_13-14-24.857837388,1525864464.859188893,1.73,1.61,1.58,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,808872,13,2882645,41085082,30914,0,6281,0,729141,0,32805052,13496708,13805660,912,634200
2018-05-09_13-14-54.893707359,1525864494.895136933,2018-05-09_13-14-54.898220258,1525864494.899580290,1.65,1.61,1.58,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,812282,13,2884257,41104057,30915,0,6282,0,732544,0,32805052,13497184,13806136,912,634200
2018-05-09_13-15-24.934087161,1525864524.935508485,2018-05-09_13-15-24.938586352,1525864524.939936893,1.67,1.61,1.58,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,815728,13,2885934,41122925,30916,0,6284,0,735982,0,32805052,13497164,13805852,912,634200
2018-05-09_13-15-54.974351344,1525864554.976075938,2018-05-09_13-15-54.979318843,1525864554.980766058,1.72,1.63,1.59,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,819139,13,2887572,41141889,30917,0,6285,0,739384,0,32805052,13496036,13805248,912,634200
2018-05-09_13-16-25.016079684,1525864585.017491160,2018-05-09_13-16-25.020558222,1525864585.021908413,1.83,1.67,1.60,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,822602,13,2889007,41160993,30919,0,6286,0,742839,0,32805052,13497072,13806024,912,634200
2018-05-09_13-16-55.056061356,1525864615.057560861,2018-05-09_13-16-55.060640943,1525864615.061979078,1.82,1.68,1.61,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,825988,13,2891138,41179500,30921,0,6286,0,746215,0,32805052,13497396,13806608,912,634200
2018-05-09_13-17-25.096111841,1525864645.097534299,2018-05-09_13-17-25.100626405,1525864645.101975381,1.81,1.70,1.62,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,829489,13,2892934,41198349,30925,0,6287,0,749706,0,32805052,13485024,13793984,912,634212
2018-05-09_13-17-55.136222184,1525864675.137642317,2018-05-09_13-17-55.140744745,1525864675.142093203,1.68,1.68,1.61,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,832912,13,2894824,41217055,30927,0,6288,0,753119,0,32805052,13483656,13792616,912,634212
2018-05-09_13-18-25.176376038,1525864705.177885047,2018-05-09_13-18-25.180976489,1525864705.182332282,1.67,1.68,1.61,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,836293,13,2896721,41235806,30929,0,6289,0,756491,0,32805052,13484300,13793260,912,634212
2018-05-09_13-18-55.216458947,1525864735.217861364,2018-05-09_13-18-55.220939323,1525864735.222284030,1.73,1.69,1.62,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,839634,13,2898667,41254569,30934,0,6291,0,759821,0,32805052,13484796,13793760,912,634216
2018-05-09_13-19-25.256657981,1525864765.258250229,2018-05-09_13-19-25.261640502,1525864765.262998767,1.77,1.71,1.63,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,842959,13,2900599,41273401,30936,0,6292,0,763137,0,32805052,13475812,13784780,912,642412
2018-05-09_13-19-55.297686806,1525864795.299177642,2018-05-09_13-19-55.302366938,1525864795.303858586,1.86,1.73,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,846539,13,2902124,41292586,30938,0,6293,0,766710,0,32805052,13475512,13784480,912,642412
2018-05-09_13-20-25.338562039,1525864825.340099668,2018-05-09_13-20-25.343217512,1525864825.344590058,1.70,1.71,1.63,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,849912,13,2904212,41311180,30940,0,6294,0,770072,0,32805052,13475424,13784396,912,642412
2018-05-09_13-20-55.382122628,1525864855.383792601,2018-05-09_13-20-55.387098226,1525864855.388530398,1.75,1.72,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,853339,13,2905912,41330172,30944,0,6295,0,773490,0,32805052,13441976,13750408,912,642416
2018-05-09_13-21-25.424236492,1525864885.425779162,2018-05-09_13-21-25.428892416,1525864885.430256492,1.65,1.70,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,856721,13,2907627,41349216,30949,0,6295,0,776863,0,32805052,13410032,13718744,912,642416
2018-05-09_13-21-55.464281201,1525864915.465699539,2018-05-09_13-21-55.468755523,1525864915.470092430,1.64,1.70,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,860220,13,2909239,41368198,30950,0,6296,0,780355,0,32805052,13410920,13719524,912,642416
2018-05-09_13-22-25.504312692,1525864945.505816594,2018-05-09_13-22-25.508887151,1525864945.510229997,1.72,1.71,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,863669,13,2910894,41387206,30953,0,6298,0,783796,0,32805052,13410888,13719864,912,642416
2018-05-09_13-22-55.544144830,1525864975.545562782,2018-05-09_13-22-55.548599555,1525864975.549935720,1.71,1.71,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,867026,13,2912805,41406021,30953,0,6298,0,787144,0,32805052,13411492,13720728,912,642416
2018-05-09_13-23-25.584190802,1525865005.585776508,2018-05-09_13-23-25.588842955,1525865005.590191050,1.77,1.72,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,870441,13,2914453,41425024,30954,0,6300,0,790552,0,32805052,13411216,13720192,912,642416
2018-05-09_13-23-55.624287373,1525865035.625786826,2018-05-09_13-23-55.628856578,1525865035.630192683,1.66,1.70,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,873872,13,2915936,41444168,30954,0,6300,0,793973,0,32805052,13411544,13720520,912,642416
2018-05-09_13-24-25.664328625,1525865065.665923989,2018-05-09_13-24-25.668982966,1525865065.670318632,1.61,1.68,1.64,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,877168,13,2917613,41463238,30955,0,6301,0,797262,0,32805052,13411052,13720028,912,642416
2018-05-09_13-24-55.704860121,1525865095.706573790,2018-05-09_13-24-55.709820771,1525865095.711259139,1.70,1.69,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,880506,13,2919514,41482001,30956,0,6303,0,800592,0,32805052,13410108,13718988,912,642416
2018-05-09_13-25-25.746779229,1525865125.748193991,2018-05-09_13-25-25.751284803,1525865125.752630190,1.68,1.69,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,883799,13,2921346,41500887,30959,0,6304,0,803876,0,32805052,13397612,13706592,912,642424
2018-05-09_13-25-55.787424235,1525865155.788843349,2018-05-09_13-25-55.791935745,1525865155.793283992,1.73,1.70,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,887107,13,2923206,41519682,30961,0,6304,0,807171,0,32805052,13397164,13706148,912,642428
2018-05-09_13-26-25.827393803,1525865185.828803536,2018-05-09_13-26-25.831853519,1525865185.833188505,1.64,1.68,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,890404,13,2924984,41538605,30963,0,6305,0,810460,0,32805052,13398392,13707376,912,642428
2018-05-09_13-26-55.867166185,1525865215.868582499,2018-05-09_13-26-55.871633976,1525865215.872962095,1.79,1.72,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,893699,13,2926709,41557557,30970,0,6306,0,813743,0,32805052,13397512,13706500,912,642432
2018-05-09_13-27-25.907393275,1525865245.908937190,2018-05-09_13-27-25.912055565,1525865245.913409691,1.67,1.69,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,897005,13,2928533,41576394,30971,0,6307,0,817040,0,32805052,13397944,13706936,912,642436
2018-05-09_13-27-55.947673069,1525865275.949267420,2018-05-09_13-27-55.952356435,1525865275.953709299,1.66,1.69,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,900274,13,2930403,41595220,30976,0,6308,0,820300,0,32805052,13398136,13707128,912,642436
2018-05-09_13-28-25.988157235,1525865305.989677028,2018-05-09_13-28-25.992765134,1525865305.994111910,1.53,1.66,1.65,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,903447,13,2932082,41614240,30978,0,6308,0,823465,0,32805052,13410380,13719372,912,642432
2018-05-09_13-28-56.028090740,1525865336.029503647,2018-05-09_13-28-56.032554958,1525865336.033895420,1.71,1.69,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,906760,13,2934013,41632956,30980,0,6309,0,826769,0,32805052,13411316,13720568,912,642432
2018-05-09_13-29-26.068272628,1525865366.069671567,2018-05-09_13-29-26.072707180,1525865366.074043701,1.70,1.69,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,910025,13,2935770,41651880,30984,0,6310,0,830027,0,32805052,13411156,13720408,912,642432
2018-05-09_13-29-56.108587240,1525865396.110087247,2018-05-09_13-29-56.113171643,1525865396.114513959,1.70,1.69,1.66,843246514,691272708500,1519221,2238186,1578406,1985652,1536066,1994987,1394097,879035,913277,13,2937305,41671009,30988,0,6310,0,833268,0,32805052,13411056,13720048,912,642432
