StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_15-35-19.114822516,1526218519.116517979,2018-05-13_15-35-19.120203790,1526218519.121860901,0.50,0.21,0.11,6952,6172,31,12,29,14,4,21,33,12,9608,0,1956,1122696,2461,0,3,0,0,0,32804244,31851924,31733308,2116,154112
2018-05-13_15-35-49.163032397,1526218549.164733453,2018-05-13_15-35-49.168433100,1526218549.170105225,0.70,0.28,0.14,8276,7316,38,12,29,15,4,36,33,12,12608,0,1961,1143727,2461,0,3,0,0,0,32804244,31852332,31733448,2116,154120
2018-05-13_15-36-19.211532635,1526218579.213226865,2018-05-13_15-36-19.217141465,1526218579.218815675,0.82,0.35,0.17,9600,8460,46,12,29,15,4,40,45,12,15608,0,1967,1164757,2461,0,3,0,0,0,32804244,31852332,31733720,2116,154120
2018-05-13_15-36-49.260432901,1526218609.262158187,2018-05-13_15-36-49.265909789,1526218609.267573978,0.89,0.41,0.19,10924,9604,54,12,29,15,4,40,60,12,18610,0,1973,1185784,2461,0,3,0,0,0,32804244,31838544,31720200,2116,154132
2018-05-13_15-37-19.309142447,1526218639.310886692,2018-05-13_15-37-19.314715670,1526218639.316394063,0.81,0.44,0.21,12248,10748,56,12,47,15,4,40,63,12,21614,0,1981,1206808,2461,0,3,0,0,0,32804244,31838232,31719628,2116,154132
2018-05-13_15-37-49.358005644,1526218669.359698218,2018-05-13_15-37-49.363423941,1526218669.365146614,0.88,0.49,0.24,12248,10748,56,12,47,15,4,40,63,12,24620,0,1985,1227834,2461,0,3,0,0,0,32804244,31838844,31719900,2116,154132
2018-05-13_15-38-19.406821064,1526218699.408536628,2018-05-13_15-38-19.412301990,1526218699.413975597,0.82,0.51,0.25,13572,11892,58,12,68,15,4,40,63,12,27623,0,1994,1248858,2461,0,3,0,0,0,32804244,31839280,31720680,2116,154136
2018-05-13_15-38-49.455777915,1526218729.457527681,2018-05-13_15-38-49.461355119,1526218729.463050141,0.89,0.56,0.27,14896,13036,65,12,73,15,16,40,63,12,30625,0,2001,1269885,2461,0,3,0,0,0,32804244,31839460,31720860,2116,154140
2018-05-13_15-39-19.504722761,1526218759.506430028,2018-05-13_15-39-19.510153904,1526218759.511819293,0.93,0.60,0.29,16220,14180,73,12,73,15,32,40,63,12,33626,0,2007,1290914,2461,0,3,0,0,0,32804244,31839584,31720984,2116,154140
2018-05-13_15-39-49.553456119,1526218789.555467303,2018-05-13_15-39-49.559341934,1526218789.561017263,0.91,0.62,0.31,17544,15324,91,13,73,16,36,40,63,12,36626,0,2013,1311945,2461,0,3,0,0,0,32804244,31852536,31733936,2116,154132
2018-05-13_15-40-19.602548013,1526218819.604255112,2018-05-13_15-40-19.607983627,1526218819.609643427,0.94,0.66,0.33,18868,16468,113,15,73,16,36,40,63,12,39628,0,2020,1332971,2461,0,3,0,0,0,32804244,31852648,31734052,2116,154140
2018-05-13_15-40-49.651115563,1526218849.652799453,2018-05-13_15-40-49.656504156,1526218849.658167634,0.97,0.69,0.35,20192,17612,124,16,73,16,48,40,63,12,42628,0,2025,1354002,2461,0,3,0,0,0,32804244,31852956,31734360,2116,154140
2018-05-13_15-41-19.699532557,1526218879.701230482,2018-05-13_15-41-19.704953819,1526218879.706611926,0.98,0.72,0.38,21516,18756,131,16,74,16,63,40,63,12,45628,0,2031,1375031,2461,0,3,0,0,0,32804244,31852584,31733988,2116,154140
2018-05-13_15-41-49.747970346,1526218909.749657530,2018-05-13_15-41-49.753352089,1526218909.755016415,0.99,0.75,0.40,22840,19900,150,16,74,16,66,40,63,12,48628,0,2036,1396062,2461,0,3,0,0,0,32804244,31852448,31733852,2116,154140
2018-05-13_15-42-19.796352162,1526218939.798056152,2018-05-13_15-42-19.801759149,1526218939.803428063,0.99,0.77,0.42,24164,21044,172,16,75,16,66,40,63,12,51629,0,2041,1417092,2461,0,3,0,0,0,32804244,31851968,31733372,2116,154140
2018-05-13_15-42-49.844776440,1526218969.846474599,2018-05-13_15-42-49.850168836,1526218969.851839365,1.00,0.79,0.43,25488,22188,183,16,76,16,66,40,75,12,54629,0,2046,1438123,2461,0,3,0,0,0,32804244,31852528,31733932,2116,154140
2018-05-13_15-43-19.893230426,1526218999.894945539,2018-05-13_15-43-19.898649791,1526218999.900353664,1.00,0.81,0.45,26812,23332,190,16,76,16,66,40,92,12,57630,0,2052,1459152,2461,0,3,0,0,0,32804244,31852064,31733468,2116,154140
2018-05-13_15-43-49.941695806,1526219029.943388770,2018-05-13_15-43-49.947105823,1526219029.948764570,1.00,0.83,0.47,28136,24476,193,16,94,16,66,40,96,12,60630,0,2056,1480183,2461,0,3,0,0,0,32804244,31852140,31733804,2116,154144
2018-05-13_15-44-19.990326956,1526219059.992042520,2018-05-13_15-44-19.995773597,1526219059.997455538,1.00,0.85,0.49,29460,25620,195,16,116,16,66,40,96,12,63630,0,2062,1501212,2461,0,3,0,0,0,32804244,31852116,31733520,2116,154144
2018-05-13_15-44-50.039142722,1526219090.040886994,2018-05-13_15-44-50.044714481,1526219090.046457909,0.94,0.85,0.50,30784,26764,197,34,121,16,66,40,96,12,66633,0,2068,1522240,2461,0,3,0,0,0,32804244,31839020,31720428,2116,154152
