StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_10-54-27.554696279,1526374467.558749430,2018-05-15_10-54-27.564154238,1526374467.566330565,0.00,0.07,0.05,2122617388,2506026,1,0,0,0,0,0,0,3885,724,0,1756,392382,2291,0,11,0,0,0,32804244,31609220,31490156,2116,153904
2018-05-15_10-54-57.635976745,1526374497.637937461,2018-05-15_10-54-57.641902560,1526374497.643605074,0.34,0.14,0.07,87009450032,102174732,1,0,0,95372,0,0,0,135582,789,0,3871,412142,2291,0,18,0,0,0,32804244,31597176,31478916,2116,153920
2018-05-15_10-55-27.690347649,1526374527.692564314,2018-05-15_10-55-27.699591326,1526374527.702223761,0.54,0.21,0.10,172028644162,226030518,1,0,0,3758105,0,0,72060,135582,847,0,5972,432073,2291,0,30,0,0,0,32804244,31598060,31479832,2116,153920
2018-05-15_10-55-57.764564125,1526374557.767621226,2018-05-15_10-55-57.773577409,1526374557.776077585,0.65,0.27,0.12,255070039548,321262824,1,0,0,3758105,0,54163,2880795,135582,908,0,8134,451813,2291,0,44,0,0,0,32804244,31597556,31478792,2116,153924
2018-05-15_10-56-27.841870030,1526374587.844776245,2018-05-15_10-56-27.851124965,1526374587.854030171,0.65,0.31,0.14,327659362166,428628510,1,0,0,3758105,0,2433754,2880795,138631,965,0,10098,471957,2291,0,58,0,0,0,32804244,31597004,31478004,2116,153924
2018-05-15_10-56-57.921305958,1526374617.923764355,2018-05-15_10-56-57.928160187,1526374617.929979836,0.54,0.31,0.14,405249324750,521352156,1,0,0,3832198,0,2433754,2880795,253634,1019,0,12089,492019,2291,0,67,0,0,0,32804244,31597560,31478544,2116,153924
2018-05-15_10-57-27.979632123,1526374647.981936154,2018-05-15_10-57-27.988542040,1526374647.991395524,0.51,0.33,0.16,478520491214,627870822,1,0,0,6996551,0,2433754,2940929,253634,1075,0,13928,512475,2291,0,80,0,0,0,32804244,31598212,31479200,2116,153928
2018-05-15_10-57-58.063848260,1526374678.065793965,2018-05-15_10-57-58.069935649,1526374678.071867402,0.65,0.38,0.18,555504234756,722596668,1,0,73753,6996551,0,2433754,5518646,253634,1128,0,15967,532492,2291,0,90,0,0,0,32804244,31611508,31492484,2116,153920
2018-05-15_10-58-28.120923274,1526374708.124681170,2018-05-15_10-58-28.131148903,1526374708.134020413,0.71,0.42,0.20,633563002488,835781694,1,0,3401478,6996551,0,2433754,5518646,307840,1187,0,17923,552716,2291,0,98,0,0,0,32804244,31610856,31492640,2116,153920
2018-05-15_10-58-58.196880112,1526374738.199069064,2018-05-15_10-58-58.205576678,1526374738.207842865,0.82,0.47,0.22,711371054894,928706700,1,0,3401478,6996551,55417,2433754,5518646,2746752,1240,0,19978,572737,2291,0,110,0,0,0,32804244,31609600,31490880,2116,153920
2018-05-15_10-59-28.263781759,1526374768.266298342,2018-05-15_10-59-28.273207491,1526374768.275004567,0.78,0.49,0.24,789266864380,1022287146,1,66135,3401478,6996551,2685506,2433754,5518646,2746752,1299,0,22021,592710,2291,0,118,0,0,0,32804244,31610512,31491420,2116,153920
2018-05-15_10-59-58.337211375,1526374798.340826125,2018-05-15_10-59-58.346940109,1526374798.349117998,0.63,0.48,0.24,867322767134,1135436112,1,3440194,3401478,6996551,2685506,2433754,5518646,2746752,1358,0,23959,612931,2291,0,149,0,0,0,32804244,31609496,31491048,2116,153920
2018-05-15_11-00-28.404134145,1526374828.407223455,2018-05-15_11-00-28.412630295,1526374828.414952330,0.62,0.50,0.25,945243794358,1248214158,1,6766926,3401478,6996551,2732684,2433754,5518646,2746752,1417,0,25906,633155,2291,0,183,0,0,0,32804244,31610880,31492124,2116,153924
2018-05-15_11-00-58.472667331,1526374858.475281896,2018-05-15_11-00-58.483601454,1526374858.487015128,0.72,0.53,0.27,1017947262844,1335277404,1,6766926,3401478,6996551,5221475,2433754,5518646,2792432,1473,0,27838,653384,2291,0,193,0,0,0,32804244,31610348,31491612,2116,153924
