StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_10-03-50.199860385,1526457830.201633158,2018-05-16_10-03-50.205916867,1526457830.208567168,0.45,0.70,0.76,50516287757640,54859686196,418944402,156735799,223565621,190199640,174085992,140451900,167379517,157492823,72887,7,1375005,44563325,2435,0,314026,0,0,0,32804244,31533468,31429928,2116,186040
2018-05-16_10-04-20.254796445,1526457860.256506274,2018-05-16_10-04-20.260270100,1526457860.262234833,0.54,0.69,0.76,50601584387344,54987565462,419155393,156735799,223565621,193745458,174085992,140451900,167379517,157492823,72957,7,1377003,44583403,2435,0,314047,0,0,0,32804244,31533348,31430088,2116,186044
2018-05-16_10-04-50.308922797,1526457890.310956077,2018-05-16_10-04-50.315135412,1526457890.317045154,0.72,0.72,0.77,50686476772730,55134904948,419353342,156735799,223565621,197227498,174085992,140451900,167379517,157492823,73024,7,1379062,44603407,2435,0,314076,0,0,0,32804244,31530956,31427700,2116,186048
2018-05-16_10-05-20.364470919,1526457920.367001767,2018-05-16_10-05-20.371354811,1526457920.373601523,0.76,0.73,0.77,50762665365032,55264728094,419619335,156735799,223565621,200439399,174085992,140451900,167379517,157492823,73095,7,1380983,44623694,2435,0,314108,0,0,0,32804244,31543708,31440152,2116,186040
2018-05-16_10-05-50.420885915,1526457950.422666504,2018-05-16_10-05-50.426727278,1526457950.428659544,0.80,0.74,0.77,50833521056450,55374001360,419925347,156735799,223565621,203402910,174085992,140451900,167379517,157492823,73169,7,1382784,44644183,2435,0,314133,0,0,0,32804244,31543040,31440024,2116,186040
2018-05-16_10-06-20.476724477,1526457980.478501665,2018-05-16_10-06-20.482730251,1526457980.484663660,0.80,0.75,0.77,50919352070580,55489716886,420179292,156735799,223565621,206995021,174085992,140451900,167379517,157492823,73231,7,1384854,44664286,2435,0,314145,0,0,0,32804244,31544376,31441096,2116,186040
2018-05-16_10-06-50.534113731,1526458010.536298732,2018-05-16_10-06-50.542092300,1526458010.543879593,0.69,0.73,0.77,50995629463402,55601186212,420425493,157667363,223565621,209274479,174085992,140451900,167379517,157492823,73297,7,1386731,44684660,2435,0,314167,0,0,0,32804244,31544292,31441320,2116,186040
2018-05-16_10-07-20.604417619,1526458040.607042320,2018-05-16_10-07-20.612010746,1526458040.613736271,0.62,0.71,0.76,51065216197692,55721578618,420651594,160553095,223565621,209274479,174085992,140451900,167379517,157492823,73367,7,1388467,44705162,2435,0,314200,0,0,0,32804244,31544692,31441720,2116,186040
2018-05-16_10-07-50.667859968,1526458070.670639372,2018-05-16_10-07-50.675355175,1526458070.677354037,0.71,0.72,0.76,51150764701400,55858546624,420846956,164013934,223565621,209274479,174085992,140451900,167379517,157492823,73432,7,1390550,44725196,2435,0,314246,0,0,0,32804244,31544488,31441516,2116,186040
2018-05-16_10-08-20.731062934,1526458100.733069725,2018-05-16_10-08-20.737771649,1526458100.739516518,0.70,0.71,0.76,51236069643432,55983738370,421108975,167512486,223565621,209274479,174085992,140451900,167379517,157492823,73497,7,1392542,44745271,2435,0,314292,0,0,0,32804244,31544924,31441668,2116,186040
