StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_20-20-04.019743870,1525976404.021468524,2018-05-10_20-20-04.025243053,1525976404.026924569,0.40,0.80,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,891463,170,93400,68807748,18717,0,3028,0,872401,0,32804244,12849892,14431528,1080,1892468
2018-05-10_20-20-34.070225926,1525976434.071974082,2018-05-10_20-20-34.075760670,1525976434.077462071,0.45,0.77,0.89,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,894482,170,93421,68828728,18720,0,3028,0,875415,0,32804244,12850768,14432416,1080,1892480
2018-05-10_20-21-04.120120905,1525976464.121869548,2018-05-10_20-21-04.125709024,1525976464.127420631,0.75,0.81,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,897487,170,93443,68849716,18726,0,3028,0,878416,0,32804244,12851144,14433060,1080,1892480
2018-05-10_20-21-34.170390770,1525976494.172119249,2018-05-10_20-21-34.175901642,1525976494.177592204,0.85,0.83,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,900496,170,93456,68870712,18732,0,3028,0,881421,0,32804244,12851676,14433332,1080,1892480
2018-05-10_20-22-04.220178550,1525976524.221935212,2018-05-10_20-22-04.225730657,1525976524.227441098,0.91,0.84,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,903505,170,93471,68891711,18733,0,3028,0,884424,0,32804244,12851212,14432868,1080,1892480
2018-05-10_20-22-34.270163812,1525976554.271896845,2018-05-10_20-22-34.275681375,1525976554.277373789,0.94,0.86,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,906513,170,93488,68912709,18735,0,3028,0,887427,0,32804244,12851528,14433184,1080,1892480
2018-05-10_20-23-04.319971581,1525976584.321726298,2018-05-10_20-23-04.325538225,1525976584.327235150,0.91,0.86,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,909519,170,93507,68933707,18736,0,3029,0,890427,0,32804244,12850540,14432196,1080,1892480
2018-05-10_20-23-34.370208335,1525976614.371981399,2018-05-10_20-23-34.375847069,1525976614.377553609,0.89,0.85,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,912537,170,93530,68954688,18736,0,3029,0,893439,0,32804244,12837752,14419412,1080,1892488
2018-05-10_20-24-04.421053816,1525976644.422900500,2018-05-10_20-24-04.426753533,1525976644.428467117,0.93,0.87,0.90,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,915554,170,93549,68975665,18745,0,3029,0,896450,0,32804244,12837132,14418796,1080,1892492
2018-05-10_20-24-34.472107638,1525976674.473853038,2018-05-10_20-24-34.477635910,1525976674.479320798,0.96,0.88,0.91,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,918575,170,93571,68996641,18750,0,3029,0,899465,0,32804244,12838600,14420264,1080,1892492
2018-05-10_20-25-04.521991033,1525976704.523759506,2018-05-10_20-25-04.527605553,1525976704.529306195,0.97,0.89,0.91,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,921593,170,93601,69017614,18751,0,3029,0,902476,0,32804244,12838100,14419768,1080,1892496
2018-05-10_20-25-34.572257948,1525976734.574025800,2018-05-10_20-25-34.578148187,1525976734.580270131,0.98,0.90,0.91,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,924606,170,93628,69038586,18761,0,3029,0,905482,0,32804244,12837840,14419244,1080,1892496
2018-05-10_20-26-04.623723861,1525976764.625545038,2018-05-10_20-26-04.629320778,1525976764.631014300,0.99,0.91,0.91,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,927611,170,93648,69059581,18764,0,3030,0,908482,0,32804244,12837896,14419564,1080,1892496
2018-05-10_20-26-34.673652384,1525976794.675391783,2018-05-10_20-26-34.679185738,1525976794.680882600,0.94,0.90,0.91,296152084,343995130528,603963,1061252,16175,1310339,499530,372918,2834,1176366,930621,170,93661,69080577,18768,0,3030,0,911486,0,32804244,12851172,14432840,1080,1892492
