StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-11_14-45-48.914718690,1526042748.916610166,21516227070,2018-05-11_14-46-18.973895237,1526042778.975764518,0.12,0.07,0.05,86467654,80619276602,114741,32,0,793927,0,0,0,0,742,0,3529,433694,2420,0,516,0,0,0,32804244,31604040,31485396,2116,155336
2018-05-11_14-46-19.020195585,1526042779.022066944,16347185488,2018-05-11_14-46-49.052000630,1526042809.053914451,0.20,0.10,0.06,114235148,142766895242,114743,32,127062,793927,0,0,577799,0,758,0,4398,455894,2420,0,579,0,0,0,32804244,31603432,31484776,2116,155336
2018-05-11_14-46-49.098733351,1526042809.100621988,16373429689,2018-05-11_14-47-19.130485057,1526042839.132420446,0.26,0.12,0.07,141523410,204369362534,121868,32,237942,800341,0,588628,577799,0,771,0,5251,478100,2420,0,633,0,0,0,32804244,31602616,31483640,2116,155336
2018-05-11_14-47-19.177192721,1526042839.179080166,21559947530,2018-05-11_14-47-49.209436794,1526042869.211337914,0.28,0.14,0.08,226121432,285414910608,1573710,4791,253596,800341,0,588628,577799,0,792,0,6521,499804,2420,0,1164,0,0,0,32804244,31605600,31486900,2116,155340
2018-05-11_14-47-49.255948389,1526042869.257825904,16300132201,2018-05-11_14-48-19.296914363,1526042899.298853934,0.22,0.14,0.08,255883230,347378551864,2316966,6778,253601,800348,0,588628,577799,0,809,0,7305,522296,2420,0,1291,0,0,0,32804244,31606776,31487868,2116,155344
2018-05-11_14-48-19.343322154,1526042899.345196621,21332835932,2018-05-11_14-48-49.374931497,1526042929.376856861,0.26,0.16,0.09,345144420,427607020300,2316968,113412,384537,828694,0,1814666,577799,0,828,0,8499,543396,2420,0,1563,0,0,0,32804244,31616728,31498052,2116,155336
2018-05-11_14-48-49.421474387,1526042929.423339440,21302254053,2018-05-11_14-49-19.462973005,1526042959.464889524,0.30,0.18,0.10,435474474,507751187710,2316970,198572,565578,828694,0,1814666,1826772,0,844,0,9752,564535,2420,0,1843,0,0,0,32804244,31616976,31497720,2116,155336
2018-05-11_14-49-19.509615608,1526042959.511494899,16659460327,2018-05-11_14-49-49.550923405,1526042989.552815605,0.24,0.18,0.10,461634800,571038890932,2316972,198574,565579,1478391,0,1814666,1826772,0,857,0,10544,587078,2420,0,1959,0,0,0,32804244,31617144,31498468,2116,155336
2018-05-11_14-49-49.597453190,1526042989.599319353,16537931730,2018-05-11_14-50-19.638328467,1526043019.640231843,0.34,0.21,0.11,487768950,633240950638,2316981,198574,1231731,1478400,0,1814666,1826772,0,872,0,11363,609584,2421,0,2078,0,0,0,32804244,31616748,31497932,2116,155340
2018-05-11_14-50-19.685205596,1526043019.687074174,21290941443,2018-05-11_14-50-49.716872409,1526043049.718805923,0.34,0.22,0.12,573794748,713254886938,2345572,208637,1459182,1478400,0,1814666,1826772,1206279,889,0,12601,630760,2421,0,2349,0,0,0,32804244,31616436,31497804,2116,155340
