StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_14-08-46.070395969,1526213326.072286416,36.656833,2018-05-13_14-09-16.433230125,1526213356.435098734,0.34,0.19,0.14,,,,,,3824,0,2097,430257,2359,0,3,0,0,0,32804244,31861716,31734052,2116,136684
2018-05-13_14-09-16.465096403,1526213356.466952697,36.656835,2018-05-13_14-09-46.706190829,1526213386.708145481,0.60,0.27,0.17,,,,,,6850,0,2105,451438,2359,0,3,0,0,0,32804244,31860740,31732292,2116,136688
2018-05-13_14-09-46.738064679,1526213386.739893835,36.656834,2018-05-13_14-10-16.979139133,1526213416.981019060,0.76,0.34,0.20,,,,,,9876,0,2114,472617,2359,0,3,0,0,0,32804244,31859128,31731516,2116,136700
2018-05-13_14-10-17.011293826,1526213417.013175212,36.656834,2018-05-13_14-10-47.252120006,1526213447.253993319,0.85,0.40,0.22,,,,,,12900,0,2120,493803,2359,0,3,0,0,0,32804244,31860832,31732704,2116,136704
2018-05-13_14-10-47.283976163,1526213447.285831439,36.656833,2018-05-13_14-11-17.524357373,1526213477.526219706,0.83,0.44,0.24,,,,,,15926,0,2125,514986,2359,0,3,0,0,0,32804244,31861032,31733200,2116,136708
2018-05-13_14-11-17.556174417,1526213477.558024827,36.656832,2018-05-13_14-11-47.796969921,1526213507.798826785,0.83,0.48,0.26,,,,,,18951,0,2130,536171,2359,0,3,0,0,0,32804244,31874720,31746556,2116,136700
2018-05-13_14-11-47.828757623,1526213507.830601069,36.656837,2018-05-13_14-12-18.069260291,1526213538.071136712,0.91,0.54,0.29,,,,,,21975,0,2134,557359,2359,0,3,0,0,0,32804244,31874720,31746852,2116,136700
2018-05-13_14-12-18.101052528,1526213538.102897201,36.656835,2018-05-13_14-12-48.341432643,1526213568.343290140,0.94,0.58,0.31,,,,,,24999,0,2138,578545,2359,0,3,0,0,0,32804244,31874628,31746500,2116,136700
2018-05-13_14-12-48.373223851,1526213568.375065587,36.656837,2018-05-13_14-13-18.613861969,1526213598.615741448,0.96,0.62,0.33,,,,,,28023,0,2141,599733,2359,0,3,0,0,0,32804244,31874104,31746236,2116,136700
2018-05-13_14-13-18.645425209,1526213598.647256208,36.656836,2018-05-13_14-13-48.885855648,1526213628.887709177,0.98,0.66,0.35,,,,,,31047,0,2146,620919,2359,0,3,0,0,0,32804244,31874340,31746448,2116,136700
2018-05-13_14-13-48.917453847,1526213628.919301366,36.656837,2018-05-13_14-14-19.157749445,1526213659.159614161,0.99,0.69,0.37,,,,,,34070,0,2150,642106,2359,0,3,0,0,0,32804244,31874060,31746748,2116,136700
2018-05-13_14-14-19.189404048,1526213659.191263972,36.656837,2018-05-13_14-14-49.429870980,1526213689.431723253,0.99,0.72,0.39,,,,,,37095,0,2155,663292,2359,0,3,0,0,0,32804244,31874504,31746636,2116,136700
2018-05-13_14-14-49.461626792,1526213689.463464871,36.656835,2018-05-13_14-15-19.702371122,1526213719.704233388,1.00,0.75,0.41,,,,,,40118,0,2162,684477,2359,0,3,0,0,0,32804244,31873684,31746044,2116,136700
2018-05-13_14-15-19.734161448,1526213719.735989151,36.656837,2018-05-13_14-15-49.974506346,1526213749.976377948,0.92,0.75,0.43,,,,,,43142,0,2167,705663,2359,0,4,0,0,0,32804244,31873620,31745820,2116,136700
2018-05-13_14-15-50.006247860,1526213750.008076765,36.656837,2018-05-13_14-16-20.246593871,1526213780.248460195,0.95,0.78,0.44,,,,,,46166,0,2171,726850,2359,0,4,0,0,0,32804244,31873540,31745748,2116,136700
2018-05-13_14-16-20.278225985,1526213780.280096042,36.656837,2018-05-13_14-16-50.519061970,1526213810.520955129,0.97,0.80,0.46,,,,,,49191,0,2178,748033,2359,0,4,0,0,0,32804244,31861144,31733356,2116,136708
2018-05-13_14-16-50.551028773,1526213810.552874051,36.656837,2018-05-13_14-17-20.791593597,1526213840.793454860,0.98,0.82,0.48,,,,,,52214,0,2181,769220,2359,0,4,0,0,0,32804244,31860956,31733328,2116,136708
2018-05-13_14-17-20.823325901,1526213840.825151644,36.656829,2018-05-13_14-17-51.063915902,1526213871.065818178,0.91,0.82,0.49,,,,,,55240,0,2189,790402,2359,0,4,0,0,0,32804244,31861232,31733424,2116,136712
2018-05-13_14-17-51.095769833,1526213871.097611534,36.656834,2018-05-13_14-18-21.336280227,1526213901.338152822,0.95,0.84,0.51,,,,,,58266,0,2196,811584,2359,0,4,0,0,0,32804244,31860488,31732904,2116,136716
2018-05-13_14-18-21.368051611,1526213901.369914279,36.656836,2018-05-13_14-18-51.608760324,1526213931.610611005,1.05,0.87,0.53,,,,,,61290,0,2201,832770,2359,0,4,0,0,0,32804244,31861860,31734008,2116,136720
2018-05-13_14-18-51.640568387,1526213931.642437160,36.656834,2018-05-13_14-19-21.881281932,1526213961.883218666,0.96,0.86,0.54,,,,,,64316,0,2207,853953,2359,0,4,0,0,0,32804244,31861328,31733268,2116,136720
2018-05-13_14-19-21.913182308,1526213961.915042407,36.656834,2018-05-13_14-19-52.153564017,1526213992.155425795,0.92,0.86,0.55,,,,,,67340,0,2212,875138,2359,0,4,0,0,0,32804244,31874024,31746332,2116,136716
2018-05-13_14-19-52.185408755,1526213992.187249699,36.656836,2018-05-13_14-20-22.425786437,1526214022.427664188,0.95,0.87,0.56,,,,,,70365,0,2217,896323,2359,0,4,0,0,0,32804244,31874176,31746656,2116,136720
2018-05-13_14-20-22.457753273,1526214022.459606129,36.656833,2018-05-13_14-20-52.697992196,1526214052.699880262,0.97,0.89,0.58,,,,,,73388,0,2223,917509,2359,0,4,0,0,0,32804244,31874776,31746984,2116,136720
2018-05-13_14-20-52.729879098,1526214052.731726744,36.656838,2018-05-13_14-21-22.970089195,1526214082.971970542,1.04,0.91,0.60,,,,,,76412,0,2226,938697,2359,0,4,0,0,0,32804244,31874600,31746500,2116,136720
2018-05-13_14-21-23.001736308,1526214083.003577650,36.656836,2018-05-13_14-21-53.242321139,1526214113.244166083,1.02,0.92,0.61,,,,,,79436,0,2230,959882,2359,0,4,0,0,0,32804244,31873468,31746208,2116,136720
2018-05-13_14-21-53.274099106,1526214113.275960232,36.656838,2018-05-13_14-22-23.514667243,1526214143.516545037,1.01,0.93,0.62,,,,,,82460,0,2233,981070,2359,0,4,0,0,0,32804244,31873560,31745744,2116,136720
