StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,bbuser,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-13_16-31-58.446200523,1526221918.448126208,38.295863,2018-05-13_16-32-28.687077523,1526221948.688933358,0.69,0.78,0.87,137400,159276,989,322,280,267,0,0,0,0,340488,0,3389,3532012,2417,0,8,0,0,0,32804244,31806288,31688168,2116,156684
2018-05-13_16-32-28.733168773,1526221948.735025619,38.295873,2018-05-13_16-32-58.973942195,1526221978.975837479,0.76,0.79,0.87,138592,160660,1012,322,281,267,0,0,0,0,343512,0,3393,3553209,2417,0,8,0,0,0,32804244,31805544,31688280,2116,156684
2018-05-13_16-32-59.020224663,1526221979.022056354,38.295883,2018-05-13_16-33-29.260832528,1526222009.262730361,0.85,0.81,0.88,139784,162044,1036,322,281,267,0,0,0,0,346539,0,3401,3574401,2417,0,8,0,0,0,32804244,31805904,31687728,2116,156688
2018-05-13_16-33-29.307353919,1526222009.309219692,38.295879,2018-05-13_16-33-59.548071227,1526222039.549959944,0.91,0.83,0.88,140976,163428,1060,322,282,267,0,0,0,0,349566,0,3409,3595594,2417,0,8,0,0,0,32804244,31806948,31688648,2116,156692
2018-05-13_16-33-59.594765017,1526222039.596647987,38.295883,2018-05-13_16-34-29.835331707,1526222069.837214602,0.95,0.84,0.88,142168,164812,1064,322,303,267,0,0,0,0,352590,0,3415,3616790,2417,0,8,0,0,0,32804244,31806612,31689388,2116,156692
2018-05-13_16-34-29.882145801,1526222069.884000898,38.295881,2018-05-13_16-35-00.123182899,1526222100.125099518,0.97,0.86,0.88,143360,166196,1068,322,324,267,0,0,0,0,355616,0,3423,3637984,2417,0,8,0,0,0,32804244,31806940,31688952,2116,156692
2018-05-13_16-35-00.169698770,1526222100.171543149,38.295883,2018-05-13_16-35-30.410319755,1526222130.412182740,0.98,0.87,0.89,144552,167580,1072,322,345,267,0,0,0,0,358641,0,3430,3659179,2417,0,8,0,0,0,32804244,31819392,31701380,2116,156688
2018-05-13_16-35-30.457128922,1526222130.459007542,38.295885,2018-05-13_16-36-00.697713652,1526222160.699603502,0.99,0.88,0.89,145744,168964,1076,322,367,267,0,0,0,0,361665,0,3435,3680377,2417,0,8,0,0,0,32804244,31817972,31700456,2116,156688
2018-05-13_16-36-00.744078726,1526222160.745936178,38.295872,2018-05-13_16-36-30.984497134,1526222190.986502775,0.95,0.88,0.89,146936,170348,1083,322,369,267,0,0,0,0,364688,0,3441,3701574,2417,0,8,0,0,0,32804244,31819128,31701916,2116,156688
2018-05-13_16-36-31.030822808,1526222191.032685076,38.295884,2018-05-13_16-37-01.271310293,1526222221.273171586,0.97,0.89,0.89,148128,171732,1091,322,369,267,0,0,0,0,367712,0,3446,3722772,2417,0,8,0,0,0,32804244,31819116,31701056,2116,156688
2018-05-13_16-37-01.317544740,1526222221.319384693,38.295884,2018-05-13_16-37-31.557960867,1526222251.559869437,0.98,0.90,0.89,149320,173116,1100,322,369,267,0,0,0,0,370736,0,3452,3743968,2417,0,8,0,0,0,32804244,31819228,31701196,2116,156688
2018-05-13_16-37-31.604310072,1526222251.606164885,38.295885,2018-05-13_16-38-01.844405103,1526222281.846276926,0.99,0.91,0.90,150512,174500,1109,322,369,267,0,0,0,0,373760,0,3457,3765166,2417,0,8,0,0,0,32804244,31819072,31700452,2116,156688
2018-05-13_16-38-01.890590029,1526222281.892432387,38.295885,2018-05-13_16-38-32.130703681,1526222312.132604975,0.99,0.92,0.90,151704,175884,1113,322,369,288,0,0,0,0,376785,0,3462,3786362,2417,0,8,0,0,0,32804244,31819176,31701376,2116,156688
2018-05-13_16-38-32.177067553,1526222312.178944602,38.295879,2018-05-13_16-39-02.417328205,1526222342.419209380,1.00,0.93,0.90,152896,177268,1117,322,369,308,0,0,0,0,379809,0,3467,3807560,2417,0,8,0,0,0,32804244,31819756,31701460,2116,156688
2018-05-13_16-39-02.463621085,1526222342.465472392,38.295883,2018-05-13_16-39-32.704026801,1526222372.705942724,1.00,0.93,0.91,154088,178652,1121,322,369,329,0,0,0,0,382833,0,3473,3828756,2417,0,8,0,0,0,32804244,31819284,31701212,2116,156688
2018-05-13_16-39-32.750583176,1526222372.752450766,38.295883,2018-05-13_16-40-02.990886045,1526222402.992756104,1.00,0.94,0.91,155280,180036,1125,322,369,350,0,0,0,0,385857,0,3480,3849952,2417,0,8,0,0,0,32804244,31819512,31701680,2116,156696
2018-05-13_16-40-03.037226325,1526222403.039086650,38.295881,2018-05-13_16-40-33.277906598,1526222433.279806592,1.00,0.95,0.91,156472,181420,1132,322,369,352,0,0,0,0,388883,0,3488,3871145,2417,0,8,0,0,0,32804244,31807368,31689896,2116,156708
2018-05-13_16-40-33.324494765,1526222433.326356309,38.295883,2018-05-13_16-41-03.564888502,1526222463.566773364,1.00,0.95,0.91,157664,182804,1140,322,369,352,0,0,0,0,391907,0,3493,3892342,2417,0,8,0,0,0,32804244,31807280,31689548,2116,156708
2018-05-13_16-41-03.611255598,1526222463.613108316,38.299165,2018-05-13_16-41-33.851943919,1526222493.853868222,1.00,0.96,0.92,159150,184546,1148,322,370,352,0,0,0,0,394934,0,3502,3913534,2417,0,8,0,0,0,32804244,31807112,31689544,2116,156712
2018-05-13_16-41-33.898564973,1526222493.900414359,38.295883,2018-05-13_16-42-04.139216384,1526222524.141098935,0.94,0.94,0.91,160048,185572,1155,322,371,352,0,0,0,0,397959,0,3509,3934727,2417,0,8,0,0,0,32804244,31807612,31689316,2116,156716
2018-05-13_16-42-04.185688303,1526222524.187546985,38.295878,2018-05-13_16-42-34.426238124,1526222554.428099539,0.95,0.95,0.92,161240,186956,1162,322,371,354,0,0,0,0,400983,0,3516,3955923,2417,0,8,0,0,0,32804244,31807804,31689584,2116,156716
2018-05-13_16-42-34.472604715,1526222554.474471446,38.295884,2018-05-13_16-43-04.713471435,1526222584.715364055,0.97,0.95,0.92,162432,188340,1170,322,371,354,0,0,0,0,404010,0,3523,3977116,2417,0,8,0,0,0,32804244,31807904,31689352,2116,156720
2018-05-13_16-43-04.760011829,1526222584.761875648,38.295883,2018-05-13_16-43-35.000546865,1526222615.002442387,0.98,0.96,0.92,163624,189724,1177,322,373,354,0,0,0,0,407035,0,3529,3998311,2417,0,8,0,0,0,32804244,31820516,31702208,2116,156712
2018-05-13_16-43-35.046970445,1526222615.048828558,38.295884,2018-05-13_16-44-05.287335996,1526222645.289199154,0.99,0.96,0.93,164816,191108,1185,322,373,354,0,0,0,0,410058,0,3535,4019510,2417,0,8,0,0,0,32804244,31820176,31701880,2116,156712
2018-05-13_16-44-05.333538563,1526222645.335407240,38.295881,2018-05-13_16-44-35.574001391,1526222675.575867268,0.94,0.95,0.92,166008,192492,1189,342,374,354,0,0,0,0,413082,0,3541,4040706,2417,0,8,0,0,0,32804244,31820656,31702460,2116,156712
2018-05-13_16-44-35.620345056,1526222675.622223563,38.295882,2018-05-13_16-45-05.860499888,1526222705.862409218,0.97,0.96,0.93,167200,193876,1193,361,374,355,0,0,0,0,416106,0,3546,4061904,2417,0,8,0,0,0,32804244,31820568,31702548,2116,156712
2018-05-13_16-45-05.906904575,1526222705.908750378,38.295831,2018-05-13_16-45-36.147218397,1526222736.149110191,0.93,0.95,0.93,168392,195260,1197,381,375,355,0,0,0,0,419130,0,3551,4083100,2417,0,8,0,0,0,32804244,31820840,31702832,2116,156712
2018-05-13_16-45-36.193650775,1526222736.195497492,38.299036,2018-05-13_16-46-06.433976901,1526222766.435847323,0.90,0.93,0.92,169584,196644,1201,400,376,355,0,0,0,0,422154,0,3556,4104298,2417,0,8,0,0,0,32804244,31820572,31702560,2116,156712
2018-05-13_16-46-06.480282672,1526222766.482141018,38.295882,2018-05-13_16-46-36.720659681,1526222796.722563167,0.94,0.94,0.93,170776,198028,1209,400,376,355,0,0,0,0,425178,0,3562,4125494,2417,0,8,0,0,0,32804244,31820068,31702604,2116,156712
2018-05-13_16-46-36.767071624,1526222796.768928164,38.295884,2018-05-13_16-47-07.007357373,1526222827.009222116,0.96,0.95,0.93,171968,199412,1218,400,376,355,0,0,0,0,428202,0,3567,4146692,2417,0,8,0,0,0,32804244,31820712,31702452,2116,156712
2018-05-13_16-47-07.053690701,1526222827.055533620,38.295885,2018-05-13_16-47-37.293931873,1526222857.295804804,0.98,0.95,0.93,173160,200796,1226,400,376,355,0,0,0,0,431226,0,3573,4167888,2417,0,8,0,0,0,32804244,31820852,31702560,2116,156712
2018-05-13_16-47-37.340200547,1526222857.342038808,38.295882,2018-05-13_16-48-07.580496677,1526222887.582357271,0.99,0.96,0.93,174352,202180,1234,400,376,355,0,0,0,0,434249,0,3578,4189087,2417,0,8,0,0,0,32804244,31819784,31702020,2116,156712
2018-05-13_16-48-07.626739798,1526222887.628595598,38.295882,2018-05-13_16-48-37.867168855,1526222917.869078965,0.99,0.96,0.94,175544,203564,1238,400,376,376,0,0,0,0,437274,0,3587,4210279,2417,0,8,0,0,0,32804244,31808324,31690244,2116,156720
2018-05-13_16-48-37.913666063,1526222917.915520837,38.295882,2018-05-13_16-49-08.153939305,1526222948.155821612,1.00,0.96,0.94,176736,204948,1242,400,376,397,0,0,0,0,440302,0,3594,4231470,2417,0,8,0,0,0,32804244,31808896,31690536,2116,156728
2018-05-13_16-49-08.200511447,1526222948.202386937,38.295885,2018-05-13_16-49-38.441034841,1526222978.442969784,1.00,0.97,0.94,177928,206332,1246,400,376,418,0,0,0,0,443325,0,3599,4252668,2417,0,8,0,0,0,32804244,31807920,31689820,2116,156728
2018-05-13_16-49-38.487692902,1526222978.489567577,38.295884,2018-05-13_16-50-08.728167771,1526223008.730067576,1.00,0.97,0.95,179120,207716,1250,400,376,439,0,0,0,0,446353,0,3609,4273856,2418,0,8,0,0,0,32804244,31807588,31689280,2116,156740
2018-05-13_16-50-08.774940513,1526223008.776809051,38.295882,2018-05-13_16-50-39.015865497,1526223039.017767735,1.00,0.97,0.95,180312,209100,1254,422,376,439,0,0,0,0,449380,0,3616,4295050,2418,0,8,0,0,0,32804244,31807700,31689432,2116,156744
