StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_17-42-10.344395596,1526398930.346554819,2018-05-15_17-42-10.350837768,1526398930.352748175,0.16,0.40,0.21,2263314,1195470346,4,0,38972,2,0,8,0,0,2746,0,3050,239652,4971,0,38,0,1756,0,32804244,29629400,30028660,2116,709708
2018-05-15_17-42-40.400409055,1526398960.402459932,2018-05-15_17-42-40.406857799,1526398960.408792622,0.36,0.42,0.23,89833176,47676007120,8567,77602,1395731,37849,87150,24283,33542,24137,4580,0,5035,258461,4971,0,1201,0,3583,0,32804244,29627832,30026876,2116,709788
2018-05-15_17-43-10.457236032,1526398990.459338167,2018-05-15_17-43-10.463809024,1526398990.465773210,0.89,0.54,0.27,174948638,92948035254,16935,101760,1445697,1334211,137147,95534,33542,24137,6556,0,7023,277163,4977,0,2433,0,5553,0,32804244,29627172,30026752,2116,709948
2018-05-15_17-43-40.514968878,1526399020.517072721,2018-05-15_17-43-40.521457187,1526399020.523357322,1.10,0.63,0.31,262966820,139955006830,45323,283559,2795253,1334212,226125,167211,35870,55783,8482,0,9043,295827,4977,0,3665,0,7473,0,32804244,29627928,30027140,2116,709948
2018-05-15_17-44-10.572391033,1526399050.574424603,2018-05-15_17-44-10.578822674,1526399050.580769360,1.11,0.68,0.34,348738154,185973755244,87549,295993,2847501,1466774,243244,167211,66747,1377221,10369,0,11032,314598,4977,0,4768,0,9354,0,32804244,29627272,30026500,2116,709948
2018-05-15_17-44-40.630924617,1526399080.632956184,2018-05-15_17-44-40.637304623,1526399080.639244020,1.45,0.81,0.39,430369904,229745046464,125668,327050,2903719,1466774,246568,167211,1336726,1407060,12088,0,12954,333635,4978,0,5943,0,11065,0,32804244,29626804,30026300,2116,709948
2018-05-15_17-45-10.689152510,1526399110.691306154,2018-05-15_17-45-10.696009067,1526399110.698057172,1.40,0.86,0.42,511594806,273260675572,125757,366980,2965530,1466774,250444,297425,1365120,2657079,13876,0,14954,352522,4982,0,7061,0,12847,0,32804244,29627248,30026756,2116,709952
2018-05-15_17-45-40.749290036,1526399140.751377283,2018-05-15_17-45-40.755928193,1526399140.757921155,1.44,0.92,0.45,582241340,310894876856,141206,384787,2984509,1468778,256479,453292,2450354,2657079,15275,0,17030,371813,4984,0,8069,0,14237,0,32804244,29614156,30013388,2116,709964
2018-05-15_17-46-10.807421654,1526399170.809472031,2018-05-15_17-46-10.814050900,1526399170.816026220,1.28,0.93,0.47,612406914,326454198858,159398,837185,3008268,1468778,292429,453292,2517508,2657079,15909,0,19339,392011,4985,0,8482,0,14866,0,32804244,29614056,30013848,2116,709964
2018-05-15_17-46-40.866542474,1526399200.868573960,2018-05-15_17-46-40.872917900,1526399200.874878236,1.29,0.97,0.50,644331528,342606554454,631428,846456,3014728,1508904,334110,453292,2517508,2657079,16564,0,21737,412209,4986,0,8898,0,15514,0,32804244,29615796,30015260,2116,709964
