StartTime,StartEpoch,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_21-01-12.536508425,1526929272.538473348,2018-05-21_21-01-12.542780220,1526929272.544701460,0.66,1.04,1.13,15564226834,10210989256694,54075458,40970794,39236281,40790889,30311733,46042004,36911151,33463405,408692,7,799727,70345186,6844,0,238446,0,400043,0,61797856,32804244,28824076,29306984,2116,806296
2018-05-21_21-01-42.597637778,1526929302.599645721,2018-05-21_21-01-42.604066330,1526929302.606025917,0.94,1.07,1.14,15650309080,10256208428132,54410685,40970795,39268356,40790889,31566772,46042004,36915782,33493466,410615,7,801724,70363778,6847,0,239675,0,401962,0,61942631,32804244,28823748,29306636,2116,806300
2018-05-21_21-02-12.657805585,1526929332.659847728,2018-05-21_21-02-12.664221106,1526929332.666178629,1.29,1.16,1.17,15736870238,10300852547874,54559147,40970795,39303253,40850596,31575460,46071119,36985296,34825105,412481,7,803719,70382492,6854,0,240765,0,403824,0,62097533,32804244,28824332,29307424,2116,806300
2018-05-21_21-02-42.717402414,1526929362.719568985,2018-05-21_21-02-42.724395086,1526929362.726562014,1.31,1.18,1.17,15822695588,10345208547140,54641669,41159946,39303253,40850596,31581137,47411587,37011147,34825105,414338,7,805718,70401232,6860,0,241899,0,405678,0,62243499,32804244,28822156,29305316,2116,806300
2018-05-21_21-03-12.778328008,1526929392.780395040,2018-05-21_21-03-12.784740172,1526929392.786676907,1.35,1.19,1.18,15908085674,10388831250700,54706520,41164790,39303253,40972288,31606390,47411587,38324872,34868250,416233,7,807701,70419998,6863,0,243014,0,407570,0,62389040,32804244,28823748,29306080,2116,806300
2018-05-21_21-03-42.839065232,1526929422.841097825,2018-05-21_21-03-42.845583573,1526929422.847529521,1.36,1.21,1.18,15996881840,10434595347388,54762663,41322503,39303253,41020589,32970973,47516163,38336959,34894533,418106,7,809716,70438614,6866,0,244300,0,409438,0,62531664,32804244,28824832,29307460,2116,806300
2018-05-21_21-04-12.902266840,1526929452.904329986,2018-05-21_21-04-12.908839256,1526929452.910805903,1.16,1.17,1.17,16064345014,10480001407670,54865713,41385823,39385103,41020589,32974796,47612048,38336959,35929155,419849,7,811724,70457495,6867,0,245446,0,411175,0,62698899,32804244,28812236,29294824,2116,806308
2018-05-21_21-04-42.962067816,1526929482.964204489,2018-05-21_21-04-42.968682348,1526929482.970755728,1.16,1.17,1.17,16152054332,10523319299486,55020380,41389591,39388145,41020589,32983634,49003706,38359631,35929155,421639,7,813706,70476389,6869,0,246642,0,412960,0,62853654,32804244,28811288,29293920,2116,806308
2018-05-21_21-05-13.024911295,1526929513.026972254,2018-05-21_21-05-13.031416490,1526929513.033398069,1.31,1.20,1.18,16213783170,10555028782664,55020380,41513479,39388145,41020589,33003690,49156008,39275833,35929155,422841,7,816065,70495806,6870,0,247529,0,414154,0,63025862,32804244,28812992,29295584,2116,806312
2018-05-21_21-05-43.086461431,1526929543.088493813,2018-05-21_21-05-43.092991664,1526929543.094931752,1.41,1.23,1.19,16261577736,10584279022048,55110806,41566229,39388145,41020589,33686059,49239895,39275833,35973694,423988,7,818449,70515327,6872,0,248313,0,415294,0,63186321,32804244,28812492,29295108,2116,806316
2018-05-21_21-06-13.148231248,1526929573.150255900,2018-05-21_21-06-13.154651596,1526929573.156595654,1.45,1.26,1.20,16318547470,10613293666616,55152433,41626190,39388145,41020589,33692047,49253727,39324760,36859261,425093,7,820783,70534965,6878,0,249064,0,416395,0,63353018,32804244,28812312,29294584,2116,806316
2018-05-21_21-06-43.209383298,1526929603.211642239,2018-05-21_21-06-43.216248646,1526929603.218185590,1.64,1.33,1.23,16375707348,10642718544702,55152433,41626190,39567764,41020589,33692047,50142782,39337418,36859261,425995,7,823114,70554765,6879,0,249957,0,417289,0,63531820,32804244,28811152,29294016,2116,806316
2018-05-21_21-07-13.272705163,1526929633.274770639,2018-05-21_21-07-13.279205872,1526929633.281177621,1.47,1.31,1.23,16433579994,10671986737472,55182351,41626190,39724365,41020589,33707777,50223288,40225371,36859261,427133,7,825483,70574300,6880,0,250709,0,418421,0,63689801,32804244,28825316,29307956,2116,806312
2018-05-21_21-07-43.334093574,1526929663.336152260,2018-05-21_21-07-43.340511173,1526929663.342435210,1.53,1.35,1.24,16490375136,10701590930766,55319888,41626190,39739669,41020589,34568009,50318187,40230662,36870903,428295,7,827865,70593781,6882,0,251494,0,419579,0,63846470,32804244,28825632,29308004,2116,806316
2018-05-21_21-08-13.393207390,1526929693.395219037,2018-05-21_21-08-13.399620886,1526929693.401578478,1.37,1.33,1.24,16545491046,10730405583624,55362246,41633197,39874084,41039938,34571911,50331678,40246527,37687097,429514,7,830231,70613244,6884,0,252196,0,420794,0,64006998,32804244,28824932,29308060,2116,806316
2018-05-21_21-08-43.452978763,1526929723.455191021,2018-05-21_21-08-43.459893885,1526929723.461880097,1.23,1.30,1.23,16599484908,10758865223914,55362246,41670987,39874084,41063923,34581900,51184844,40256937,37687097,430554,7,832558,70633007,6885,0,252950,0,421830,0,64166910,32804244,28824588,29307036,2116,806316
2018-05-21_21-09-13.513908172,1526929753.515965158,2018-05-21_21-09-13.520327404,1526929753.522261816,1.21,1.28,1.23,16657508530,10788189682482,55486386,41682915,39874084,41063923,34591275,51184844,41147232,37798507,431738,7,834930,70652485,6886,0,253706,0,423010,0,64321618,32804244,28825612,29307920,2116,806316
2018-05-21_21-09-43.574544646,1526929783.576593099,2018-05-21_21-09-43.581002331,1526929783.582926887,1.07,1.24,1.21,16714487352,10817228401274,55486485,41697691,39970775,41063923,35465713,51335781,41147232,37807021,432952,7,837323,70671928,6890,0,254446,0,424218,0,64480643,32804244,28822992,29305896,2116,806316
2018-05-21_21-10-13.636045173,1526929813.638124306,2018-05-21_21-10-13.642534168,1526929813.644499540,0.91,1.19,1.20,16769809022,10846109549798,55517720,41718727,39974068,41063923,35470856,51370271,41147232,38671566,433961,7,839621,70691709,6895,0,255214,0,425220,0,64642423,32804244,28824700,29307560,2116,806328
2018-05-21_21-10-43.697811777,1526929843.699856296,2018-05-21_21-10-43.704235021,1526929843.706184439,1.15,1.22,1.21,16824545604,10874727194866,55517720,41718727,40004217,41063923,35470856,52224594,41154248,38671566,434896,7,841898,70711611,6896,0,255995,0,426150,0,64810119,32804244,28823348,29305964,2116,806332
2018-05-21_21-11-13.756990986,1526929873.759030473,2018-05-21_21-11-13.763361396,1526929873.765309092,1.22,1.23,1.21,16880631364,10903809571830,55583085,41804688,40004217,41063923,35477946,52298145,42004197,38671566,436053,7,844264,70731139,6897,0,256725,0,427301,0,64969219,32804244,28824112,29307292,2116,806332
2018-05-21_21-11-43.818798056,1526929903.820861075,2018-05-21_21-11-43.825303659,1526929903.827258158,1.26,1.24,1.22,16926755088,10933339949778,55778917,41804688,40004217,41072435,36147580,52334259,42035368,38677280,437210,7,846646,70750672,6901,0,257472,0,428453,0,65130131,32804244,28825428,29308196,2116,806332
2018-05-21_21-12-13.878748439,1526929933.880826310,2018-05-21_21-12-13.885168938,1526929933.887171893,1.60,1.33,1.25,16979816406,10960274321598,55856144,41816422,40004217,41072435,36148127,52337322,42123510,39513570,438278,7,849051,70770343,6902,0,258164,0,429515,0,65282297,32804244,28811968,29294328,2116,806340
2018-05-21_21-12-43.939094656,1526929963.941122690,2018-05-21_21-12-43.945475288,1526929963.947403311,1.40,1.31,1.24,17017169564,10979250198150,55982115,41816422,40004217,41072435,36151424,52922615,42138642,39513570,439038,7,851628,70790368,6904,0,258669,0,430270,0,65403347,32804244,28812628,29294972,2116,806340
2018-05-21_21-13-13.997731598,1526929993.999963672,2018-05-21_21-13-14.004473373,1526929994.006437461,1.38,1.31,1.25,17054408028,10998138514142,56011734,41816422,40065919,41072435,36159043,52922615,42714478,39543205,439814,7,854211,70810408,6906,0,259145,0,431040,0,65520625,32804244,28809844,29292512,2116,806344
