StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_14-05-30.748608796,1525867530.750992751,23291813764,2018-05-09_14-06-00.794242825,1525867560.796530312,0.33,0.32,0.43,31236018758,29035232367912,,,,7514,6,485697,4299396,1031,0,10386,241,0,0,7707424,7215652,7128796,948,150904
2018-05-09_14-06-00.830408624,1525867560.832520310,23517017087,2018-05-09_14-06-30.874738581,1525867590.876987045,0.41,0.34,0.43,31318752182,29126687049558,,,,7537,6,487360,4308360,1031,0,10405,241,0,0,7707424,7214992,7127828,948,150908
2018-05-09_14-06-30.909449502,1525867590.911527253,21496324890,2018-05-09_14-07-00.953742001,1525867620.955956721,0.37,0.34,0.43,31394460242,29210282268354,,,,7555,6,488890,4317503,1031,0,10426,242,0,0,7707424,7228280,7141128,948,150904
2018-05-09_14-07-00.989443450,1525867620.991556842,23418975414,2018-05-09_14-07-31.044055887,1525867651.046609013,0.42,0.35,0.43,31476894672,29301357086782,,,,7571,6,490571,4326446,1031,0,10444,242,0,0,7707424,7228592,7141468,948,150904
2018-05-09_14-07-31.082773656,1525867651.085301973,23166260243,2018-05-09_14-08-01.129935381,1525867681.132089198,0.45,0.37,0.43,31558422944,29391448044372,,,,7586,6,492245,4335445,1031,0,10462,242,0,0,7707424,7228856,7142024,948,150904
2018-05-09_14-08-01.165335086,1525867681.167740317,23420928039,2018-05-09_14-08-31.210655907,1525867711.212965283,0.69,0.43,0.45,31640866820,29482529283836,,,,7603,6,493945,4344381,1031,0,10483,243,0,0,7707424,7229084,7142224,948,150904
2018-05-09_14-08-31.245974779,1525867711.248092192,21435943837,2018-05-09_14-09-01.288972567,1525867741.291038285,0.54,0.42,0.45,31716391404,29565889659036,,,,7615,6,495422,4353513,1031,0,10498,243,0,0,7707424,7229512,7142680,948,150904
2018-05-09_14-09-01.322943215,1525867741.325041694,23543005593,2018-05-09_14-09-31.368818803,1525867771.371078452,0.50,0.43,0.45,31799240644,29657447806792,,,,7632,6,497096,4362479,1031,0,10517,244,0,0,7707424,7229840,7142984,948,150904
2018-05-09_14-09-31.403566771,1525867771.405714049,23383826028,2018-05-09_14-10-01.447867079,1525867801.450232192,0.49,0.43,0.45,31881536598,29748383194296,,,,7650,6,498746,4371444,1031,0,10541,244,0,0,7707424,7229044,7142212,948,150904
2018-05-09_14-10-01.483172943,1525867801.485360584,23400503191,2018-05-09_14-10-31.552283452,1525867831.556497429,0.79,0.52,0.48,31963908400,29839387278010,,,,7671,6,500428,4380436,1031,0,10562,244,0,0,7707424,7229068,7142208,948,150908
2018-05-09_14-10-31.595655181,1525867831.597810999,21425642712,2018-05-09_14-11-01.643016476,1525867861.645140278,0.66,0.52,0.48,32039395692,29922708672898,,,,7695,6,501881,4389612,1031,0,10590,244,0,0,7707424,7228780,7141720,948,150912
2018-05-09_14-11-01.679006480,1525867861.681096834,23406140579,2018-05-09_14-11-31.722063688,1525867891.724142601,0.60,0.52,0.48,32121760098,30013730278058,,,,7711,6,503585,4398527,1031,0,10612,244,0,0,7707424,7229156,7142308,948,150912
2018-05-09_14-11-31.756411322,1525867891.758512933,23508503104,2018-05-09_14-12-01.800059107,1525867921.802198648,0.57,0.52,0.49,32204472238,30105150690886,,,,7731,6,505208,4407508,1031,0,10635,245,0,0,7707424,7216592,7129580,948,150924
