StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_19-23-43.040879127,1525973023.043449012,36.568651,2018-05-10_19-24-13.292059677,1525973053.294625804,0.57,0.34,0.33,76399068,175195363440,,,,470309,106,14412,32570770,1764,0,57,842,0,0,7707080,7160240,7112784,2108,216416
2018-05-10_19-24-13.335255190,1525973053.337819875,36.568654,2018-05-10_19-24-43.582654856,1525973083.585416772,0.74,0.40,0.35,76400212,175195364772,,,,473332,106,14420,32579860,1764,0,58,843,0,0,7707080,7160732,7113080,2108,216416
2018-05-10_19-24-43.655741443,1525973083.659680280,36.568577,2018-05-10_19-25-13.925627084,1525973113.929072912,0.77,0.44,0.37,76401356,175195366104,,,,476354,106,14429,32588951,1764,0,58,843,0,0,7707080,7161480,7113752,2108,216416
2018-05-10_19-25-13.973974372,1525973113.976827907,36.568653,2018-05-10_19-25-44.223250773,1525973144.225811128,0.81,0.48,0.38,76402500,175195367436,,,,479376,106,14437,32598034,1764,0,58,843,0,0,7707080,7161404,7113280,2108,216416
2018-05-10_19-25-44.271904900,1525973144.274618187,36.568645,2018-05-10_19-26-14.520620822,1525973174.523161216,0.76,0.50,0.39,76403644,175195368768,,,,482398,106,14443,32607118,1764,0,58,843,0,0,7707080,7160816,7113360,2108,216416
2018-05-10_19-26-14.562291565,1525973174.565125536,36.568650,2018-05-10_19-26-44.810089207,1525973204.812647589,0.67,0.50,0.40,76404788,175195370100,,,,485420,106,14448,32616202,1764,0,58,843,0,0,7707080,7161528,7114076,2108,216416
2018-05-10_19-26-44.851404884,1525973204.853995750,36.539149,2018-05-10_19-27-15.117817375,1525973235.120409077,0.80,0.55,0.42,76405932,175195371432,,,,488445,106,14463,32625278,1764,0,58,844,0,0,7707080,7148632,7101128,2108,216424
2018-05-10_19-27-15.159794488,1525973235.162509656,36.568642,2018-05-10_19-27-45.407924111,1525973265.410736883,0.76,0.57,0.43,76407076,175195372764,,,,491471,106,14476,32634352,1764,0,59,844,0,0,7707080,7146664,7099216,2108,216428
2018-05-10_19-27-45.468522304,1525973265.471055265,36.568647,2018-05-10_19-28-15.716213157,1525973295.718784906,0.85,0.61,0.44,76408220,175195374096,,,,494496,106,14487,32643432,1764,0,59,844,0,0,7707080,7147556,7100304,2108,216428
2018-05-10_19-28-15.776182408,1525973295.778744913,36.529323,2018-05-10_19-28-46.024920973,1525973326.027442914,0.91,0.64,0.46,76409364,175195375428,,,,497519,106,14496,32652508,1764,0,59,844,0,0,7707080,7147904,7100460,2108,216432
2018-05-10_19-28-46.066030256,1525973326.068505464,36.562096,2018-05-10_19-29-16.314437930,1525973356.317141817,0.95,0.68,0.48,76410508,175195376760,,,,500538,106,14502,32661591,1764,0,59,845,0,0,7707080,7149020,7101296,2108,216432
2018-05-10_19-29-16.356226258,1525973356.358837020,36.562091,2018-05-10_19-29-46.606642680,1525973386.609275578,0.97,0.71,0.50,76411652,175195378092,,,,503564,106,14513,32670665,1764,0,59,845,0,0,7707080,7148236,7100796,2108,216436
2018-05-10_19-29-46.648573684,1525973386.651178073,36.548809,2018-05-10_19-30-16.907394661,1525973416.910212393,0.98,0.74,0.51,76412796,175195379424,,,,506593,106,14541,32679720,1764,0,59,846,0,0,7707080,7161224,7113716,2108,216436
