StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-11_20-30-39.893827093,1526063439.896161830,14359585277,2018-05-11_20-31-09.937629523,1526063469.939864870,0.13,0.07,0.11,1459413234,987739774442,0,0,0,883,0,23229,602581,1904,0,168,1990,0,0,7707080,7332664,7240864,2108,145084
2018-05-11_20-31-09.974032509,1526063469.976226287,14362930114,2018-05-11_20-31-40.017487104,1526063500.019708853,0.26,0.11,0.12,1549414200,1041659987084,0,0,0,897,0,24381,612999,1904,0,169,2043,0,0,7707080,7331972,7240172,2108,145084
2018-05-11_20-31-40.054774023,1526063500.056962743,13233792804,2018-05-11_20-32-10.098836249,1526063530.101083654,0.15,0.10,0.12,1635490926,1091341959272,0,0,0,914,0,25451,623512,1904,0,171,2121,0,0,7707080,7331084,7239480,2108,145084
2018-05-11_20-32-10.134793279,1526063530.136997611,13228706083,2018-05-11_20-32-40.179516937,1526063560.181749450,0.17,0.11,0.12,1721624232,1141003921374,0,0,0,927,0,26505,634036,1904,0,177,2205,0,0,7707080,7331804,7240004,2108,145084
2018-05-11_20-32-40.215406500,1526063560.217575001,14329431929,2018-05-11_20-33-10.258530384,1526063590.260746922,0.24,0.13,0.13,1811949438,1194798352862,0,0,0,943,0,27647,644460,1904,0,182,2295,0,0,7707080,7332624,7240328,2108,145084
2018-05-11_20-33-10.294456119,1526063590.296611381,14464285817,2018-05-11_20-33-40.338617634,1526063620.340834352,0.26,0.15,0.14,1892783844,1249099235394,0,0,0,957,0,28770,654921,1904,0,187,2389,0,0,7707080,7332396,7240832,2108,145084
2018-05-11_20-33-40.376820547,1526063620.379040946,14320716044,2018-05-11_20-34-10.421609575,1526063650.423797118,0.31,0.17,0.14,2001850830,1302860600168,0,0,0,972,0,29943,665254,1904,0,188,2540,0,0,7707080,7332420,7240420,2108,145084
2018-05-11_20-34-10.457720871,1526063650.459871091,13030631747,2018-05-11_20-34-40.500454522,1526063680.502676723,0.25,0.17,0.14,2099472756,1351778842680,0,0,0,986,0,30976,675764,1904,0,188,2610,0,0,7707080,7332604,7241052,2108,145084
2018-05-11_20-34-40.536602440,1526063680.538738036,14191069964,2018-05-11_20-35-10.579475043,1526063710.581710425,0.21,0.17,0.14,2210795562,1405052657186,0,0,0,1001,0,32110,686138,1904,0,188,2800,0,0,7707080,7332344,7240716,2108,145084
2018-05-11_20-35-10.617390246,1526063710.619577552,14299148742,2018-05-11_20-35-40.660475686,1526063740.662699231,0.33,0.20,0.15,2310988968,1458733096090,0,0,0,1013,0,33237,696548,1904,0,188,3000,0,0,7707080,7332272,7240708,2108,145084
2018-05-11_20-35-40.697672494,1526063740.699870359,14569236365,2018-05-11_20-36-10.742501700,1526063770.744754808,0.47,0.24,0.17,2421380934,1513430800036,0,0,0,1037,0,35103,706269,1904,0,191,3230,0,0,7707080,7330744,7239136,2108,145088
2018-05-11_20-36-10.780030209,1526063770.782201419,14496518259,2018-05-11_20-36-40.823544654,1526063800.825778547,0.50,0.27,0.18,2532369960,1567852370730,0,0,0,1053,0,36280,716418,1904,0,202,3297,0,0,7707080,7332584,7240976,2108,145088
2018-05-11_20-36-40.860419253,1526063800.862640390,12578024831,2018-05-11_20-37-10.904579167,1526063830.906811550,0.54,0.31,0.19,2600620986,1615072202592,0,0,0,1064,0,37299,727052,1905,0,206,3334,0,0,7707080,7332324,7240728,2108,145112
2018-05-11_20-37-10.940672779,1526063830.942859728,5087584037,2018-05-11_20-37-40.985665522,1526063860.987857581,0.33,0.28,0.19,2633194512,1634170762858,0,0,0,1073,0,37716,738428,1905,0,210,3349,0,0,7707080,7331336,7239592,2108,145112
2018-05-11_20-37-41.022922588,1526063861.025132614,5056425784,2018-05-11_20-38-11.067648808,1526063891.069872625,0.26,0.27,0.19,2666003178,1653153974642,0,0,0,1080,0,38141,749728,1905,0,213,3369,0,0,7707080,7331464,7239916,2108,145112
2018-05-11_20-38-11.103641841,1526063891.105831058,5029358738,2018-05-11_20-38-41.147580398,1526063921.149804315,0.35,0.29,0.20,2698746384,1672034950050,0,0,0,1089,0,38665,761004,1905,0,216,3402,0,0,7707080,7331764,7240168,2108,145112
2018-05-11_20-38-41.184859799,1526063921.187028081,5061454226,2018-05-11_20-39-11.229617834,1526063951.231838333,0.21,0.26,0.19,2731392870,1691036523540,0,0,0,1096,0,39104,772373,1905,0,220,3432,0,0,7707080,7332724,7240708,2108,145112
2018-05-11_20-39-11.266561224,1526063951.268745105,5068597358,2018-05-11_20-39-41.312554027,1526063981.314789126,0.13,0.24,0.19,2763990276,1710065174216,0,0,0,1105,0,39624,783648,1905,0,222,3471,0,0,7707080,7331900,7240160,2108,145116
2018-05-11_20-39-41.348474040,1526063981.350630876,5097611443,2018-05-11_20-40-11.392008981,1526064011.394276929,0.22,0.25,0.19,2796417282,1729200015844,0,0,0,1113,0,40027,795019,1905,0,225,3526,0,0,7707080,7331996,7240456,2108,145124
2018-05-11_20-40-11.429181759,1526064011.431326586,5008435734,2018-05-11_20-40-41.477623272,1526064041.479842669,0.19,0.24,0.19,2828858508,1748003703566,0,0,0,1123,0,40486,806367,1905,0,226,3608,0,0,7707080,7331476,7239936,2108,145128
2018-05-11_20-40-41.514571209,1526064041.516771676,5036634381,2018-05-11_20-41-11.560527668,1526064071.562744725,0.12,0.22,0.18,2861761194,1766912658952,0,0,0,1130,0,40930,817677,1905,0,226,3643,0,0,7707080,7332212,7240328,2108,145128
2018-05-11_20-41-11.598310700,1526064071.600496150,5024356389,2018-05-11_20-41-41.643453445,1526064101.645639386,0.14,0.21,0.18,2896240680,1785776051596,0,0,0,1137,0,41388,828973,1905,0,226,3690,0,0,7707080,7332560,7240824,2108,145128
2018-05-11_20-41-41.679701458,1526064101.681868099,5119312550,2018-05-11_20-42-11.723513309,1526064131.725688017,0.08,0.19,0.18,2920522506,1804992762748,0,0,0,1144,0,41769,840385,1905,0,227,3779,0,0,7707080,7331468,7239732,2108,145128
2018-05-11_20-42-11.760607071,1526064131.762764885,5000875279,2018-05-11_20-42-41.804479470,1526064161.806687068,0.05,0.17,0.17,2956770972,1823766625022,0,0,0,1151,0,42219,851734,1905,0,227,3877,0,0,7707080,7331592,7239856,2108,145128
2018-05-11_20-42-41.842042412,1526064161.844225823,5027533034,2018-05-11_20-43-11.885509095,1526064191.887778298,0.03,0.16,0.17,2992389018,1842640263828,0,0,0,1159,0,42755,862998,1905,0,227,3940,0,0,7707080,7332100,7240140,2108,145128
2018-05-11_20-43-11.921677855,1526064191.923854487,5018961356,2018-05-11_20-43-41.966518413,1526064221.968714600,0.02,0.14,0.16,3027971724,1861480565144,0,0,0,1167,0,43116,874391,1905,0,227,3993,0,0,7707080,7331896,7240356,2108,145128
2018-05-11_20-43-42.003819691,1526064222.005991911,5085997151,2018-05-11_20-44-12.046611006,1526064252.048834150,0.07,0.14,0.16,3064703850,1880572138148,0,0,0,1175,0,43529,885752,1905,0,227,4055,0,0,7707080,7331792,7240056,2108,145128
2018-05-11_20-44-12.083838613,1526064252.085999027,5085053180,2018-05-11_20-44-42.128009241,1526064282.130263452,0.18,0.16,0.17,3091453056,1899660824718,0,0,0,1186,0,43971,897130,1905,0,228,4119,0,0,7707080,7331764,7240428,2108,145136
2018-05-11_20-44-42.164313360,1526064282.166480272,4935671950,2018-05-11_20-45-12.207466713,1526064312.209667959,0.25,0.18,0.17,3126120282,1918190044878,0,0,0,1191,0,44443,908487,1905,0,231,4175,0,0,7707080,7331692,7240012,2108,145136
2018-05-11_20-45-12.245991457,1526064312.248206874,4977821217,2018-05-11_20-45-42.290620044,1526064342.292816911,0.23,0.18,0.17,3158832648,1936876989974,0,0,0,1199,0,44893,919849,1905,0,234,4232,0,0,7707080,7332000,7240472,2108,145136
2018-05-11_20-45-42.326863457,1526064342.329031810,5052715704,2018-05-11_20-46-12.371654718,1526064372.373847488,0.14,0.16,0.16,3191581014,1955845891868,0,0,0,1205,0,45326,931216,1905,0,237,4292,0,0,7707080,7332084,7240356,2108,145136
2018-05-11_20-46-12.407539959,1526064372.409732467,5038057309,2018-05-11_20-46-42.454397753,1526064402.456674235,0.09,0.15,0.16,3224198820,1974760641638,0,0,0,1213,0,45784,942576,1905,0,237,4356,0,0,7707080,7332188,7240860,2108,145136
2018-05-11_20-46-42.490613496,1526064402.492793508,4862892840,2018-05-11_20-47-12.535460740,1526064432.537718618,0.05,0.13,0.15,3256305966,1993017530296,0,0,0,1220,0,46235,953957,1905,0,237,4416,0,0,7707080,7332368,7241044,2108,145136
