StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_17-42-08.959542234,1526398928.962025457,12344104681,2018-05-15_17-42-39.020311109,1526398959.022461899,0.13,0.15,0.06,82298902,46340745948,0,0,0,531,0,2676,70048,1922,0,97,0,0,0,7707080,7335648,7243348,2108,144492
2018-05-15_17-42-39.056444191,1526398959.058641781,12038599931,2018-05-15_17-43-09.100216661,1526398989.102423453,0.27,0.18,0.08,162387868,91534138292,0,0,0,547,0,4386,79980,1922,0,219,0,0,0,7707080,7335940,7243620,2108,144492
2018-05-15_17-43-09.138304517,1526398989.140491721,12499086728,2018-05-15_17-43-39.183297435,1526399019.185823043,0.36,0.21,0.09,245202934,138458510268,0,0,0,562,0,5914,90069,1922,0,333,0,0,0,7707080,7336060,7244124,2108,144492
2018-05-15_17-43-39.222755454,1526399019.225147507,12224076170,2018-05-15_17-44-09.267196682,1526399049.269398118,0.30,0.21,0.09,325814860,184349652040,0,0,0,575,0,7363,100225,1922,0,439,0,0,0,7707080,7335520,7243208,2108,144492
2018-05-15_17-44-09.304685224,1526399049.306861848,11535170218,2018-05-15_17-44-39.349271550,1526399079.351518068,0.31,0.22,0.10,401933806,227654732206,0,0,0,595,0,8645,110561,1922,0,511,0,0,0,7707080,7334376,7242408,2108,144496
2018-05-15_17-44-39.385043647,1526399079.387203249,11552281420,2018-05-15_17-45-09.432246138,1526399109.434805114,0.32,0.23,0.11,478243072,271024151272,0,0,0,612,0,10010,120814,1922,0,591,1,0,0,7707080,7335796,7243624,2108,144496
2018-05-15_17-45-09.471908096,1526399109.474256486,10103371883,2018-05-15_17-45-39.523180162,1526399139.525440741,0.40,0.26,0.12,545355178,308959073786,0,0,0,627,0,11053,131433,1922,0,647,1,0,0,7707080,7335316,7243092,2108,144496
2018-05-15_17-45-39.560654550,1526399139.562842448,4127411431,2018-05-15_17-46-09.607107318,1526399169.609390050,0.30,0.25,0.12,573672424,324454429428,0,0,0,634,0,11503,142815,1922,0,660,1,0,0,7707080,7335880,7243268,2108,144496
2018-05-15_17-46-09.643373398,1526399169.645522078,4286387165,2018-05-15_17-46-39.693201900,1526399199.695626941,0.18,0.22,0.12,603653290,340546538618,0,0,0,643,0,11950,154185,1922,0,672,2,0,0,7707080,7336040,7243864,2108,144496
2018-05-15_17-46-39.732672915,1526399199.735037350,4289057097,2018-05-15_17-47-09.777888430,1526399229.780387991,0.18,0.22,0.12,634381276,356646605548,0,0,0,650,0,12407,165550,1922,0,684,2,0,0,7707080,7335704,7243528,2108,144496
2018-05-15_17-47-09.817133009,1526399229.819494537,4315510573,2018-05-15_17-47-39.863761880,1526399259.866238539,0.33,0.25,0.14,664360762,372847217460,0,0,0,658,0,12884,176887,1922,0,696,2,0,0,7707080,7336308,7243936,2108,144496
2018-05-15_17-47-39.902211438,1526399259.904597031,3858414111,2018-05-15_17-48-09.947132614,1526399289.949769716,0.26,0.24,0.14,691044448,387331135058,0,0,0,667,0,13274,188339,1922,0,705,3,0,0,7707080,7336236,7243584,2108,144496
2018-05-15_17-48-09.986575980,1526399289.988929512,4394988409,2018-05-15_17-48-40.030899745,1526399320.033355197,0.23,0.23,0.14,722307454,403829375290,0,0,0,680,0,13764,199599,1922,0,722,3,0,0,7707080,7334888,7242476,2108,144496
2018-05-15_17-48-40.070045830,1526399320.072428497,4395046684,2018-05-15_17-49-10.120059860,1526399350.122485170,0.20,0.22,0.14,753670060,420328219490,0,0,0,686,0,14211,210957,1922,0,734,3,0,0,7707080,7335664,7243488,2108,144496
2018-05-15_17-49-10.159175554,1526399350.161628380,4184259568,2018-05-15_17-49-40.216945199,1526399380.219424808,0.12,0.20,0.13,782504206,436036050838,0,0,0,694,0,14653,222321,1922,0,746,3,0,0,7707080,7335796,7243816,2108,144496
2018-05-15_17-49-40.257115198,1526399380.259428220,4154022845,2018-05-15_17-50-10.311832685,1526399410.314041393,0.13,0.20,0.14,811366792,451631090106,0,0,0,703,0,15097,233692,1922,0,758,3,0,0,7707080,7335584,7243424,2108,144504
2018-05-15_17-50-10.348866373,1526399410.351124023,4051856204,2018-05-15_17-50-40.395903439,1526399440.398385958,0.21,0.21,0.14,839741278,466843075682,0,0,0,711,0,15561,245089,1922,0,769,4,0,0,7707080,7336160,7243792,2108,144504
2018-05-15_17-50-40.436452516,1526399440.438881559,3942129741,2018-05-15_17-51-10.483826739,1526399470.486243077,0.13,0.19,0.14,867267004,481642792732,0,0,0,719,0,15995,256513,1922,0,779,4,0,0,7707080,7336032,7243716,2108,144508
2018-05-15_17-51-10.524370704,1526399470.526718956,3837175395,2018-05-15_17-51-40.569801299,1526399500.572133590,0.21,0.20,0.14,893938030,496047917372,0,0,0,728,0,16395,267967,1922,0,788,4,0,0,7707080,7336188,7243972,2108,144508
2018-05-15_17-51-40.608657100,1526399500.610968685,4311078918,2018-05-15_17-52-10.654315849,1526399530.656589285,0.13,0.18,0.14,925622296,512232523132,0,0,0,735,0,16920,279287,1922,0,800,4,0,0,7707080,7336308,7243796,2108,144508
2018-05-15_17-52-10.693280427,1526399530.695494151,4247005523,2018-05-15_17-52-40.739157742,1526399560.741688461,0.08,0.17,0.13,956643562,528176789622,0,0,0,743,0,17399,290652,1922,0,810,4,0,0,7707080,7336092,7243924,2108,144508
2018-05-15_17-52-40.780232704,1526399560.782652499,4298062163,2018-05-15_17-53-10.824549997,1526399590.826983242,0.11,0.17,0.14,988145368,544311909242,0,0,0,751,0,17928,301960,1922,0,824,5,0,0,7707080,7335588,7243224,2108,144508
2018-05-15_17-53-10.864465044,1526399590.866872378,4320862138,2018-05-15_17-53-40.913163970,1526399620.915354162,0.17,0.18,0.14,1019356954,560532498122,0,0,0,762,0,18454,313265,1922,0,838,5,0,0,7707080,7335380,7243216,2108,144512
2018-05-15_17-53-40.950191095,1526399620.952358544,4230320725,2018-05-15_17-54-10.993698328,1526399650.995903438,0.18,0.18,0.14,1047335500,576413352508,0,0,0,770,0,18979,324577,1922,0,849,5,0,0,7707080,7335764,7243548,2108,144512
2018-05-15_17-54-11.030819440,1526399651.032962786,3954464412,2018-05-15_17-54-41.077320206,1526399681.079539174,0.11,0.16,0.14,1073590726,591259511490,0,0,0,776,0,19419,335996,1922,0,858,5,0,0,7707080,7334256,7242220,2108,144512
2018-05-15_17-54-41.113600164,1526399681.115753536,4257171906,2018-05-15_17-55-11.157761914,1526399711.159874156,0.12,0.16,0.14,1101810292,607241372074,0,0,0,784,0,19956,347285,1922,0,873,6,0,0,7707080,7334572,7242184,2108,144512
2018-05-15_17-55-11.194877028,1526399711.197060573,4025214852,2018-05-15_17-55-41.243106196,1526399741.245284572,0.08,0.15,0.13,1128662578,622354673462,0,0,0,791,0,20380,358718,1922,0,885,6,0,0,7707080,7334700,7242312,2108,144512
2018-05-15_17-55-41.278646156,1526399741.280801130,4307448451,2018-05-15_17-56-11.323971724,1526399771.326435597,0.13,0.15,0.14,1157527144,638524493362,0,0,0,800,0,20868,370056,1922,0,898,6,0,0,7707080,7334472,7242436,2108,144512
2018-05-15_17-56-11.362736825,1526399771.365012297,4464104804,2018-05-15_17-56-41.406904218,1526399801.409093150,0.14,0.15,0.14,1187156650,655280901004,0,0,0,807,0,21337,381402,1922,0,909,7,0,0,7707080,7334452,7242416,2108,144512
2018-05-15_17-56-41.444570307,1526399801.446940340,4187662821,2018-05-15_17-57-11.489676942,1526399831.492078309,0.14,0.15,0.14,1215221956,671001813936,0,0,0,814,0,21784,392812,1922,0,920,7,0,0,7707080,7334620,7242584,2108,144512
2018-05-15_17-57-11.530080935,1526399831.532519408,4005813288,2018-05-15_17-57-41.577454276,1526399861.579936880,0.14,0.15,0.14,1242160822,686039301040,0,0,0,826,0,22169,404238,1922,0,930,7,0,0,7707080,7334448,7242212,2108,144512
2018-05-15_17-57-41.614895761,1526399861.617172852,4252961292,2018-05-15_17-58-11.662952408,1526399891.665173596,0.15,0.16,0.14,1270526188,702003053948,0,0,0,832,0,22590,415620,1922,0,944,7,0,0,7707080,7334284,7242048,2108,144512
2018-05-15_17-58-11.702763112,1526399891.704948149,4398779747,2018-05-15_17-58-41.746089522,1526399921.748261067,0.24,0.17,0.14,1299809554,718513920522,0,0,0,840,0,23079,426902,1922,0,957,8,0,0,7707080,7334336,7241820,2108,144512
2018-05-15_17-58-41.783246948,1526399921.785371325,4444554007,2018-05-15_17-59-11.828950930,1526399951.831445642,0.31,0.20,0.15,1329208960,735197753290,0,0,0,847,0,23604,438178,1922,0,969,8,0,0,7707080,7334192,7241808,2108,144512
2018-05-15_17-59-11.868162029,1526399951.870540381,4414459137,2018-05-15_17-59-41.911792109,1526399981.913988931,0.25,0.20,0.15,1358291626,751768871832,0,0,0,855,0,24123,449465,1922,0,981,8,0,0,7707080,7334248,7242012,2108,144512
2018-05-15_17-59-41.948419767,1526399981.950557724,4391617580,2018-05-15_18-00-11.993660083,1526400011.996079802,0.23,0.20,0.15,1387556512,768254178648,0,0,0,865,0,24617,460788,1922,0,994,8,0,0,7707080,7334124,7242092,2108,144524
2018-05-15_18-00-12.032881018,1526400012.035262516,4267105215,2018-05-15_18-00-42.080945903,1526400042.083455154,0.20,0.19,0.15,1416109738,784271428826,0,0,0,872,0,25081,472147,1922,0,1005,9,0,0,7707080,7334768,7242540,2108,144524
