StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_21-33-50.792357143,1526412830.795380689,16181719551,2018-05-15_21-34-20.851023950,1526412860.854167619,0.42,0.53,0.72,,,,,,6760,0,331159,1918329,1835,0,63346,125,0,0,7707080,7138452,7047292,2108,146240
2018-05-15_21-34-20.897285489,1526412860.900025929,23730095253,2018-05-15_21-34-50.949622549,1526412890.952590243,0.57,0.56,0.72,,,,,,6786,0,333035,1926975,1835,0,63588,125,0,0,7707080,7139136,7047516,2108,146240
2018-05-15_21-34-50.996321815,1526412890.998941990,23641755996,2018-05-15_21-35-21.053079685,1526412921.055767754,0.63,0.57,0.72,,,,,,6817,0,334885,1935758,1835,0,63839,125,0,0,7707080,7139132,7047776,2108,146240
2018-05-15_21-35-21.114297125,1526412921.117090267,23758813644,2018-05-15_21-35-51.168964366,1526412951.171743281,0.70,0.60,0.72,,,,,,6847,0,336862,1944493,1835,0,64096,126,0,0,7707080,7138548,7047192,2108,146240
2018-05-15_21-35-51.223199499,1526412951.226320216,23832765291,2018-05-15_21-36-21.281786701,1526412981.284955045,0.66,0.59,0.72,,,,,,6874,0,338788,1953191,1835,0,64353,127,0,0,7707080,7139624,7048268,2108,146240
2018-05-15_21-36-21.332862622,1526412981.336290827,17328368994,2018-05-15_21-36-51.393154559,1526413011.395882550,0.79,0.63,0.73,,,,,,6907,0,340782,1962223,1835,0,65318,127,0,0,7707080,7139200,7047844,2108,146240
2018-05-15_21-36-51.445213442,1526413011.448209174,16823796856,2018-05-15_21-37-21.496123367,1526413041.499094719,0.68,0.62,0.72,,,,,,6947,0,342018,1972533,1835,0,65380,128,0,0,7707080,7138856,7047500,2108,146240
2018-05-15_21-37-21.544546528,1526413041.547174908,16804269368,2018-05-15_21-37-51.598387458,1526413071.601348635,0.63,0.61,0.71,,,,,,6976,0,343216,1982862,1835,0,65448,128,0,0,7707080,7126084,7035084,2108,146252
2018-05-15_21-37-51.647700456,1526413071.650362310,16829676758,2018-05-15_21-38-21.703954138,1526413101.708575339,0.38,0.55,0.69,,,,,,6997,0,344340,1993258,1835,0,65681,129,0,0,7707080,7125668,7034512,2108,146252
2018-05-15_21-38-21.755354713,1526413101.758054948,16819836635,2018-05-15_21-38-51.838397908,1526413131.841485113,0.43,0.54,0.68,,,,,,7024,0,345541,2003565,1835,0,65751,129,0,0,7707080,7125540,7034188,2108,146252
2018-05-15_21-38-51.894334502,1526413131.897073742,16828514592,2018-05-15_21-39-21.945939686,1526413161.948690891,0.38,0.52,0.67,,,,,,7046,0,346730,2013900,1835,0,65814,130,0,0,7707080,7126356,7035004,2108,146256
2018-05-15_21-39-21.994962348,1526413161.997886170,16833716000,2018-05-15_21-39-52.044491578,1526413192.047387444,0.44,0.52,0.67,,,,,,7070,0,347931,2024270,1835,0,65881,130,0,0,7707080,7126056,7034704,2108,146256
2018-05-15_21-39-52.092336321,1526413192.095048030,16782557517,2018-05-15_21-40-22.143551669,1526413222.146295815,0.27,0.47,0.65,,,,,,7106,0,349129,2034562,1835,0,65946,131,0,0,7707080,7126504,7035156,2108,146260
2018-05-15_21-40-22.191581366,1526413222.194167815,16829987346,2018-05-15_21-40-52.239225654,1526413252.241968990,0.24,0.44,0.63,,,,,,7128,0,350396,2044907,1835,0,66206,131,0,0,7707080,7138372,7047220,2108,146256
2018-05-15_21-40-52.287452175,1526413252.290084788,23804187284,2018-05-15_21-41-22.337942576,1526413282.340666471,0.22,0.42,0.62,,,,,,7159,0,351915,2054323,1835,0,66371,131,0,0,7707080,7138592,7047244,2108,146256
2018-05-15_21-41-22.392418297,1526413282.395012936,23839164456,2018-05-15_21-41-52.445694599,1526413312.448489756,0.27,0.41,0.61,,,,,,7179,0,353414,2063753,1835,0,66520,131,0,0,7707080,7138796,7047448,2108,146256
2018-05-15_21-41-52.517729922,1526413312.521323913,17809345543,2018-05-15_21-42-22.571468855,1526413342.574144115,0.64,0.48,0.62,,,,,,7207,0,355369,2072780,1835,0,67528,132,0,0,7707080,7138264,7047116,2108,146256
2018-05-15_21-42-22.618393361,1526413342.620961209,23809765702,2018-05-15_21-42-52.669474069,1526413372.672192375,0.44,0.45,0.61,,,,,,7230,0,356775,2082247,1835,0,67669,132,0,0,7707080,7138704,7047452,2108,146256
2018-05-15_21-42-52.716385690,1526413372.719067699,23747713025,2018-05-15_21-43-22.765901105,1526413402.768620068,0.46,0.46,0.60,,,,,,7253,0,358186,2091820,1835,0,67820,132,0,0,7707080,7138860,7047256,2108,146256
2018-05-15_21-43-22.812816097,1526413402.815434112,23782565152,2018-05-15_21-43-52.864738222,1526413432.867572542,0.40,0.44,0.59,,,,,,7281,0,359659,2101411,1835,0,67944,134,0,0,7707080,7139008,7047600,2108,146260
2018-05-15_21-43-52.910466219,1526413432.913251460,23828289995,2018-05-15_21-44-22.967654143,1526413462.970852196,0.52,0.47,0.60,,,,,,7308,0,361140,2110880,1835,0,68071,134,0,0,7707080,7138720,7047140,2108,146260
2018-05-15_21-44-23.020401326,1526413463.023027333,16373703444,2018-05-15_21-44-53.081577536,1526413493.084930969,0.79,0.53,0.61,,,,,,7345,0,363098,2119909,1835,0,69069,135,0,0,7707080,7139004,7047656,2108,146260
2018-05-15_21-44-53.130907500,1526413493.133548098,23787587999,2018-05-15_21-45-23.187590941,1526413523.191849960,0.73,0.55,0.61,,,,,,7371,0,364565,2129380,1835,0,69181,135,0,0,7707080,7138920,7047508,2108,146260
2018-05-15_21-45-23.237263142,1526413523.240039081,16634879636,2018-05-15_21-45-53.292630800,1526413553.296279692,0.84,0.59,0.63,,,,,,7419,0,366541,2138353,1835,0,70202,136,0,0,7707080,7125672,7034332,2108,146276
2018-05-15_21-45-53.343346350,1526413553.346095178,23565392890,2018-05-15_21-46-04.714826503,1526413564.717698099,0.86,0.60,0.63,,,,,,7435,0,367224,2141915,1835,0,70255,136,0,0,7707080,7125780,7034440,2108,146276
2018-05-15_21-46-04.760232395,1526413564.762934535,,2018-05-15_21-46-04.775068733,1526413564.777657493,0.86,0.60,0.63,,,,,,7437,0,367228,2141931,1835,0,70255,136,0,0,7707080,7125676,7034336,2108,146276
2018-05-15_21-46-04.817411045,1526413564.820012530,,2018-05-15_21-46-04.831545203,1526413564.834056675,0.86,0.60,0.63,,,,,,7439,0,367232,2141947,1835,0,70255,136,0,0,7707080,7126008,7034404,2108,146276
2018-05-15_21-46-04.873978293,1526413564.876615876,,2018-05-15_21-46-04.887802553,1526413564.890361834,0.86,0.60,0.63,,,,,,7440,0,367237,2141962,1835,0,70255,136,0,0,7707080,7125892,7034552,2108,146276
2018-05-15_21-46-04.929491187,1526413564.932057547,,2018-05-15_21-46-04.943739031,1526413564.946278270,0.86,0.60,0.63,,,,,,7442,0,367242,2141978,1835,0,70255,136,0,0,7707080,7126568,7035136,2108,146276
