StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,IRQ3,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-16_08-55-42.379326325,1526453742.382532661,16388343373,2018-05-16_08-56-12.429122583,1526453772.431904304,0.31,0.39,0.58,33880753236,35955573099512,230392838,116254835,117750770,118878227,93810,8,921952,17292471,1865,0,160019,21544,0,0,7707080,7111272,7025192,2108,158548
2018-05-16_08-56-12.477947468,1526453772.480564422,22496402416,2018-05-16_08-56-42.532230002,1526453802.535059208,0.53,0.44,0.59,33989081262,36040418511744,230692175,116254835,117750770,120269243,93838,8,923890,17301342,1865,0,160240,21545,0,0,7707080,7111164,7025280,2108,158548
2018-05-16_08-56-42.581336874,1526453802.583912157,22385518213,2018-05-16_08-57-12.633166735,1526453832.635838531,0.78,0.51,0.61,34092787788,36124844874624,230990585,116254835,118950897,120269243,93866,8,925734,17310330,1865,0,160410,21545,0,0,7707080,7110940,7025252,2108,158548
2018-05-16_08-57-12.691366209,1526453832.693923113,22067820633,2018-05-16_08-57-42.745586571,1526453862.748529547,0.81,0.54,0.62,34178933874,36208076570682,231287307,117491307,118950897,120269245,93903,8,927588,17319252,1865,0,160587,21545,0,0,7707080,7098480,7012404,2108,158556
2018-05-16_08-57-42.800747926,1526453862.803419954,15242394670,2018-05-16_08-58-12.860422938,1526453892.863439457,0.88,0.58,0.63,34278282060,36265581614074,232726764,117491309,118950899,120269247,93934,8,929588,17328281,1865,0,161553,21546,0,0,7707080,7097944,7011800,2108,158556
2018-05-16_08-58-12.915112634,1526453892.917910222,22380985067,2018-05-16_08-58-42.964431584,1526453922.967144034,0.95,0.62,0.64,34384622706,36349992434210,233026553,117491317,120289912,120269250,93974,8,931529,17337145,1865,0,161754,21546,0,0,7707080,7098528,7012436,2108,158560
2018-05-16_08-58-43.016104809,1526453923.018735789,22409056741,2018-05-16_08-59-13.071875381,1526453953.074562547,1.05,0.68,0.66,34487726412,36434509909084,233328279,117491318,120289919,121482334,94014,8,933314,17346055,1865,0,161937,21546,0,0,7707080,7097588,7011688,2108,158564
2018-05-16_08-59-13.134989446,1526453953.137819388,15260784288,2018-05-16_08-59-43.201275776,1526453983.204238096,1.16,0.74,0.68,34583960358,36492087341870,234838442,117491321,120289925,121482336,94046,8,935253,17355083,1865,0,162961,21546,0,0,7707080,7097868,7011484,2108,158564
2018-05-16_08-59-43.250527081,1526453983.253166370,22340714534,2018-05-16_09-00-13.306798137,1526454013.309655109,0.85,0.71,0.67,34692666984,36576346186624,235138293,118830444,120289931,121482338,94086,8,937241,17363813,1865,0,163199,21547,0,0,7707080,7097692,7011720,2108,158576
2018-05-16_09-00-13.360992375,1526454013.363884608,22238661858,2018-05-16_09-00-43.413055468,1526454043.416006175,0.65,0.67,0.66,34779476370,36660222736496,235435565,118830444,120289938,122756786,94113,8,938991,17372810,1865,0,163432,21547,0,0,7707080,7111128,7025224,2108,158568
2018-05-16_09-00-43.465075717,1526454043.467916442,22339718022,2018-05-16_09-01-13.514061540,1526454073.516769377,0.73,0.69,0.67,34880778156,36744475771260,235735323,118830444,121488008,122756786,94141,8,940719,17381799,1865,0,163636,21547,0,0,7707080,7110384,7024488,2108,158568
2018-05-16_09-01-13.563612051,1526454073.566163453,22447707411,2018-05-16_09-01-43.612840928,1526454103.615541677,0.65,0.67,0.66,34981602462,36829136632284,236033748,120001436,121488008,122756786,94168,8,942512,17390775,1865,0,163849,21548,0,0,7707080,7110632,7024472,2108,158568
2018-05-16_09-01-43.661366051,1526454103.663981523,15258741004,2018-05-16_09-02-13.725433972,1526454133.728490870,0.85,0.72,0.68,35081217228,36886691759948,237459083,120001436,121488008,122756786,94191,8,944527,17399801,1865,0,164805,21548,0,0,7707080,7111004,7024596,2108,158568
2018-05-16_09-02-13.776370677,1526454133.779034233,22297330695,2018-05-16_09-02-43.838540167,1526454163.841848633,0.77,0.71,0.68,35167713714,36970784884864,237756128,120001436,122760618,122756786,94222,8,946310,17408811,1865,0,165020,21549,0,0,7707080,7110844,7024948,2108,158568
2018-05-16_09-02-43.900130072,1526454163.903040210,22145132140,2018-05-16_09-03-13.953320494,1526454193.956339377,0.80,0.72,0.69,35253656520,37054306850950,238053147,120001436,122760618,124015674,94264,8,948101,17417786,1865,0,165246,21549,0,0,7707080,7109984,7023892,2108,158572
2018-05-16_09-03-14.005958070,1526454194.008566995,15388364444,2018-05-16_09-03-44.056311266,1526454224.059111549,0.88,0.75,0.69,35354260446,37112351069242,239489732,120001436,122760618,124015674,94294,8,950037,17426810,1865,0,166277,21550,0,0,7707080,7111236,7024856,2108,158572
2018-05-16_09-03-44.107006606,1526454224.109655938,22500148377,2018-05-16_09-04-14.156373062,1526454254.159248885,0.92,0.77,0.70,35462900892,37197210212106,239791522,121352857,122760618,124015674,94321,8,951995,17435584,1865,0,166499,21550,0,0,7707080,7111396,7025304,2108,158572
