StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-18_12-53-42.180141519,1526640822.182290029,12640934158,2018-05-18_12-54-12.223938503,1526640852.226135261,0.18,0.12,0.06,474811692,270542881458,0,0,0,757,0,7157,200175,1914,0,394,794,0,0,7707080,7329192,7236824,2108,144552
2018-05-18_12-54-12.258986032,1526640852.261097958,12613122174,2018-05-18_12-54-42.303648246,1526640882.305775689,0.18,0.12,0.07,561970758,317901629228,0,0,0,772,0,8158,210778,1914,0,457,920,0,0,7707080,7329532,7237164,2108,144552
2018-05-18_12-54-42.338521572,1526640882.340711448,12377837470,2018-05-18_12-55-12.384641504,1526640912.386789860,0.19,0.13,0.07,646049664,364375519126,0,0,0,791,0,9155,221382,1914,0,516,1016,0,0,7707080,7329476,7236860,2108,144552
2018-05-18_12-55-12.419928561,1526640912.422021967,12703059484,2018-05-18_12-55-42.462771703,1526640942.464865289,0.25,0.15,0.08,732126150,412071245380,0,0,0,807,0,10184,231958,1914,0,575,1074,0,0,7707080,7329364,7236848,2108,144552
2018-05-18_12-55-42.497828925,1526640942.499919934,12507849037,2018-05-18_12-56-12.541801765,1526640972.544037651,0.30,0.17,0.09,819394896,459034091842,0,0,0,822,0,11184,242551,1914,0,632,1149,0,0,7707080,7329084,7236844,2108,144552
2018-05-18_12-56-12.577275372,1526640972.579390437,12564799350,2018-05-18_12-56-42.620523622,1526641002.622639313,0.43,0.21,0.10,906153762,506210428592,0,0,0,836,0,12176,253162,1914,0,694,1218,0,0,7707080,7328828,7236704,2108,144552
2018-05-18_12-56-42.656090024,1526641002.658195958,12595204488,2018-05-18_12-57-12.698467502,1526641032.700577161,0.39,0.23,0.11,997071408,553501215228,0,0,0,848,0,13182,263753,1914,0,755,1280,0,0,7707080,7329088,7236456,2108,144552
2018-05-18_12-57-12.733929492,1526641032.736010132,11965590229,2018-05-18_12-57-42.777558621,1526641062.779684926,0.41,0.25,0.12,1079410554,598429585444,0,0,0,861,0,14120,274426,1914,0,807,1347,0,0,7707080,7329496,7237040,2108,144552
2018-05-18_12-57-42.812321220,1526641062.814536660,12575147410,2018-05-18_12-58-12.854836615,1526641092.857028704,0.47,0.28,0.14,1164525420,645644778904,0,0,0,873,0,15132,285046,1914,0,864,1426,0,0,7707080,7329108,7237132,2108,144552
2018-05-18_12-58-12.890134848,1526641092.892241102,12857202957,2018-05-18_12-58-42.932567696,1526641122.934717685,0.68,0.34,0.16,1251931746,693919698862,0,0,0,892,0,16614,295102,1914,0,982,1558,0,0,7707080,7329132,7236764,2108,144552
