StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQ0,IRQ1,IRQ2,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,CTXT,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-21_19-15-52.053095590,1526922952.055355315,12148173923,2018-05-21_19-16-22.099024052,1526922982.101534068,0.12,0.27,0.32,4199608572,4259581007096,0,9325484,1288,2309,6,127545,1743328,2251,0,3642,24,0,0,5006585,7707080,7314284,7225320,2108,146648
2018-05-21_19-16-22.142041401,1526922982.144489560,12242133111,2018-05-21_19-16-52.187664713,1526923012.189982922,0.19,0.28,0.32,4280336238,4305541278798,0,9433462,1302,2323,6,129102,1753408,2251,0,3748,24,0,0,5042996,7707080,7317648,7228528,2108,146648
2018-05-21_19-16-52.227030935,1526923012.229240246,12326525799,2018-05-21_19-17-22.271429147,1526923042.274072836,0.39,0.32,0.33,4367065584,4351815420272,0,9547624,1316,2338,6,130799,1763315,2251,0,3896,24,0,0,5075088,7707080,7318024,7229016,2108,146648
2018-05-21_19-17-22.313614505,1526923042.315944413,12147971039,2018-05-21_19-17-52.358820581,1526923072.361101611,0.56,0.37,0.34,4452167490,4397421448534,0,9658669,1330,2351,6,132344,1773386,2251,0,4013,24,0,0,5110796,7707080,7318092,7229288,2108,146648
2018-05-21_19-17-52.398232666,1526923072.400430364,12128723083,2018-05-21_19-18-22.442986003,1526923102.445489383,0.55,0.38,0.35,4532965836,4442955146152,0,9767784,1344,2367,6,133988,1783372,2251,0,4140,24,0,0,5143998,7707080,7317712,7228944,2108,146648
2018-05-21_19-18-22.484602039,1526923102.486976604,11811191955,2018-05-21_19-18-52.529587912,1526923132.531989528,0.58,0.41,0.36,4611569862,4487294817534,0,9870507,1357,2380,6,135482,1793512,2251,0,4238,24,0,0,5180577,7707080,7318396,7229412,2108,146648
2018-05-21_19-18-52.570987323,1526923132.573201336,12429445627,2018-05-21_19-19-22.617091646,1526923162.619576350,0.64,0.43,0.37,4694128608,4533956520684,0,9981912,1371,2395,6,137303,1803311,2251,0,4397,24,0,0,5209853,7707080,7318412,7229168,2108,146648
2018-05-21_19-19-22.657809186,1526923162.660060104,12805189857,2018-05-21_19-19-52.701189191,1526923192.703561391,0.64,0.45,0.38,4778199834,4582027992586,0,10096826,1386,2413,6,138543,1813637,2251,0,4482,26,0,0,5255204,7707080,7316288,7227472,2108,146648
2018-05-21_19-19-52.742394175,1526923192.744755772,12838747153,2018-05-21_19-20-22.785719033,1526923222.787976373,0.73,0.49,0.39,4868201100,4630226077918,0,10211117,1400,2438,6,139744,1823967,2251,0,4565,28,0,0,5302120,7707080,7316712,7227756,2108,146656
2018-05-21_19-20-22.825446565,1526923222.827648754,10965263712,2018-05-21_19-20-52.869791469,1526923252.872007489,0.58,0.48,0.39,4946936106,4671390513560,0,10307729,1413,2460,6,140656,1834643,2251,0,4605,30,0,0,5350915,7707080,7316060,7226732,2108,146656
2018-05-21_19-20-52.909377680,1526923252.911587585,11096223746,2018-05-21_19-21-22.953171744,1526923282.955458421,0.48,0.46,0.39,5007119412,4713046209094,0,10401952,1425,2487,6,141607,1845311,2251,0,4644,33,0,0,5400360,7707080,7316448,7227496,2108,146660
2018-05-21_19-21-22.993229805,1526923282.995437960,10726158802,2018-05-21_19-21-53.037112800,1526923313.039441222,0.29,0.42,0.38,5085495498,4753312194134,0,10500084,1437,2506,6,142458,1856040,2251,0,4682,35,0,0,5449603,7707080,7316776,7227824,2108,146660
2018-05-21_19-21-53.076817584,1526923313.079035682,10972615438,2018-05-21_19-22-23.122173327,1526923343.124695593,0.37,0.43,0.38,5158006104,4794504223948,0,10595754,1450,2529,6,143382,1866708,2251,0,4726,37,0,0,5498178,7707080,7316372,7227188,2108,146660
2018-05-21_19-22-23.165474262,1526923343.167942768,10727893516,2018-05-21_19-22-53.210648738,1526923373.213376021,0.42,0.43,0.39,5229115530,4834777838270,0,10692301,1462,2550,6,144248,1877450,2251,0,4759,41,0,0,5547180,7707080,7316312,7227360,2108,146660
2018-05-21_19-22-53.253660666,1526923373.256119756,10764113179,2018-05-21_19-23-23.298927508,1526923403.301161052,0.57,0.47,0.40,5300258016,4875185901890,0,10784634,1473,2572,6,145152,1888134,2251,0,4795,44,0,0,5595393,7707080,7316492,7227736,2108,146660
2018-05-21_19-23-23.338304660,1526923403.340512582,11108288964,2018-05-21_19-23-53.382825175,1526923433.385112027,0.53,0.47,0.41,5372502642,4916885670686,0,10874054,1485,2594,6,146051,1898792,2251,0,4833,51,0,0,5644797,7707080,7315912,7226960,2108,146660
2018-05-21_19-23-53.422379287,1526923433.424589897,10634772645,2018-05-21_19-24-23.466868175,1526923463.469330718,0.44,0.46,0.40,5449533108,4956808741700,0,10965890,1497,2616,6,146930,1909515,2251,0,4866,52,0,0,5693563,7707080,7316548,7227316,2108,146664
2018-05-21_19-24-23.509720342,1526923463.512166972,10398964660,2018-05-21_19-24-53.554733655,1526923493.556982316,0.34,0.43,0.40,5523524994,4995845285918,0,11058018,1508,2637,6,147748,1920286,2251,0,4898,55,0,0,5741681,7707080,7316600,7227500,2108,146664
2018-05-21_19-24-53.594337228,1526923493.596582078,10657568376,2018-05-21_19-25-23.638486797,1526923523.640863967,0.33,0.42,0.40,5574850500,5035851665584,0,11147610,1520,2663,6,148573,1931097,2251,0,4928,57,0,0,5791518,7707080,7316984,7228032,2108,146664
2018-05-21_19-25-23.679960837,1526923523.682173176,10632722029,2018-05-21_19-25-53.725067677,1526923553.727336681,0.27,0.40,0.39,5651092566,5075768908450,0,11237121,1532,2685,6,149538,1941718,2251,0,4974,62,0,0,5838070,7707080,7316244,7227488,2108,146664
2018-05-21_19-25-53.765143713,1526923553.767370345,10298464353,2018-05-21_19-26-23.808794114,1526923583.811073002,0.42,0.42,0.40,5719212852,5114430016010,0,11323127,1543,2703,6,150372,1952510,2251,0,5008,65,0,0,5885723,7707080,7315836,7227048,2108,146664
2018-05-21_19-26-23.848638855,1526923583.850912791,10206152026,2018-05-21_19-26-53.894041664,1526923613.896578219,0.45,0.43,0.41,5786894718,5152745203276,0,11409648,1555,2724,6,151232,1963286,2251,0,5040,69,0,0,5932645,7707080,7316520,7227568,2108,146664
2018-05-21_19-26-53.937503155,1526923613.940006726,10314232324,2018-05-21_19-27-23.983054327,1526923643.985389511,0.48,0.44,0.41,5855593944,5191464273436,0,11500134,1566,2746,6,152052,1974067,2251,0,5074,72,0,0,5980226,7707080,7317664,7228908,2108,146664
2018-05-21_19-27-24.022658155,1526923644.024913508,10583793073,2018-05-21_19-27-54.069523088,1526923674.071773729,0.47,0.44,0.41,5925534030,5231198022468,0,11588581,1578,2761,6,153187,1984577,2251,0,5127,73,0,0,6022786,7707080,7318252,7229300,2108,146664
2018-05-21_19-27-54.109220671,1526923674.111448274,10399735036,2018-05-21_19-28-24.153627919,1526923704.155926250,0.41,0.43,0.41,5997506916,5270240337852,0,11676403,1590,2775,6,154517,1994918,2251,0,5197,73,0,0,6059985,7707080,7317872,7228916,2108,146664
2018-05-21_19-28-24.196919098,1526923704.199408288,8077941215,2018-05-21_19-28-54.242574302,1526923734.245112223,0.52,0.45,0.42,6041770482,5300562810894,0,11742173,1599,2790,6,155426,2005712,2251,0,5227,74,0,0,6096221,7707080,7314516,7225568,2108,146660
2018-05-21_19-28-54.286144582,1526923734.288432908,7139093258,2018-05-21_19-29-24.332192999,1526923764.334605146,0.38,0.43,0.41,6091453068,5327365100868,0,11801802,1607,2799,6,156259,2016605,2251,0,5247,74,0,0,6130486,7707080,7317720,7228968,2108,146660
