StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_13-06-22.097375123,1525863982.099515894,24372329660,2018-05-09_13-06-52.144766191,1525864012.146917228,0.38,0.38,0.45,19849647338,19307867948998,,,,5697,6,320953,3204920,1025,0,7721,177,0,0,7707424,7232452,7145500,948,150492
2018-05-09_13-06-52.180119232,1525864012.182167796,23606988911,2018-05-09_13-07-22.246085852,1525864042.248977565,0.34,0.37,0.44,19955110604,19396930935058,,,,5711,6,322509,3213926,1025,0,7736,177,0,0,7707424,7232932,7145532,948,150492
2018-05-09_13-07-22.287117136,1525864042.289591068,23744063862,2018-05-09_13-07-52.335370399,1525864072.337481162,0.54,0.42,0.46,20060206070,19486508709174,,,,5723,6,323906,3223002,1025,0,7780,177,0,0,7707424,7232892,7145936,948,150492
2018-05-09_13-07-52.369243895,1525864072.371776647,23848766256,2018-05-09_13-08-22.415124958,1525864102.417423695,0.51,0.42,0.46,20168225816,19576481680886,,,,5748,6,325353,3231958,1025,0,7808,178,0,0,7707424,7220244,7133112,948,150504
2018-05-09_13-08-22.449187407,1525864102.451282314,23753196694,2018-05-09_13-08-52.493000650,1525864132.495126102,0.63,0.46,0.47,20274094622,19666095717152,,,,5765,6,326864,3240968,1025,0,7854,178,0,0,7707424,7220012,7132620,948,150504
2018-05-09_13-08-52.526601209,1525864132.528639159,24504383311,2018-05-09_13-09-22.570128102,1525864162.572355154,0.49,0.45,0.47,20385373748,19758542675278,,,,5776,6,328517,3249947,1025,0,7901,178,0,0,7707424,7219348,7132424,948,150504
2018-05-09_13-09-22.604819897,1525864162.606950221,23702916494,2018-05-09_13-09-52.648258013,1525864192.650419780,0.52,0.45,0.47,20490426254,19847964720404,,,,5793,6,330041,3258993,1025,0,7946,178,0,0,7707424,7220072,7132936,948,150508
2018-05-09_13-09-52.682330556,1525864192.684494952,23723017595,2018-05-09_13-10-22.729052734,1525864222.731174401,0.45,0.44,0.46,20595886100,19937464170652,,,,5817,6,331510,3268025,1025,0,8000,178,0,0,7707424,7220216,7132888,948,150516
2018-05-09_13-10-22.763403192,1525864222.765451946,24313513739,2018-05-09_13-10-52.830312614,1525864252.832967979,0.52,0.46,0.47,20703773846,20029194459350,,,,5832,6,333134,3277037,1025,0,8048,178,0,0,7707424,7220676,7133540,948,150516
2018-05-09_13-10-52.870464134,1525864252.872528865,23644797003,2018-05-09_13-11-22.918499901,1525864282.920583930,0.57,0.48,0.48,20808564812,20118397223914,,,,5845,6,334486,3286064,1025,0,8101,179,0,0,7707424,7232388,7145452,948,150508
