StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_14-58-04.489629257,1525870684.491814485,22430891943,2018-05-09_14-58-34.534863340,1525870714.537066692,0.34,0.50,0.55,39566018484,38208833991808,,,,9377,6,647715,5248986,1052,0,13037,271,0,0,7707424,7217392,7135964,948,160968
2018-05-09_14-58-34.569802712,1525870714.571898129,22407071258,2018-05-09_14-59-04.616967792,1525870744.619229654,0.35,0.49,0.55,39671030490,38293343916766,,,,9392,6,649306,5258050,1052,0,13045,271,0,0,7707424,7217504,7136432,948,160968
2018-05-09_14-59-04.651900799,1525870744.653952824,22305038757,2018-05-09_14-59-34.699576943,1525870774.701868771,0.40,0.49,0.54,39773174436,38377465900594,,,,9417,6,650855,5267112,1052,0,13071,271,0,0,7707424,7216448,7134700,948,160968
2018-05-09_14-59-34.736548267,1525870774.738871031,22433773940,2018-05-09_15-00-04.781739006,1525870804.783845539,0.38,0.47,0.54,39875997642,38462073900616,,,,9437,6,652399,5276191,1052,0,13091,271,0,0,7707424,7204472,7122852,948,160988
2018-05-09_15-00-04.816016721,1525870804.818100065,22926614960,2018-05-09_15-00-34.862209642,1525870834.864334341,0.63,0.52,0.55,39982852788,38548542014522,,,,9451,6,653951,5285274,1052,0,13105,271,0,0,7707424,7204816,7123056,948,160988
2018-05-09_15-00-34.896525395,1525870834.898572853,22602269563,2018-05-09_15-01-04.942734074,1525870864.944804058,0.57,0.52,0.55,40090346214,38633785519100,,,,9470,6,655517,5294250,1052,0,13129,271,0,0,7707424,7204964,7123500,948,160988
2018-05-09_15-01-04.975797440,1525870864.977879658,22467943580,2018-05-09_15-01-35.020324261,1525870895.022567655,0.63,0.54,0.56,40195395480,38718522438536,,,,9488,6,656968,5303348,1052,0,13154,271,0,0,7707424,7205008,7123552,948,160992
2018-05-09_15-01-35.054958953,1525870895.057034940,22624665011,2018-05-09_15-02-05.099805806,1525870925.102090382,0.43,0.50,0.54,40304420526,38803850175914,,,,9501,6,658435,5312369,1052,0,13174,273,0,0,7707424,7205356,7123788,948,160992
2018-05-09_15-02-05.134957650,1525870925.137111187,22303812552,2018-05-09_15-02-35.198191501,1525870955.201937908,0.39,0.48,0.54,40408382712,38887968859992,,,,9521,6,659876,5321429,1052,0,13199,274,0,0,7707424,7205656,7123924,948,160996
2018-05-09_15-02-35.239896790,1525870955.242283392,22913599033,2018-05-09_15-03-05.289051277,1525870985.291348574,0.58,0.52,0.55,40512644358,38974387542124,,,,9535,6,661403,5330514,1052,0,13217,275,0,0,7707424,7217516,7136060,948,160988
2018-05-09_15-03-05.323703065,1525870985.325754084,22596018906,2018-05-09_15-03-35.371257202,1525871015.373355140,0.74,0.56,0.56,40621986804,39059608639236,,,,9556,6,662963,5339474,1052,0,13246,275,0,0,7707424,7217600,7136148,948,160988
2018-05-09_15-03-35.405585930,1525871015.407723871,22621113905,2018-05-09_15-04-05.449049665,1525871045.451266005,0.58,0.54,0.55,40729207890,39144922403710,,,,9571,6,664499,5348495,1052,0,13264,275,0,0,7707424,7217588,7135860,948,160988
2018-05-09_15-04-05.483584028,1525871045.485654816,22948337438,2018-05-09_15-04-35.527171425,1525871075.529371153,0.43,0.51,0.54,40832815296,39231472377998,,,,9585,6,666011,5357601,1052,0,13279,275,0,0,7707424,7218208,7136948,948,160988
2018-05-09_15-04-35.560992274,1525871075.563054311,22389056053,2018-05-09_15-05-05.631919293,1525871105.635151945,0.55,0.52,0.54,40935456342,39315931684838,,,,9601,6,667532,5366686,1052,0,13293,276,0,0,7707424,7218168,7136716,948,160988
