StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-10_20-20-01.940130100,1525976401.942803627,36.558797,2018-05-10_20-20-32.191708278,1525976432.194241365,0.62,0.84,0.91,76524746,175195509666,,,,801446,106,15584,33589184,1764,0,72,875,0,0,7707080,7143824,7096528,2108,216584
2018-05-10_20-20-32.238265485,1525976432.240809209,36.555543,2018-05-10_20-21-02.516396203,1525976462.519473641,0.77,0.86,0.91,76525890,175195510938,,,,804467,106,15596,33598275,1764,0,72,875,0,0,7707080,7143028,7095732,2108,216584
2018-05-10_20-21-02.566260409,1525976462.568755282,36.568657,2018-05-10_20-21-32.819662582,1525976492.822312611,0.86,0.87,0.91,76527034,175195512270,,,,807488,106,15602,33607359,1764,0,72,875,0,0,7707080,7144100,7096532,2108,216584
2018-05-10_20-21-32.861613464,1525976492.864202021,36.545692,2018-05-10_20-22-03.110289913,1525976523.112821777,0.91,0.88,0.92,76528178,175195513602,,,,810509,106,15607,33616444,1764,0,72,876,0,0,7707080,7144108,7096812,2108,216584
2018-05-10_20-22-03.153108539,1525976523.155585200,36.558797,2018-05-10_20-22-33.400714782,1525976553.403349029,0.88,0.88,0.91,76529322,175195514934,,,,813531,106,15616,33625529,1764,0,72,876,0,0,7707080,7143700,7096404,2108,216584
2018-05-10_20-22-33.461168241,1525976553.463662631,36.499797,2018-05-10_20-23-03.710824429,1525976583.713424125,0.93,0.89,0.92,76530466,175195516266,,,,816548,106,15621,33634614,1764,0,72,876,0,0,7707080,7143792,7096496,2108,216584
2018-05-10_20-23-03.752356760,1525976583.755038850,36.568654,2018-05-10_20-23-34.000534896,1525976614.003012917,0.90,0.88,0.91,76531610,175195517598,,,,819574,106,15637,33643681,1764,0,73,876,0,0,7707080,7131584,7084292,2108,216592
2018-05-10_20-23-34.043600157,1525976614.046195541,36.562094,2018-05-10_20-24-04.292564813,1525976644.295166813,0.94,0.90,0.92,76532754,175195518930,,,,822597,106,15647,33652758,1764,0,73,877,0,0,7707080,7131208,7083920,2108,216596
2018-05-10_20-24-04.335802982,1525976644.338361698,36.552264,2018-05-10_20-24-34.586263116,1525976674.588863229,0.96,0.91,0.92,76533898,175195520262,,,,825628,106,15664,33661820,1764,0,73,877,0,0,7707080,7130548,7083264,2108,216600
2018-05-10_20-24-34.627144643,1525976674.629669464,36.555291,2018-05-10_20-25-04.895208148,1525976704.898813658,0.98,0.91,0.92,76535042,175195521594,,,,828654,106,15681,33670892,1764,0,73,877,0,0,7707080,7131772,7084292,2108,216600
2018-05-10_20-25-04.945007551,1525976704.947766503,36.548985,2018-05-10_20-25-35.197897788,1525976735.200584511,0.99,0.92,0.93,76536186,175195522926,,,,831676,106,15696,33679967,1764,0,74,877,0,0,7707080,7131484,7083940,2108,216604
2018-05-10_20-25-35.257444526,1525976735.260086722,36.532598,2018-05-10_20-26-05.506621245,1525976765.509503105,0.99,0.93,0.93,76537330,175195524258,,,,834693,106,15703,33689051,1764,0,74,877,0,0,7707080,7130956,7083676,2108,216604
2018-05-10_20-26-05.548002232,1525976765.550444865,36.555524,2018-05-10_20-26-35.796053585,1525976795.798699760,0.99,0.94,0.93,76538474,175195525590,,,,837713,106,15710,33698133,1764,0,74,877,0,0,7707080,7143200,7096112,2108,216596
2018-05-10_20-26-35.838979595,1525976795.841523686,36.558818,2018-05-10_20-27-06.087870596,1525976826.090510359,1.00,0.94,0.93,76539618,175195526922,,,,840734,106,15715,33707218,1764,0,74,877,0,0,7707080,7143208,7095924,2108,216596
2018-05-10_20-27-06.133440805,1525976826.136102263,36.558822,2018-05-10_20-27-36.401756449,1525976856.405125694,1.00,0.95,0.94,76540762,175195528194,,,,843756,106,15723,33716308,1764,0,74,877,0,0,7707080,7143852,7096568,2108,216596
2018-05-10_20-27-36.449593157,1525976856.452067230,36.545672,2018-05-10_20-28-06.715058618,1525976886.719029160,1.00,0.95,0.94,76541906,175195529526,,,,846776,106,15733,33725398,1764,0,74,877,0,0,7707080,7143928,7096448,2108,216596
2018-05-10_20-28-06.764148746,1525976886.766951192,36.480150,2018-05-10_20-28-37.015582328,1525976917.018377013,1.00,0.96,0.94,76543050,175195530858,,,,849806,106,15755,33734454,1764,0,75,877,0,0,7707080,7143544,7096460,2108,216600
2018-05-10_20-28-37.057946794,1525976917.060472857,36.558801,2018-05-10_20-29-07.306816726,1525976947.309389061,1.00,0.96,0.95,76544194,175195532190,,,,852826,106,15761,33743538,1764,0,75,877,0,0,7707080,7144256,7096980,2108,216604
