StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQconfig,IRQinput,IRQoutput,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-09_12-06-14.651088859,1525860374.653127356,24436046380,2018-05-09_12-06-44.696612665,1525860404.698803070,0.20,0.29,0.32,10438053056,9371159718800,,,,3899,6,161058,2066815,1025,0,5082,151,0,0,7707424,7219920,7132528,948,150332
2018-05-09_12-06-44.731040336,1525860404.733072663,16979223117,2018-05-09_12-07-14.774978803,1525860434.777088464,0.28,0.29,0.32,10462375682,9435219827052,,,,3910,6,162096,2077221,1025,0,5089,152,0,0,7707424,7233268,7146068,948,150328
2018-05-09_12-07-14.809550896,1525860434.811630913,24307260876,2018-05-09_12-07-44.871389925,1525860464.873906599,0.35,0.31,0.33,10559917748,9526924667384,,,,3923,6,163384,2086319,1025,0,5105,152,0,0,7707424,7232588,7145392,948,150328
2018-05-09_12-07-44.913775389,1525860464.916196390,24474082961,2018-05-09_12-08-14.962451467,1525860494.964546529,0.54,0.36,0.34,10671940574,9619258491652,,,,3937,6,164893,2095331,1025,0,5117,152,0,0,7707424,7233176,7145692,948,150328
2018-05-09_12-08-14.996324394,1525860494.998755975,24795530966,2018-05-09_12-08-45.042275613,1525860525.044426032,0.45,0.36,0.34,10768331900,9712802541104,,,,3950,6,166104,2104483,1025,0,5128,153,0,0,7707424,7233104,7145912,948,150328
2018-05-09_12-08-45.076994452,1525860525.079161380,16935984180,2018-05-09_12-09-15.121192918,1525860555.123299819,0.40,0.36,0.34,10792738706,9776699923060,,,,3958,6,167062,2114909,1025,0,5133,153,0,0,7707424,7233048,7145848,948,150328
2018-05-09_12-09-15.157483780,1525860555.160116403,24364030875,2018-05-09_12-09-45.202115208,1525860585.204244641,0.48,0.38,0.35,10890107312,9868616136866,,,,3971,6,168400,2124010,1025,0,5146,153,0,0,7707424,7233248,7146048,948,150328
2018-05-09_12-09-45.236408757,1525860585.238459769,24321505480,2018-05-09_12-10-15.279605466,1525860615.281832198,0.35,0.36,0.34,10987636598,9960372273140,,,,3992,6,169914,2133060,1025,0,5162,153,0,0,7707424,7233044,7146048,948,150332
2018-05-09_12-10-15.314481019,1525860615.316580646,17011362929,2018-05-09_12-10-45.359625656,1525860645.361897803,0.48,0.39,0.35,11011921124,10024553971898,,,,4009,6,170884,2143458,1025,0,5170,154,0,0,7707424,7232416,7145228,948,150336
2018-05-09_12-10-45.394237711,1525860645.396329142,24744268831,2018-05-09_12-11-15.452758103,1525860675.455061656,0.34,0.37,0.34,11109900350,10117905906590,,,,4026,6,172282,2152565,1025,0,5191,154,0,0,7707424,7233708,7146288,948,150336
2018-05-09_12-11-15.493232571,1525860675.495484635,24403540455,2018-05-09_12-11-45.539223716,1525860705.541418298,0.48,0.40,0.35,11205697196,10209973234272,,,,4041,6,173532,2161678,1025,0,5200,154,0,0,7707424,7232380,7145348,948,150336
2018-05-09_12-11-45.574277183,1525860705.576370296,24397938354,2018-05-09_12-12-15.618814364,1525860735.620981860,0.54,0.42,0.36,11301065642,10302020123862,,,,4059,6,174910,2170787,1025,0,5213,154,0,0,7707424,7220132,7132948,948,150348
2018-05-09_12-12-15.653597829,1525860735.655655872,16985799505,2018-05-09_12-12-45.698105009,1525860765.700330062,0.53,0.43,0.37,11325410528,10366105269120,,,,4073,6,175852,2181172,1025,0,5228,154,0,0,7707424,7220616,7133444,948,150348
2018-05-09_12-12-45.732369453,1525860765.734423441,24503223789,2018-05-09_12-13-15.775855907,1525860795.778075498,0.52,0.44,0.37,11434486634,10458549458102,,,,4086,6,177456,2190227,1025,0,5265,154,0,0,7707424,7219996,7132820,948,150348
2018-05-09_12-13-15.810824415,1525860795.812897709,24783331760,2018-05-09_12-13-45.854955991,1525860825.857249006,0.54,0.44,0.38,11531652440,10552047487918,,,,4104,6,178562,2199360,1025,0,5294,155,0,0,7707424,7220216,7133228,948,150352
2018-05-09_12-13-45.889712726,1525860825.891783251,24340039213,2018-05-09_12-14-15.934363746,1525860855.936621872,0.45,0.43,0.38,11627490086,10643873772132,,,,4124,6,179919,2208453,1025,0,5336,155,0,0,7707424,7220056,7132876,948,150352
2018-05-09_12-14-15.969275437,1525860855.971480772,16938912321,2018-05-09_12-14-46.031895610,1525860886.034668938,0.32,0.41,0.37,11651686592,10707783408368,,,,4136,6,180870,2218856,1025,0,5348,155,0,0,7707424,7220684,7133504,948,150352
2018-05-09_12-14-46.072494588,1525860886.074743729,24754291840,2018-05-09_12-15-16.121348834,1525860916.123486863,0.25,0.38,0.36,11749818218,10801173584142,,,,4159,6,182265,2227935,1025,0,5376,155,0,0,7707424,7232868,7145700,948,150352
2018-05-09_12-15-16.155300930,1525860916.157374619,24336132479,2018-05-09_12-15-46.200861336,1525860946.203038939,0.48,0.43,0.38,11846942684,10892987737426,,,,4174,6,183679,2237015,1025,0,5396,156,0,0,7707424,7232944,7145768,948,150352
2018-05-09_12-15-46.235457798,1525860946.237499115,24426252700,2018-05-09_12-16-16.279069364,1525860976.281207286,0.63,0.47,0.39,11943441770,10985140247812,,,,4185,6,184921,2246146,1025,0,5416,156,0,0,7707424,7232668,7145500,948,150352
2018-05-09_12-16-16.313488115,1525860976.315549507,16915363588,2018-05-09_12-16-46.356836464,1525861006.358942449,0.50,0.45,0.39,11967835856,11048959979674,,,,4193,6,185835,2256549,1025,0,5424,157,0,0,7707424,7232692,7145528,948,150352
2018-05-09_12-16-46.391736743,1525861006.393825985,24428427237,2018-05-09_12-17-16.437176679,1525861036.439339099,0.63,0.49,0.41,12064301642,11141121984160,,,,4204,6,187177,2265665,1025,0,5473,157,0,0,7707424,7232900,7145724,948,150352
2018-05-09_12-17-16.471585098,1525861036.473627065,24778204687,2018-05-09_12-17-46.516740317,1525861066.518877535,0.58,0.49,0.41,12179051408,11234601553088,,,,4217,6,188775,2274677,1025,0,5519,157,0,0,7707424,7233140,7145976,948,150352
2018-05-09_12-17-46.551896113,1525861066.554046174,24297413289,2018-05-09_12-18-16.618245285,1525861096.620967210,0.55,0.49,0.41,12275403674,11326270657826,,,,4235,6,190281,2283768,1025,0,5557,157,0,0,7707424,7233572,7145988,948,150352
2018-05-09_12-18-16.660715721,1525861096.662797576,24747027652,2018-05-09_12-18-46.708289290,1525861126.710557056,0.47,0.48,0.41,12390198740,11419633397122,,,,4250,6,191980,2292751,1025,0,5600,157,0,0,7707424,7232988,7145568,948,150352
2018-05-09_12-18-46.744204466,1525861126.746276630,24457638779,2018-05-09_12-19-16.788815461,1525861156.791243672,0.62,0.51,0.42,12502345526,11511904056716,,,,4264,6,193595,2301758,1025,0,5616,157,0,0,7707424,7233000,7145836,948,150352
2018-05-09_12-19-16.823626762,1525861156.825677403,16966649812,2018-05-09_12-19-46.868219076,1525861186.870375763,0.51,0.49,0.42,12526593212,11575918156132,,,,4274,6,194538,2312167,1025,0,5629,157,0,0,7707424,7232980,7145724,948,150352
2018-05-09_12-19-46.902664238,1525861186.904738503,24779222606,2018-05-09_12-20-16.946009410,1525861216.948143221,0.44,0.48,0.41,12624668738,11669402482640,,,,4300,6,196021,2321242,1025,0,5672,158,0,0,7707424,7219780,7132624,948,150368
2018-05-09_12-20-16.981345357,1525861216.983463218,24399550181,2018-05-09_12-20-47.028615218,1525861247.030668837,0.38,0.46,0.41,12721174604,11761455437506,,,,4317,6,197503,2330319,1025,0,5694,158,0,0,7707424,7220404,7133048,948,150372
2018-05-09_12-20-47.062126697,1525861247.064141857,24477446301,2018-05-09_12-21-17.107018565,1525861277.109139035,0.29,0.43,0.40,12816906410,11853801257420,,,,4329,6,198855,2339470,1025,0,5712,158,0,0,7707424,7219836,7133068,948,150372
2018-05-09_12-21-17.141826883,1525861277.143981766,16963883447,2018-05-09_12-21-47.217593456,1525861307.220854576,0.25,0.41,0.40,12841075616,11917805051464,,,,4344,6,199784,2349890,1025,0,5722,158,0,0,7707424,7220096,7132936,948,150372
2018-05-09_12-21-47.259049113,1525861307.261221780,24380550472,2018-05-09_12-22-17.306323330,1525861337.308378337,0.36,0.42,0.40,12936914762,12009786143222,,,,4361,6,201244,2358992,1025,0,5743,159,0,0,7707424,7220396,7133088,948,150376
